Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Target
twista,girl tonite ,2005,10,0.668,0.724,7.0,-5.953,1.0,0.0536,0.00551,0.0,0.218,0.318,148.522,0
stefon harris,from the gardner meditations: african tarantella,2006,01,0.343,0.461,1.0,-10.851,0.0,0.0368,0.917,0.853,0.288,0.293,70.155,0
fruko y sus tesos,la fruta bomba,2015,07,0.826,0.845,8.0,-6.804,1.0,0.0457,0.149,0.000366,0.0331,0.892,105.88,0
bon jovi,wildflower,2005,01,0.436,0.635,7.0,-5.848,1.0,0.0278,0.0234,0.0,0.18,0.356,92.692,0
the shamen,heal ,2010,03,0.572,0.911,5.0,-7.272,1.0,0.0325,0.00087,0.491,0.0823,0.543,121.299,0
midwest product,motivator,2003,10,0.718,0.691,10.0,-9.118,1.0,0.0408,0.00999,0.877,0.1,0.349,140.998,0
britney spears,someday ,2005,09,0.523,0.561,0.0,-9.444,0.0,0.0275,0.732,2.55e-05,0.126,0.176,135.972,0
city high,sista,2001,01,0.648,0.653,8.0,-8.364,0.0,0.0814,0.0616,0.0,0.0821,0.637,80.008,0
amy winehouse,valerie,2007,01,0.739,0.365,5.0,-5.731,0.0,0.0415,0.751,1.65e-06,0.161,0.699,96.095,0
gorillaz,november has come,2005,05,0.702,0.567,7.0,-8.561,1.0,0.239,0.0815,2.75e-05,0.0864,0.667,84.153,0
linkin park,given up ,2007,05,0.655,0.885,7.0,-4.116,1.0,0.0438,0.00117,0.000473,0.0448,0.938,100.088,0
bryan ferry,ja nun hons pris,2002,01,0.488,0.216,7.0,-15.521,0.0,0.0704,0.771,0.0,0.465,0.562,103.748,0
martin sexton,things you do to me,2002,04,0.748,0.771,1.0,-9.164,1.0,0.118,0.0433,0.000127,0.975,0.642,103.219,0
dave matthews band,tripping billies,1996,04,0.569,0.932,11.0,-5.659,0.0,0.0388,0.000496,0.0342,0.259,0.944,120.858,0
the pineapple thief,run a mile,2006,01,0.563,0.825,0.0,-8.047,1.0,0.0423,0.00207,0.0748,0.0614,0.0762,140.034,0
the jeff healey band,it could all get blown away,1992,11,0.503,0.738,7.0,-6.643,0.0,0.034,0.00428,0.000109,0.197,0.635,94.447,0
anthony cruz,make it up,2016,04,0.441,0.706,2.0,-5.926,0.0,0.182,0.538,0.0,0.168,0.721,78.251,0
weezer,dope nose,2002,05,0.416,0.724,10.0,-4.87,1.0,0.0512,0.000336,0.0788,0.247,0.819,127.357,0
fabolous,trade it all pt2  ,2003,02,0.819,0.778,1.0,-5.839,0.0,0.21,0.029,0.0,0.215,0.779,96.72,0
showbread,the pig,2008,01,0.391,0.586,4.0,-6.7,1.0,0.035,0.00191,0.124,0.175,0.153,120.417,0
showbread,nothing matters anymore,2009,01,0.31,0.961,9.0,-3.794,1.0,0.0456,0.000396,0.0,0.656,0.234,164.939,0
daniel johnston,high horse,2009,10,0.521,0.724,0.0,-6.667,1.0,0.0275,0.000365,0.314,0.122,0.452,128.038,0
tracy byrd,walking to jerusalem,2001,01,0.689,0.827,2.0,-7.135,1.0,0.0326,0.0559,0.0,0.244,0.786,116.611,0
fake problems,tabernacle song,2009,02,0.401,0.625,0.0,-6.252,1.0,0.0294,0.0124,0.0,0.171,0.508,103.548,0
atb,collides with beauty,2004,05,0.595,0.896,9.0,-6.789,0.0,0.0407,0.0418,0.603,0.681,0.797,136.988,0
paul avgerinos,in my heart,2001,05,0.0706,0.0668,4.0,-26.717,1.0,0.0487,0.976,0.978,0.108,0.0279,76.312,0
pyranja,anfang vom ende,2003,01,0.721,0.7,6.0,-8.817,0.0,0.32,0.408,1.68e-05,0.596,0.639,95.914,0
alice in chains,angry chair,1992,01,0.325,0.937,8.0,-6.295,1.0,0.085,0.0443,0.0,0.0442,0.158,106.989,0
beherit,suck my blood,2009,06,0.21,0.857,2.0,-5.798,1.0,0.0796,2.14e-05,0.0998,0.464,0.0978,149.739,0
casiotone for the painfully alone,white jetta,2009,04,0.658,0.868,4.0,-9.848,0.0,0.0892,0.0468,0.075,0.0749,0.0389,90.057,0
aphasia,non-existent track ,2001,04,0.298,0.887,6.0,-7.493,1.0,0.572,0.0531,0.913,0.683,0.0715,219.59,0
epmd,jane 5,1997,09,0.721,0.538,10.0,-8.281,0.0,0.388,0.0184,0.000317,0.119,0.393,86.927,0
architecture in helsinki,need to shout,2005,04,0.602,0.606,9.0,-10.224,1.0,0.101,0.319,0.00102,0.361,0.53,139.877,0
atreyu,gallows ,2009,01,0.373,0.931,1.0,-3.576,1.0,0.151,1.61e-05,0.0,0.326,0.143,138.957,0
sonny landreth,she left me a mule ,2009,04,0.752,0.613,9.0,-10.618,1.0,0.0292,0.396,0.0199,0.246,0.843,131.468,0
chris standring,through the looking glass ,2002,01,0.775,0.561,8.0,-9.538,1.0,0.0324,0.701,0.653,0.124,0.909,109.983,0
dope stars inc.,chase the light,2006,08,0.483,0.959,11.0,-4.66,0.0,0.0333,5.29e-06,0.216,0.297,0.891,155.029,0
the vaughan brothers,good texan,1990,09,0.79,0.588,9.0,-10.241,1.0,0.0519,0.0511,0.0013,0.29,0.82,142.573,0
cabas,como nuestro amor no hay dos,2008,04,0.714,0.864,0.0,-5.96,1.0,0.0662,0.585,0.0,0.279,0.81,108.061,0
elvenking,trows kind,2006,01,0.509,0.902,10.0,-5.273,0.0,0.0466,2.91e-05,4.01e-05,0.221,0.527,100.065,0
arturo sandoval,my funny valentine,2013,02,0.323,0.116,11.0,-14.248,0.0,0.0352,0.855,1.07e-05,0.138,0.0724,143.309,0
nick colionne,if you ask me,2006,01,0.697,0.787,11.0,-6.946,1.0,0.027,0.369,0.803,0.302,0.937,101.99,0
sleepy john estes,need more blues,2005,04,0.555,0.277,11.0,-10.031,1.0,0.0334,0.928,0.00163,0.0995,0.471,83.436,0
snap!,beauty queen ,2005,01,0.819,0.818,10.0,-9.54,0.0,0.0339,0.000718,0.208,0.109,0.822,130.288,0
jesse malin and the st. marks social,revelations,2010,04,0.476,0.921,9.0,-4.771,1.0,0.052,0.0149,0.000206,0.0679,0.364,126.016,0
dark party,active,2009,01,0.564,0.805,5.0,-4.156,0.0,0.0455,0.047,0.71,0.101,0.391,175.947,0
william orbit,harry flowers,1993,01,0.583,0.251,7.0,-21.53,1.0,0.0352,0.0438,0.909,0.0749,0.21,146.365,0
radio moscow,broke down,2009,04,0.386,0.875,0.0,-6.823,1.0,0.101,0.00445,0.00175,0.24,0.792,75.896,0
stille volk,orgasme tellurique,2003,06,0.549,0.73,5.0,-12.629,1.0,0.0319,0.348,2.75e-05,0.15,0.817,149.971,0
tina ann,too late ,2004,10,0.593,0.959,2.0,-2.88,0.0,0.0347,0.00185,0.0016,0.115,0.548,134.984,0
backstreet boys,the call,2000,11,0.696,0.874,10.0,-3.318,0.0,0.0772,0.117,0.0,0.331,0.747,104.196,0
lyrics born,over you ,2005,04,0.659,0.53,11.0,-4.653,0.0,0.114,0.0392,0.0336,0.177,0.546,174.736,0
les ogres de barback,printemps,1999,01,0.646,0.505,10.0,-8.339,1.0,0.0505,0.696,0.0246,0.0406,0.886,148.873,0
matisyahu,refuge,2005,04,0.484,0.59,4.0,-8.617,0.0,0.135,0.117,1.79e-06,0.886,0.499,84.009,0
debbie davies,backseat driver,2005,06,0.673,0.858,9.0,-5.75,1.0,0.0393,0.0378,0.000363,0.135,0.934,125.198,0
ashton shepherd,old memory,2008,01,0.468,0.408,3.0,-5.35,1.0,0.0284,0.626,2.89e-06,0.114,0.174,128.941,0
rubyhorse,the  first of the year,2002,01,0.397,0.376,0.0,-11.447,1.0,0.0355,0.744,0.0365,0.337,0.154,125.135,0
vangelis,procession,1990,01,0.528,0.354,2.0,-18.476,1.0,0.0307,0.0577,0.225,0.0929,0.226,59.883,0
babylon disco,multiplayer,2007,02,0.627,0.544,11.0,-17.444,0.0,0.0525,0.0605,0.189,0.113,0.756,89.976,0
mariah carey,mine again,2005,01,0.688,0.367,7.0,-8.89,0.0,0.0611,0.723,7.78e-06,0.114,0.371,131.883,0
rhian sheehan,existing alone,2001,07,0.24,0.488,1.0,-16.478,1.0,0.136,0.752,0.634,0.119,0.0879,128.19,0
bob marley,small axe,2000,01,0.832,0.531,10.0,-7.386,1.0,0.225,0.743,0.0,0.229,0.832,98.587,0
dolores keane,telling me lies,2006,05,0.603,0.337,9.0,-12.708,1.0,0.0284,0.546,2.32e-05,0.175,0.139,114.18,0
everyday sunday,wake up! wake up! ,2007,01,0.511,0.847,1.0,-3.743,1.0,0.0339,0.000108,0.0,0.107,0.811,151.939,0
stephen marley / damian marley,the mission,2008,01,0.844,0.725,9.0,-7.182,0.0,0.0462,0.16,0.0,0.246,0.961,116.033,0
helen love,first boyfriend,2007,11,0.69,0.765,8.0,-6.732,1.0,0.0558,0.0242,0.0,0.36,0.967,97.55,0
incubus,just a phase,2001,10,0.611,0.563,9.0,-7.722,1.0,0.0291,0.15,0.547,0.539,0.0938,108.002,0
the almost,little drummer boy,2008,01,0.661,0.575,0.0,-8.151,1.0,0.0465,0.207,6.58e-06,0.108,0.417,164.004,0
the black crowes,sting me,1992,01,0.552,0.972,0.0,-3.744,1.0,0.0584,0.0068,0.0,0.123,0.639,129.309,0
doug macleod,the sun shine down my way,2015,06,0.518,0.193,2.0,-9.062,1.0,0.0515,0.777,0.0141,0.105,0.211,169.181,0
bill perry,man  on the side,2004,08,0.282,0.652,9.0,-6.353,0.0,0.0299,0.119,0.373,0.35,0.432,109.106,0
cobra killer,kick jump - part jump,1998,09,0.406,0.66,6.0,-9.018,1.0,0.301,0.514,0.59,0.163,0.295,128.562,0
sugar minott,informer,2011,10,0.808,0.671,8.0,-6.252,0.0,0.295,0.21,1.48e-06,0.138,0.836,77.531,0
backstreet boys,shape of my heart,2000,11,0.575,0.786,9.0,-4.353,1.0,0.0296,0.252,0.0,0.159,0.518,96.102,0
bob marley,lively up yourself,2015,02,0.599,0.776,7.0,-8.431,1.0,0.0677,0.0996,3.65e-05,0.267,0.869,76.114,0
sofia karlsson,i denna ljuva sommartid,2002,02,0.372,0.0999,0.0,-13.856,1.0,0.0398,0.94,1.53e-05,0.133,0.297,111.564,0
seal,still love remains ,1998,11,0.389,0.397,5.0,-11.155,0.0,0.0336,0.719,0.005,0.113,0.209,154.001,0
planetakis,letters to norway,2007,08,0.497,0.99,0.0,-2.021,1.0,0.105,0.00682,0.0,0.0971,0.55,138.058,0
robben ford,spoonful,2009,01,0.528,0.879,11.0,-6.392,0.0,0.0967,0.0185,0.114,0.877,0.639,126.099,0
byzantine,absolute horizon,2008,01,0.261,0.97,0.0,-5.378,1.0,0.124,2.33e-05,0.0087,0.17,0.146,98.884,0
halfway to gone,turnpike,2004,04,0.348,0.795,11.0,-5.114,0.0,0.0466,1.47e-05,0.733,0.0466,0.213,122.529,0
kings of leon,genius,2003,08,0.442,0.83,7.0,-5.978,1.0,0.0478,0.0275,0.0,0.218,0.506,125.554,0
kings of leon,my party ,2007,04,0.398,0.858,11.0,-5.84,1.0,0.0405,0.00363,0.0945,0.0594,0.688,128.775,0
a tribe called quest,scenario,1991,09,0.795,0.6,2.0,-14.004,1.0,0.341,0.112,0.000171,0.111,0.633,101.78,0
placebo,evalia,2016,02,0.589,0.555,6.0,-10.829,1.0,0.0357,0.0109,0.00194,0.683,0.6,97.739,0
uphill battle,thresh hold,2004,02,0.37,0.983,7.0,-1.297,1.0,0.132,1.19e-05,0.708,0.175,0.1,108.718,0
moments in grace,broken promises ,2004,08,0.402,0.962,10.0,-6.517,1.0,0.177,9.01e-05,0.00186,0.0474,0.12,144.971,0
mau mau,neir,2004,01,0.534,0.802,1.0,-7.335,1.0,0.0657,0.218,4.48e-06,0.136,0.645,81.094,0
nine inch nails,survivalism,2007,01,0.622,0.664,11.0,-5.592,0.0,0.0805,0.000825,0.186,0.135,0.388,129.991,0
pascal obispo,chlore,1994,09,0.535,0.339,5.0,-13.64,0.0,0.0315,0.208,0.000884,0.234,0.378,139.816,0
k-os,aquacityboy,2006,01,0.43,0.914,10.0,-3.81,1.0,0.239,0.0181,0.0,0.244,0.741,93.037,0
tin hat trio,width of the world,2000,01,0.243,0.259,7.0,-12.661,1.0,0.0298,0.615,0.0673,0.1,0.105,146.268,0
rihanna,music of the sun,2005,08,0.535,0.643,0.0,-8.182,1.0,0.155,0.112,0.0,0.281,0.632,171.884,0
kanye west,street lights,2008,01,0.641,0.488,1.0,-9.604,1.0,0.0349,0.0321,0.0293,0.233,0.441,125.497,0
grace gale,la matanza,2008,05,0.477,0.905,0.0,-5.901,0.0,0.0428,0.00923,5.3e-05,0.111,0.676,155.075,0
christina aguilera,beautiful,2002,07,0.457,0.573,5.0,-3.866,0.0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,0
twista,had to call ,2005,10,0.91,0.751,8.0,-6.442,1.0,0.202,0.407,0.0,0.0922,0.855,136.549,0
geddy lee,runaway train ,2000,11,0.587,0.845,7.0,-6.149,1.0,0.03,0.000322,0.0127,0.158,0.535,119.905,0
jerry goldsmith,the keys,1997,01,0.219,0.166,5.0,-28.018,0.0,0.0501,0.607,0.935,0.1,0.12,129.287,0
alexis hk,juste une fois,2004,11,0.563,0.228,9.0,-14.17,1.0,0.0852,0.853,0.0,0.382,0.508,92.928,0
neon blonde,new detroit,2005,09,0.249,0.773,7.0,-5.053,1.0,0.0402,0.0866,9.89e-06,0.106,0.489,139.515,0
korn,proud,2006,04,0.349,0.971,2.0,-3.62,1.0,0.196,0.000299,0.0231,0.381,0.371,118.076,0
soul ballet,da da diamonds,2007,09,0.796,0.681,9.0,-7.236,0.0,0.0364,0.0543,0.0205,0.0928,0.418,106.005,0
sigmatropic,the blue side of the sun,2007,09,0.733,0.501,0.0,-8.836,1.0,0.0417,0.254,0.00234,0.207,0.37,117.943,0
snowgoons,platoon goons,2009,05,0.604,0.902,5.0,-4.382,0.0,0.343,0.00488,0.0,0.38,0.436,96.002,0
eminem,paul,2018,08,0.707,0.314,6.0,-10.115,0.0,0.747,0.977,0.0,0.109,0.602,104.014,0
eyes set to kill,liar in the glass,2008,02,0.255,0.919,2.0,-3.769,1.0,0.143,3.65e-05,0.0118,0.197,0.411,91.978,0
cali,dolorosa ,2003,08,0.494,0.908,0.0,-4.38,0.0,0.0414,0.375,0.026,0.142,0.663,155.981,0
kurupt,girls all pause,2012,10,0.953,0.622,11.0,-7.76,1.0,0.25,0.0931,0.0,0.29,0.742,103.427,0
janet jackson,again,1997,10,0.873,0.591,7.0,-8.942,1.0,0.102,0.0788,0.0071,0.104,0.496,123.091,0
basement jaxx,twerk ,2009,09,0.767,0.908,4.0,-4.726,0.0,0.0723,0.00337,0.0928,0.313,0.715,127.97,0
swallow the sun,...and heavens cried blood,2009,01,0.27,0.735,0.0,-6.575,0.0,0.0344,0.000671,0.0597,0.0963,0.196,143.422,0
jah cure,to your arms of love,2009,05,0.33,0.366,8.0,-7.744,1.0,0.0393,0.828,0.0,0.159,0.359,167.334,0
justin timberlake,what goes around...comes around,2006,09,0.687,0.723,7.0,-4.751,1.0,0.0709,0.122,0.00102,0.573,0.432,76.0,0
willy deville,cadillac walk ,2012,08,0.478,0.77,7.0,-8.435,1.0,0.213,0.0684,0.632,0.697,0.513,75.927,0
madonna,bedtime story ,1994,10,0.712,0.612,0.0,-12.74,1.0,0.0441,0.831,0.441,0.118,0.526,112.028,0
sister hazel,think about me,1997,01,0.544,0.766,7.0,-4.652,1.0,0.0459,0.00843,0.00159,0.0341,0.839,139.174,0
rihanna,sos,2006,04,0.677,0.671,7.0,-4.905,1.0,0.0361,0.004,5.07e-05,0.413,0.527,137.046,0
alexandre desplat,high-speed french train,2009,01,0.763,0.259,10.0,-18.913,1.0,0.0425,0.623,0.256,0.196,0.181,119.978,0
the almost,books & books,2009,01,0.413,0.956,11.0,-4.338,0.0,0.0746,0.000339,0.0,0.129,0.257,169.975,0
seal,when a man is wrong ,1998,11,0.486,0.477,4.0,-9.312,1.0,0.0283,0.166,5.74e-06,0.108,0.181,146.879,0
jim reeves,mexican joe,1997,02,0.753,0.334,9.0,-12.435,1.0,0.0528,0.795,0.0,0.0768,0.949,126.081,0
doyle bramhall,ooh wee baby,2007,09,0.385,0.654,2.0,-5.978,1.0,0.0403,0.014,0.158,0.344,0.222,180.084,0
kt tunstall,boo hoo,2006,01,0.664,0.531,7.0,-6.838,1.0,0.0278,0.487,0.000178,0.123,0.488,127.847,0
bow wow wow,c30 c60 c90 go,1993,09,0.641,0.692,10.0,-8.46,0.0,0.0562,0.178,0.418,0.0535,0.583,115.048,0
les brown,harlem nocturne,1994,01,0.325,0.196,7.0,-15.146,0.0,0.0273,0.923,0.0413,0.0963,0.276,87.606,0
george lopez,dogs,2017,09,0.491,0.931,9.0,-13.664,1.0,0.756,0.816,9.44e-06,0.716,0.037,91.082,0
pascal obispo,la machine,2006,05,0.694,0.698,8.0,-7.33,0.0,0.0372,0.152,0.000424,0.082,0.438,129.997,0
hall & oates,perkiomen,2006,01,0.703,0.481,3.0,-9.116,0.0,0.0501,0.577,0.00103,0.0861,0.628,105.124,0
white willow,the reach,2000,01,0.325,0.313,2.0,-13.763,1.0,0.0425,0.07,0.174,0.353,0.0392,118.58,0
plump djs,weighed down,2003,06,0.885,0.912,0.0,-7.48,1.0,0.251,0.151,0.0141,0.28,0.396,134.023,0
