Title,ArtistName
gorgeous,taylor swift
transportin',kodak black
relationship,young thug featuring future
mayores,becky g featuring bad bunny
sauce it up,lil uzi vert
ask me how i know,garth brooks
smooth,florida georgia line
broken halos,chris stapleton
wait,maroon 5
pull up n wreck,big sean & metro boomin featuring 21 savage
you broke up with me,walker hayes
go flex,post malone
patek water,future & young thug featuring offset
glorious,macklemore featuring skylar grey
mad stalkers,21 savage, offset & metro boomin
nightmare,offset & metro boomin
macarena (bayside boys mix),los del rio
i love you always forever,donna lewis
twisted,keith sweat
loungin,ll cool j
change the world,eric clapton
c'mon n' ride it (the train),quad city dj's
it's all coming back to me now,celine dion
you're makin' me high/let it flow,toni braxton
i can't sleep baby (if i),r. kelly
you learn/you oughta know,alanis morissette
give me one reason,tracy chapman
hit me off,new edition
where do you go,no mercy
only you,112 featuring the notorious b.i.g.
who will save your soul,jewel
counting blue cars,dishwalla
how do u want it/california love,2pac featuring k-ci and jojo
elevators (me & you),outkast
if your girl only knew,aaliyah
last night (from "the nutty professor"),az yet
insensitive (from "bed of roses"),jann arden
that girl,maxi priest featuring shaggy
key west intermezzo (i saw you first),john mellencamp
use your heart,swv
po pimp,do or die (featuring twista)
sweet dreams,la bouche
stupid girl,garbage
jealousy,natalie merchant
because you loved me (from "up close & personal"),celine dion
why does it hurt so bad (from "waiting to exhale"),whitney houston
always be my baby,mariah carey
why i love you so much/ain't nobody,monica
nobody knows,the tony rich project
missing you (from "set it off"),brandy, tamia, gladys knight & chaka khan
kissin' you,total
macarena,los del rio
ironic,alanis morissette
the earth  the sun  the rain,color me badd
follow you down/til i hear it from you,gin blossoms
tucker's town,hootie & the blowfish
the things that you do,gina thompson
my boo,ghost town dj's
this is your night,amber
children,robert miles
let's make a night to remember,bryan adams
ascension (don't ever wonder),maxwell
touch myself (from "fled"),t-boz
like a woman,the tony rich project
e-bow the letter,r.e.m.
tell me (i'll be around),shades
touch me tease me (from "the nutty professor"),case featuring foxxy brown
tell me (from "eddie"),dru hill
blackberry molasses,mista
i like (from "the nutty professor"),montell jordan featuring slick rick
don't look back in anger,oasis
who you are,pearl jam
tha crossroads,bone thugs-n-harmony
if i ruled the world,nas
mouth,merril bainbridge
wu-wear: the garment renaissance (from "high school high"),rza feat. method man & cappadonna
do you miss me,jocelyn enriquez
someday (from "the hunchback of notre dame"),all-4-one
pony,ginuwine
blue,leann rimes
baby luv,groove theory
all i see,a+
tonight  tonight,the smashing pumpkins
where do we go from here,deborah cox
it's a party,busta rhymes featuring zhane
until it sleeps,metallica
what kind of man would i be,mint condition
shake a lil' somethin'...,the 2 live crew
ready to go,republica
steelo,702
as long as it matters,gin blossoms
all along,blessid union of souls
guys do it all the time,mindy mccready
gettin' it,too short feat. parliament funkadelic
where it's at,beck
where do we go from here (from "eraser"),vanessa williams
macarena,los del mar
you'll be mine (party time),gloria estefan
movin' on,cece peniston
jellyhead,crush
flood,jars of clay
just because i love you,lina santiago
it's all the way live (now) (from "eddie"),coolio
hay,crucial conflict
theme from mission: impossible (from "mission: impossible"),adam clayton & larry mullen
angeline is coming home,the badlees
get on up,jodeci
can you feel me,dru down
maria,ricky martin
can't knock the hustle,jay-z
one by one,cher
you,monifah
jump on it,sir mix-a-lot
dirty south,goodie mob
dj girl,katalina
fastlove,george michael
candy shop,50 cent featuring olivia
hate it or love it,the game featuring 50 cent
hollaback girl,gwen stefani
lonely,akon
since u been gone,kelly clarkson
obsession (no es amor),frankie j featuring baby bash
boulevard of broken dreams,green day
oh,ciara featuring ludacris
disco inferno,50 cent
1 thing,amerie
mr. brightside,the killers
switch,will smith
lonely no more,rob thomas
some cut,trillville featuring cutty
rich girl,gwen stefani featuring eve
goin' crazy,natalie
let me love you,mario
slow down,bobby valentino
caught up,usher
karma,alicia keys
1  2 step,ciara featuring missy elliott
just a lil bit,50 cent
u don't know me,t.i.
number one spot,ludacris
how we do,the game featuring 50 cent
sugar (gimme some),trick daddy featuring ludacris, lil' kim & cee-lo
it's like that,mariah carey
incomplete,backstreet boys
beverly hills,weezer
we belong together,mariah carey
don't phunk with my heart,the black eyed peas
wait (the whisper song),ying yang twins
let me go,3 doors down
breakaway,kelly clarkson
girlfight,brooke valentine featuring lil jon & big boi
truth is,fantasia
girl,destiny's child
collide,howie day
o,omarion
ordinary people,john legend
u already know,112 featuring foxy brown
mockingbird,eminem
i'm a hustla,cassidy
baby i'm back,baby bash featuring akon
holiday,green day
she will be loved,maroon 5
almost,bowling for soup
look what you've done,jet
okay,nivea featuring lil jon & youngbloodz
i don't want to be,gavin degraw
be yourself,audioslave
anything but mine,kenny chesney
gone,montgomery gentry
under pressure,the used and my chemical romance
how could you,mario
it's getting better all the time,brooks & dunn
grind with me,pretty ricky
again,faith evans
signs,snoop dogg featuring charlie wilson & justin timberlake
scars,papa roach
bless the broken road,rascal flatts
that's what i love about sunday,craig morgan
sunday morning,maroon 5
still tippin',mike jones featuring slim thug & paul wall
behind these hazel eyes,kelly clarkson
homewrecker,gretchen wilson
you and me,lifehouse
nothin' to lose,josh gracin
if heaven,andy griggs
honkytonk u,toby keith
hold you down,jennifer lopez featuring fat joe
get right,jennifer lopez
songs about me,trace adkins
my give a damn's busted,jo dee messina
making memories of us,keith urban
the hand that feeds,nine inch nails
what's a guy gotta do,joe nichols
e-pro,beck
lot of leavin' left to do,dierks bentley
chariot,gavin degraw
so much more,fat joe
sitting  waiting  wishing,jack johnson
b.y.o.b.,system of a down
you'll be there,george strait
hello tomorrow,squeak e. clean featuring karen o
mjb da mvp,mary j. blige featuring the game & 50 cent
god's will,martina mcbride
baby mama,fantasia
happy?,mudvayne
drugs or jesus,tim mcgraw
la camisa negra,juanes
breathe (2 am),anna nalick
jerk it out,caesars
how do you get that lonely,blaine larsen
cater 2 u,destiny's child
i'll take that as a yes (the hot tub song),phil vassar
sometimes you can't make it on your own,u2
somewhere only we know,keane
class reunion (that used to be us),lonestar
free yourself,fantasia
despacito,luis fonsi & daddy yankee featuring justin bieber
that's what i like,bruno mars
i'm the one,dj khaled featuring justin bieber, quavo, chance the rapper & lil wayne
shape of you,ed sheeran
humble.,kendrick lamar
something just like this,the chainsmokers & coldplay
mask off,future
xo tour llif3,lil uzi vert
stay,zedd & alessia cara
malibu,miley cyrus
say you won't let go,james arthur
it ain't me,kygo x selena gomez
congratulations,post malone featuring quavo
issues,julia michaels
ispy,kyle featuring lil yachty
body like a back road,sam hunt
sign of the times,harry styles
dna.,kendrick lamar
location,khalid
believer,imagine dragons
passionfruit,drake
bad and boujee,migos featuring lil uzi vert
in case you didn't know,brett young
unforgettable,french montana featuring swae lee
slide,calvin harris featuring frank ocean & migos
tunnel vision,kodak black
closer,the chainsmokers featuring halsey
rockabye,clean bandit featuring sean paul & anne-marie
redbone,childish gambino
rolex,ayo & teo
t-shirt,migos
there's nothing holdin' me back,shawn mendes
cold,maroon 5 featuring future
hurricane,luke combs
swang,rae sremmurd
swalla,jason derulo featuring nicki minaj & ty dolla $ign
goosebumps,travis scott
now or never,halsey
castle on the hill,ed sheeran
24k magic,bruno mars
scars to your beautiful,alessia cara
paris,the chainsmokers
love on the brain,rihanna
both,gucci mane featuring drake
attention,charlie puth
i feel it coming,the weeknd featuring daft punk
drowning,a boogie wit da hoodie featuring kodak black
i don't wanna live forever (fifty shades darker),zayn / taylor swift
look at me!,xxxtentacion
bounce back,big sean
love.,kendrick lamar featuring zacari
slippery,migos featuring gucci mane
the cure,lady gaga
heavy,linkin park featuring kiiara
magnolia,playboi carti
if i told you,darius rucker
black,dierks bentley
portland,drake featuring quavo & travis scott
bon appetit,katy perry featuring migos
slow hands,niall horan
the fighter,keith urban featuring carrie underwood
rollin,calvin harris featuring future & khalid
everyday we lit,yfn lucci featuring pnb rock
1-800-273-8255,logic featuring alessia cara & khalid
god  your mama  and me,florida georgia line featuring backstreet boys
loyalty.,kendrick lamar featuring rihanna
first day out,tee grizzley
losin control,russ
the weekend,brantley gilbert
element.,kendrick lamar
craving you,thomas rhett featuring maren morris
at my best,machine gun kelly featuring hailee steinfeld
privacy,chris brown
how not to,dan + shay
human,rag'n'bone man
wokeuplikethis*,playboi carti featuring lil uzi vert
scared to be lonely,martin garrix & dua lipa
hometown girl,josh turner
my girl,dylan scott
bad liar,selena gomez
every time i hear that song,blake shelton
prblms,6lack
you look good,lady antebellum
yeah boy,kelsea ballerini
drinkin' problem,midland
flatliner,cole swindell
my old man,zac brown band
chained to the rhythm,katy perry featuring skip marley
good drank,2 chainz x gucci mane x quavo
good life,g-eazy & kehlani
any ol' barstool,jason aldean
whatever it takes,imagine dragons
felices los 4,maluma
thunder,imagine dragons
no promises,cheat codes featuring demi lovato
cake,flo rida & 99 percent
el amante,nicky jam
ghost in this house,lauren duski
do re mi,blackbear
me enamore,shakira
can't hold us,macklemore & ryan lewis featuring ray dalton
just give me a reason,p!nk featuring nate ruess
mirrors,justin timberlake
when i was your man,bruno mars
stay,rihanna featuring mikky ekko
cruise,florida georgia line featuring nelly
come & get it,selena gomez
radioactive,imagine dragons
i love it,icona pop featuring charli xcx
get lucky,daft punk featuring pharrell williams
thrift shop,macklemore & ryan lewis featuring wanz
blurred lines,robin thicke featuring t.i. + pharrell
the way,ariana grande featuring mac miller
heart attack,demi lovato
my songs know what you did in the dark (light em up),fall out boy
boys 'round here,blake shelton featuring pistol annies & friends
feel this moment,pitbull featuring christina aguilera
started from the bottom,drake
#thatpower,will.i.am featuring justin bieber
#beautiful,mariah carey featuring miguel
wagon wheel,darius rucker
young and beautiful,lana del rey
power trip,j. cole featuring miguel
highway don't care,tim mcgraw with taylor swift
suit & tie,justin timberlake featuring jay z
22,taylor swift
love me,lil wayne featuring drake & future
next to me,emeli sande
bad,wale featuring tiara thomas or rihanna
clarity,zedd featuring foxes
here's to never growing up,avril lavigne
bitch  don't kill my vibe,kendrick lamar
ho hey,the lumineers
fine china,chris brown
get your shine on,florida georgia line
cups (pitch perfect's when i'm gone),anna kendrick
locked out of heaven,bruno mars
bugatti,ace hood featuring future & rick ross
daylight,maroon 5
the other side,jason derulo
i knew you were trouble.,taylor swift
mama's broken heart,miranda lambert
give it all we got tonight,george strait
alive,krewella
u.o.e.n.o.,rocko featuring future & rick ross
rich as f**k,lil wayne featuring 2 chainz
sail,awolnation
crash my party,luke bryan
gentleman,psy
harlem shake,baauer
body party,ciara
lego house,ed sheeran
downtown,lady antebellum
no new friends (sftb remix),dj khaled featuring drake, rick ross & lil wayne
carry on,fun.
i want crazy,hunter hayes
gone  gone  gone,phillip phillips
i need your love,calvin harris featuring ellie goulding
done.,the band perry
troublemaker,olly murs featuring flo rida
pour it up,rihanna
live it up,jennifer lopez featuring pitbull
pirate flag,kenny chesney
anywhere with you,jake owen
beat this summer,brad paisley
like jesus does,eric church
we still in this b****,b.o.b featuring t.i. & juicy j
demons,imagine dragons
sure be cool if you did,blake shelton
hey pretty girl,kip moore
treasure,bruno mars
same love,macklemore & ryan lewis featuring mary lambert
love and war,tamar braxton
beat it,sean kingston featuring chris brown & wiz khalifa
runnin' outta moonlight,randy houser
1994,jason aldean
a little party never killed nobody (all we got),fergie, q-tip & goonrock
high school,nicki minaj featuring lil wayne
loveeeeeee song,rihanna featuring future
wild for the night,a$ap rocky featuring skrillex
see you again,carrie underwood
how many drinks?,miguel
tapout,rich gang featuring lil wayne, birdman, future, mack maine, nicki minaj
levitate,hadouken!
more than miles,brantley gilbert
if i didn't have you,thompson square
wings,little mix
kisses down low,kelly rowland
molly,tyga featuring cedric gervais, wiz khalifa & mally mall
safe and sound,capital cities
jump right in,zac brown band
karate chop (remix),future featuring lil wayne
i am beautiful,candice glover
little bit of everything,keith urban
all over the road,easton corbin
ready,fabolous featuring chris brown
can't shake you,gloriana
really don't care,demi lovato featuring cher lloyd
people like us,kelly clarkson
i drive your truck,lee brice
love yourself,justin bieber
sorry,justin bieber
stressed out,twenty one pilots
hello,adele
my house,flo rida
roses,the chainsmokers featuring rozes
hands to myself,selena gomez
same old love,selena gomez
work,rihanna featuring drake
here,alessia cara
stitches,shawn mendes
me  myself & i,g-eazy x bebe rexha
in the night,the weeknd
hotline bling,drake
like i'm gonna lose you,meghan trainor featuring john legend
don't,bryson tiller
what do you mean?,justin bieber
cake by the ocean,dnce
white iverson,post malone
jumpman,drake & future
the hills,the weeknd
one call away,charlie puth
antidote,travis scott
hide away,daya
i know what you did last summer,shawn mendes & camila cabello
die a happy man,thomas rhett
say it,tory lanez
679,fetty wap featuring remy boyz
when we were young,adele
break up in a small town,sam hunt
ex's & oh's,elle king
on my mind,ellie goulding
down in the dm,yo gotti featuring nicki minaj
wildest dreams,taylor swift
can't feel my face,the weeknd
lean on,major lazer & dj snake featuring mo
stand by you,rachel platten
home alone tonight,luke bryan featuring karen fairchild
watch me,silento
exchange,bryson tiller
see you again,wiz khalifa featuring charlie puth
no role modelz,j. cole
perfect,one direction
out of the woods,taylor swift
adventure of a lifetime,coldplay
again,fetty wap
confident,demi lovato
back to sleep,chris brown
best friend,young thug
stay a little longer,brothers osborne
irresistible,fall out boy
get ugly,jason derulo
oui,jeremih
sugar,robin schulz featuring francesco yates
backroad song,granger smith
bake sale,wiz khalifa featuring travi$ scott
7 years,lukas graham
heartbeat,carrie underwood
i took a pill in ibiza,mike posner
you should be here,cole swindell
break on me.,keith urban
drunk on your love,brett eldredge
beautiful drug,zac brown band
watch out,2 chainz
walking on a dream,empire of the sun
dibs,kelsea ballerini
2 phones,kevin gates
i love this life,locash
confession,florida georgia line
good to be alive (hallelujah),andy grammer
big rings,drake & future
we went,randy houser
i got the boy,jana kramer
the fix,nelly featuring jeremih
let it go,james bay
nobody to blame,chris stapleton
sorry not sorry,bryson tiller
do it like me,dlow
bang my head,david guetta featuring sia & fetty wap
$ave dat money,lil dicky featuring fetty wap & rich homie quan
something in the way you move,ellie goulding
really really,kevin gates
back up,dej loaf featuring big sean
wtf (where they from),missy elliott featuring pharrell williams
mr. misunderstood,eric church
hollow,tori kelly
i like the sound of that,rascal flatts
middle,dj snake featuring bipolar sunshine
focus,ariana grande
dessert,dawin
my church,maren morris
play no games,big sean featuring chris brown & ty dolla $ign
gonna know we were here,jason aldean
country nation,brad paisley
humble and kind,tim mcgraw
emperor's new clothes,panic! at the disco
bottom of the bottle,curren$y featuring august alsina & lil wayne
somewhere on a beach,dierks bentley
acquainted,the weeknd
snapback,old dominion
crank that (soulja boy),soulja boy tell'em
stronger,kanye west
gimme more,britney spears
apologize,timbaland featuring onerepublic
the way i are,timbaland featuring keri hilson
bed,j. holiday
bubbly,colbie caillat
no one,alicia keys
big girls don't cry,fergie
good life,kanye west featuring t-pain
ayo technology,50 cent featuring justin timberlake & timbaland
rockstar,nickelback
cyclone,baby bash featuring t-pain
who knew,p!nk
how far we've come,matchbox twenty
let it go,keyshia cole featuring missy elliott & lil kim
shawty,plies featuring t-pain
hate that i love you,rihanna featuring ne-yo
lovestoned,justin timberlake
hey there delilah,plain white t's
bartender,t-pain featuring akon
take me there,rascal flatts
wake up call,maroon 5
wait for you,elliott yamin
over you,daughtry
umbrella,rihanna featuring jay-z
1234,feist
until the end of time,justin timberlake duet with beyonce
the great escape,boys like girls
don't blink,kenny chesney
baby don't go,fabolous featuring jermaine dupri
paralyzer,finger eleven
beautiful girls,sean kingston
make me better,fabolous featuring ne-yo
kiss kiss,chris brown featuring t-pain
when you're gone,avril lavigne
the way i am,ingrid michaelson
me love,sean kingston
home,daughtry
duffle bag boy,playaz circle featuring lil wayne
first time,lifehouse
i get money,50 cent
online,brad paisley
thnks fr th mmrs,fall out boy
hood figga,gorilla zoe
before he cheats,carrie underwood
shawty is a 10,the-dream
love me if you can,toby keith
buy u a drank (shawty snappin'),t-pain featuring yung joc
do it well,jennifer lopez
so small,carrie underwood
you know what it is,t.i. featuring wyclef jean
the pretender,foo fighters
a bay bay,hurricane chris
blue magic,jay-z
tattoo,jordin sparks
if you're reading this,tim mcgraw
proud of the house we built,brooks & dunn
sorry  blame it on me,akon
bleed it out,linkin park
i'm so hood,dj khaled featuring t-pain, trick daddy, rick ross & plies
free and easy (down the road i go),dierks bentley
i don't wanna be in love (dance floor anthem),good charlotte
shut up and drive,rihanna
do you,ne-yo
whine up,kat deluna featuring elephant man
our song,taylor swift
more than a memory,garth brooks
my drink n' my 2 step,cassidy featuring swizz beatz
misery business,paramore
can't help but wait,trey songz
soulja girl,soulja boy tell'em featuring i-15
teenagers,my chemical romance
all my friends say,luke bryan
can't leave 'em alone,ciara featuring 50 cent
livin' our love song,jason michael carroll
never too late,three days grace
freaky gurl,gucci mane
can't tell me nothing,kanye west
s.o.s.,jonas brothers
how 'bout them cowgirls,george strait
fall,clay walker
wadsyaname,nelly
firecracker,josh turner
never wanted nothing more,kenny chesney
sweetest girl (dollar bill),wyclef jean featuring akon, lil wayne & niia
these are my people,rodney atkins
potential breakup song,aly & aj
because of you,reba mcentire duet with kelly clarkson
hypnotized,plies featuring akon
int'l players anthem (i choose you),ugk featuring outkast
i got it from my mama,will.i.am
nothin' better to do,leann rimes
famous in a small town,miranda lambert
shoulda let you go,keyshia cole introducing amina
me enamora,juanes
into the night,santana featuring chad kroeger
everybody,keith urban
what do ya think about that,montgomery gentry
1973,james blunt
lose yourself,eminem
work it,missy "misdemeanor" elliott
jenny from the block,jennifer lopez featuring styles & jadakiss
'03 bonnie & clyde,jay-z featuring beyonce knowles
air force ones,nelly featuring kyjuan, ali & murphy lee
beautiful,christina aguilera
bump  bump  bump,b2k & p. diddy
don't mess with my man,nivea featuring brian & brandon casey
underneath it all,no doubt featuring lady saw
the game of love,santana featuring michelle branch
love of my life (an ode to hip hop),erykah badu featuring common
gimme the light,sean paul
she hates me,puddle of mudd
landslide,dixie chicks
miss you,aaliyah
i'm with you,avril lavigne
luv u better,ll cool j
dontchange,musiq
thugz mansion,2pac
hey ma,cam'ron featuring juelz santana, freekey zekey & toya
family portrait,p!nk
your body is a wonderland,john mayer
she'll leave you with a smile,george strait
one last breath,creed
all i have,jennifer lopez featuring ll cool j
dilemma,nelly featuring kelly rowland
when the last time,clipse
who's your daddy?,toby keith
cry me a river,justin timberlake
these days,rascal flatts
19 somethin',mark wills
ignition,r. kelly
disease,matchbox twenty
picture,kid rock featuring sheryl crow
die another day,madonna
i should be...,dru hill
fabulous,jaheim featuring tha rayne
when i'm gone,3 doors down
made you look,nas
stole,kelly rowland
complicated,avril lavigne
like i love you,justin timberlake
do that...,baby featuring p. diddy
fall into me,emerson drive
satisfaction,eve
somebody like you,keith urban
lifestyles of the rich and famous,good charlotte
react,erick sermon featuring redman
wanksta,50 cent
all my life,foo fighters
talkin' to me,amerie
red rag top,tim mcgraw
paradise,ll cool j featuring amerie
i care 4 u,aaliyah
thug lovin',ja rule featuring bobby brown
sk8er boi,avril lavigne
the baby,blake shelton
you know you're right,nirvana
i just wanna be mad,terri clark
a lot of things different,kenny chesney
something,lasgo
make it clap,busta rhymes featuring spliff star
always,saliva
the red,chevelle
don't know why,norah jones
dirrty,christina aguilera featuring redman
mesmerize,ja rule featuring ashanti
you can't hide beautiful,aaron lines
cochise,audioslave
these are the days,o-town
spin,lifehouse
fine again,seether
bother,stone sour
prayer,disturbed
gossip folks,missy "misdemeanor" elliott featuring ludacris
i'm gonna getcha good!,shania twain
a moment like this,kelly clarkson
no one knows,queens of the stone age
sick of being lonely,field mob
the zephyr song,red hot chili peppers
in a little while,uncle kracker
girl talk,tlc
cry,faith hill
through the rain,mariah carey
one of those days,whitney houston
from tha chuuuch to da palace,snoop dogg
every river,brooks & dunn
somewhere out there,our lady peace
come close to me,common featuring mary j. blige
aerials,system of a down
single for the rest of my life,isyss
come into my world,kylie minogue
rock the party,benzino
thug holiday,trick daddy featuring latocha scott
hit the freeway,toni braxton featuring loon
my town,montgomery gentry
work in progress,alan jackson
breathe,telepopmusik
goodbye to you,michelle branch
oh yeah!,big tymers featuring tateeze, boo & gotti
sorry,justin bieber
hello,adele
love yourself,justin bieber
stressed out,twenty one pilots
same old love,selena gomez
here,alessia cara
hotline bling,drake
stitches,shawn mendes
like i'm gonna lose you,meghan trainor featuring john legend
what do you mean?,justin bieber
roses,the chainsmokers featuring rozes
jumpman,drake & future
don't,bryson tiller
the hills,the weeknd
in the night,the weeknd
white iverson,post malone
antidote,travis scott
679,fetty wap featuring remy boyz
me  myself & i,g-eazy x bebe rexha
i know what you did last summer,shawn mendes & camila cabello
on my mind,ellie goulding
cake by the ocean,dnce
my house,flo rida
die a happy man,thomas rhett
ex's & oh's,elle king
say it,tory lanez
can't feel my face,the weeknd
wildest dreams,taylor swift
watch me,silento
confident,demi lovato
hide away,daya
lean on,major lazer & dj snake featuring mo
break up in a small town,sam hunt
one call away,charlie puth
perfect,one direction
down in the dm,yo gotti featuring nicki minaj
hands to myself,selena gomez
see you again,wiz khalifa featuring charlie puth
trap queen,fetty wap
lazarus,david bowie
when we were young,adele
space oddity,david bowie
no role modelz,j. cole
exchange,bryson tiller
under pressure,queen & david bowie
stand by you,rachel platten
again,fetty wap
home alone tonight,luke bryan featuring karen fairchild
locked away,r. city featuring adam levine
adventure of a lifetime,coldplay
back to sleep,chris brown
best friend,young thug
focus,ariana grande
stay a little longer,brothers osborne
out of the woods,taylor swift
i got the boy,jana kramer
irresistible,fall out boy
do it like me,dlow
i love this life,locash
back up,dej loaf featuring big sean
gonna know we were here,jason aldean
get ugly,jason derulo
big rings,drake & future
oui,jeremih
backroad song,granger smith
the fix,nelly featuring jeremih
i'll show you,justin bieber
sugar,robin schulz featuring francesco yates
beautiful drug,zac brown band
heartbeat,carrie underwood
2 phones,kevin gates
break on me.,keith urban
wtf (where they from),missy elliott featuring pharrell williams
sorry not sorry,bryson tiller
dibs,kelsea ballerini
new americana,halsey
$ave dat money,lil dicky featuring fetty wap & rich homie quan
blackstar,david bowie
dessert,dawin
used to love you,gwen stefani
good to be alive (hallelujah),andy grammer
you should be here,cole swindell
really really,kevin gates
confession,florida georgia line
watch out,2 chainz
mr. misunderstood,eric church
let it go,james bay
lay it all on me,rudimental featuring ed sheeran
play no games,big sean featuring chris brown & ty dolla $ign
hollow,tori kelly
right hand,drake
gonna,blake shelton
we went,randy houser
drunk on your love,brett eldredge
rgf island,fetty wap
come get her,rae sremmurd
nobody to blame,chris stapleton
bang my head,david guetta featuring sia & fetty wap
blase,ty dolla $ign featuring future & rae sremmurd
ginza,j balvin
whatever you like,t.i.
live your life,t.i. featuring rihanna
so what,p!nk
womanizer,britney spears
hot n cold,katy perry
disturbia,rihanna
let it rock,kevin rudolf featuring lil wayne
miss independent,ne-yo
fearless,taylor swift
can't believe it,t-pain featuring lil wayne
better in time,leona lewis
love lockdown,kanye west
i'm yours,jason mraz
love story,taylor swift
paper planes,m.i.a.
closer,ne-yo
gotta be somebody,nickelback
mrs. officer,lil wayne featuring bobby valentino & kidd kidd
right now (na na na),akon
one step at a time,jordin sparks
crush,david archuleta
my life,the game featuring lil wayne
got money,lil wayne featuring t-pain
fall for you,secondhand serenade
viva la vida,coldplay
forever,chris brown
keeps gettin' better,christina aguilera
spotlight,jennifer hudson
in the ayer,flo rida featuring will.i.am
addicted,saving abel
american boy,estelle featuring kanye west
swagga like us,jay-z & t.i. featuring kanye west & lil wayne
what them girls like,ludacris co-starring chris brown & sean garrett
dangerous,kardinal offishall featuring akon
krazy,pitbull featuring lil jon
chicken fried,zac brown band
just a dream,carrie underwood
freeze,t-pain featuring chris brown
love remains the same,gavin rossdale
bleeding love,leona lewis
t-shirt,shontelle
all summer long,kid rock
everybody wants to go to heaven,kenny chesney with the wailers
get up,50 cent
need u bad,jazmine sullivan
she never cried in front of me,toby keith
shake it,metro station
don't think i don't think about it,darius rucker
what about now,daughtry
shattered (turn the car around),o.a.r.
so fly,slim featuring yung joc
green light,john legend featuring andre 3000
put on,young jeezy featuring kanye west
swing,savage featuring soulja boy tell'em
i'm so paid,akon featuring lil wayne & young jeezy
roll with me,montgomery gentry
all summer long,the rock heroes
human,the killers
just dance,lady gaga featuring colby o'donis
let it go,tim mcgraw
already gone,sugarland
it's over,jesse mccartney
angel,natasha bedingfield
right here (departed),brandy
waitin' on a woman,brad paisley
start a band,brad paisley duet with keith urban
bust your windows,jazmine sullivan
if i were a boy,beyonce
do you believe me now,jimmy wayne
come on get higher,matt nathanson
bartender song,rehab
single ladies (put a ring on it),beyonce
body on me,nelly featuring ashanti & akon
country man,luke bryan
lovebug,jonas brothers
here,rascal flatts
i'll walk,bucky covington
bad girlfriend,theory of a deadman
you're gonna go far  kid,the offspring
i don't care,fall out boy
in color,jamey johnson
johnny & june,heidi newfield
lookin' for a good time,lady antebellum
chopped 'n' skrewed,t-pain featuring ludacris
cuddy buddy,mike jones featuring trey songz & twista
all i ever wanted,chuck wicks
love remembers,craig morgan
cry for you,september
feel that fire,dierks bentley
you are the best thing,ray lamontagne
be ok,ingrid michaelson
i don't care,apocalyptica featuring adam gontier
superwoman,alicia keys
what a catch  donnie,fall out boy
the day that never comes,metallica
pop champagne,jim jones & ron browz featuring juelz santana
no me doy por vencido,luis fonsi
troubadour,george strait
i still miss you,keith anderson
magic,robin thicke
un-break my heart,toni braxton
wannabe,spice girls
don't let go (love),en vogue
i believe i can fly (from "space jam"),r. kelly
can't nobody hold me down,puff daddy (featuring mase)
