Title,ArtistName,Rank,Weeks,isNew,Target
many are we,,0,0,1,0
play the part,,0,0,1,0
bin fates hands ,,0,0,1,0
salvation,,0,0,1,0
till there was you ,,0,0,1,0
i love no one but you,,0,0,1,0
shame,,0,0,1,0
what if i forget the champagne,,0,0,1,0
elementro,,0,0,1,0
the stranger,,0,0,1,0
no good in goodbye,,0,0,1,0
miesten t\xc3\xa4hden,,0,0,1,0
song for paul,,0,0,1,0
thrill me,,0,0,1,0
girl tonite ,,0,0,1,0
from the gardner meditations: african tarantella,,0,0,1,0
alma de metal,,0,0,1,0
la fruta bomba,,0,0,1,0
only you,,0,0,1,0
o.t. ,,0,0,1,0
na primeira manh\xc3\xa3,,0,0,1,0
wildflower,,0,0,1,0
heal ,,0,0,1,0
rock the house ,,0,0,1,0
motivator,,0,0,1,0
iv,,0,0,1,0
own me,,0,0,1,0
someday ,,0,0,1,0
fall line,,0,0,1,0
sista,,0,0,1,0
valerie,,0,0,1,0
november has come,,0,0,1,0
given up ,,0,0,1,0
ja nun hons pris,,0,0,1,0
"bits good to know jesus""""",,0,0,1,0
things you do to me,,0,0,1,0
tripping billies,,0,0,1,0
run a mile,,0,0,1,0
all is one,,0,0,1,0
it could all get blown away,,0,0,1,0
bob your head,,0,0,1,0
make it up,,0,0,1,0
dope nose,,0,0,1,0
trade it all pt2  ,,0,0,1,0
the pig,,0,0,1,0
"bill be glad""""",,0,0,1,0
anyone who had a heart,,0,0,1,0
nothing matters anymore,,0,0,1,0
fortunate fool,,0,0,1,0
high horse,,0,0,1,0
september song,,0,0,1,0
walking to jerusalem,,0,0,1,0
intro,,0,0,1,0
bigbigkiss,,0,0,1,0
"bshe dont belong to you""""",,0,0,1,0
q1.1 edit,,0,0,1,0
"bblowin in the wind""""",,0,0,1,0
this is for my bitches,,0,0,1,0
tabernacle song,,0,0,1,0
dig up her bones,,0,0,1,0
collides with beauty,,0,0,1,0
in my heart,,0,0,1,0
el mar no cesa ,,0,0,1,0
anfang vom ende,,0,0,1,0
ich bleib so wie ich bin,,0,0,1,0
nadal de luintra,,0,0,1,0
bring out your dead,,0,0,1,0
angry chair,,0,0,1,0
the modern rome burning,,0,0,1,0
suck my blood,,0,0,1,0
white jetta,,0,0,1,0
non-existent track ,,0,0,1,0
jane 5,,0,0,1,0
need to shout,,0,0,1,0
gallows ,,0,0,1,0
breath of fresh air,,0,0,1,0
she left me a mule ,,0,0,1,0
destiny,,0,0,1,0
love is all around,,0,0,1,0
maracaia,,0,0,1,0
sommarens sista m\xc3\xa5s,,0,0,1,0
beauty and the beast,,0,0,1,0
"bshe dont move me no more""""",,0,0,1,0
through the looking glass ,,0,0,1,0
alma mater,,0,0,1,0
ormh\xc3\xa4xan,,0,0,1,0
wish ,,0,0,1,0
soul of ethiopia,,0,0,1,0
"bthis aint a love song""""",,0,0,1,0
chase the light,,0,0,1,0
good texan,,0,0,1,0
big legged woman,,0,0,1,0
como nuestro amor no hay dos,,0,0,1,0
one year_ six months,,0,0,1,0
trows kind,,0,0,1,0
change clothes,,0,0,1,0
ascendant,,0,0,1,0
my funny valentine,,0,0,1,0
pickled heads,,0,0,1,0
if you ask me,,0,0,1,0
werewolf_ semen and blood,,0,0,1,0
need more blues,,0,0,1,0
beauty queen ,,0,0,1,0
revelations,,0,0,1,0
,,0,0,1,0
active,,0,0,1,0
nightly cares,,0,0,1,0
into battle,,0,0,1,0
the lull before the storm,,0,0,1,0
harry flowers,,0,0,1,0
broke down,,0,0,1,0
orgasme tellurique,,0,0,1,0
too late ,,0,0,1,0
the call,,0,0,1,0
over you ,,0,0,1,0
ambulance man,,0,0,1,0
printemps,,0,0,1,0
slips of paper,,0,0,1,0
refuge,,0,0,1,0
backseat driver,,0,0,1,0
old memory,,0,0,1,0
the  first of the year,,0,0,1,0
"bairtos jazz dance""""",,0,0,1,0
vennette,,0,0,1,0
procession,,0,0,1,0
multiplayer,,0,0,1,0
gone,,0,0,1,0
"bwere together again""""",,0,0,1,0
"bjust like lightnin""""",,0,0,1,0
mine again,,0,0,1,0
existing alone,,0,0,1,0
small axe,,0,0,1,0
"bill show you love""""",,0,0,1,0
le bar du grand d\xc3\xa9sir,,0,0,1,0
telling me lies,,0,0,1,0
"bheard em say""""",,0,0,1,0
wake up! wake up! ,,0,0,1,0
everything i desire,,0,0,1,0
the mission,,0,0,1,0
first boyfriend,,0,0,1,0
"blhorizon chim\xc3\xa9rique""""",,0,0,1,0
just a phase,,0,0,1,0
love & devotion,,0,0,1,0
"bim gonna cry til my tears run dry""""",,0,0,1,0
"byoure looking good""""",,0,0,1,0
cooling out,,0,0,1,0
little drummer boy,,0,0,1,0
sting me,,0,0,1,0
the sun shine down my way,,0,0,1,0
man  on the side,,0,0,1,0
"bthis aint pleasure""""",,0,0,1,0
the sun shines from you,,0,0,1,0
kick jump - part jump,,0,0,1,0
"bim poured out like water""""",,0,0,1,0
ghastly indoctrination,,0,0,1,0
rise,,0,0,1,0
informer,,0,0,1,0
anybody seen my girl,,0,0,1,0
shape of my heart,,0,0,1,0
lively up yourself,,0,0,1,0
i denna ljuva sommartid,,0,0,1,0
still love remains ,,0,0,1,0
letters to norway,,0,0,1,0
spoonful,,0,0,1,0
j uh!,,0,0,1,0
absolute horizon,,0,0,1,0
turnpike,,0,0,1,0
life is real,,0,0,1,0
bl\xc3\xa5sut,,0,0,1,0
genius,,0,0,1,0
"bthats the kind of baby for me""""",,0,0,1,0
my party ,,0,0,1,0
scenario,,0,0,1,0
evalia,,0,0,1,0
stagger lee,,0,0,1,0
"bill come running""""",,0,0,1,0
thresh hold,,0,0,1,0
broken promises ,,0,0,1,0
neir,,0,0,1,0
survivalism,,0,0,1,0
chlore,,0,0,1,0
aquacityboy,,0,0,1,0
dinner party pool music,,0,0,1,0
width of the world,,0,0,1,0
music of the sun,,0,0,1,0
street lights,,0,0,1,0
la matanza,,0,0,1,0
beautiful,,0,0,1,0
l.a. arteest caf\xc3\xa9,,0,0,1,0
had to call ,,0,0,1,0
runaway train ,,0,0,1,0
the keys,,0,0,1,0
juste une fois,,0,0,1,0
new detroit,,0,0,1,0
proud,,0,0,1,0
da da diamonds,,0,0,1,0
the blue side of the sun,,0,0,1,0
blivin a lie ,,0,0,1,0
"blets have some fun""""",,0,0,1,0
platoon goons,,0,0,1,0
paul,,0,0,1,0
"bwalkin away""""",,0,0,1,0
liar in the glass,,0,0,1,0
dolorosa ,,0,0,1,0
pantera fans in love,,0,0,1,0
girls all pause,,0,0,1,0
heng\xc3\xa4h\xc3\xa4 tok,,0,0,1,0
going down,,0,0,1,0
tlfm ,,0,0,1,0
cerca & extra\xc3\xb1o,,0,0,1,0
death of neira,,0,0,1,0
"bjanices party""""",,0,0,1,0
endless ocean,,0,0,1,0
again,,0,0,1,0
eu e meu coracao,,0,0,1,0
twerk ,,0,0,1,0
tobacco spit,,0,0,1,0
...and heavens cried blood,,0,0,1,0
to your arms of love,,0,0,1,0
das gel\xc3\xbcbde,,0,0,1,0
what goes around...comes around,,0,0,1,0
"bjacks lament""""",,0,0,1,0
appapas del calabar,,0,0,1,0
cadillac walk ,,0,0,1,0
bedtime story ,,0,0,1,0
bnevadas grace ,,0,0,1,0
get away,,0,0,1,0
"bles corps glorieux: iii. lange aux parfums""""",,0,0,1,0
bpimpin dont fail me now [,,0,0,1,0
think about me,,0,0,1,0
summer of love,,0,0,1,0
escuta_ noel,,0,0,1,0
bthats what you said  ,,0,0,1,0
bcant stop ,,0,0,1,0
somebody loan me a dime,,0,0,1,0
sos,,0,0,1,0
high-speed french train,,0,0,1,0
books & books,,0,0,1,0
fairground ,,0,0,1,0
alone in love,,0,0,1,0
fertile crescent ,,0,0,1,0
i hope the weather stays fine ,,0,0,1,0
when a man is wrong ,,0,0,1,0
mexican joe,,0,0,1,0
ooh wee baby,,0,0,1,0
all das mag ich,,0,0,1,0
boo hoo,,0,0,1,0
losing love ,,0,0,1,0
the wind ,,0,0,1,0
good girls_ bad guys,,0,0,1,0
,,0,0,1,0
c30 c60 c90 go,,0,0,1,0
harlem nocturne,,0,0,1,0
dogs,,0,0,1,0
la machine,,0,0,1,0
cabide,,0,0,1,0
21st century time bom,,0,0,1,0
perkiomen,,0,0,1,0
tu recuerdo,,0,0,1,0
the reach,,0,0,1,0
weighed down,,0,0,1,0
spanish fly,,0,0,1,0
the way i loved you,,0,0,1,0
silent night_ holy night! ,,0,0,1,0
africa,,0,0,1,0
metamorphosis,,0,0,1,0
the hood comes first ,,0,0,1,0
dance into the light ,,0,0,1,0
lip smacker,,0,0,1,0
standing knee deep in a river ,,0,0,1,0
un res pyr,,0,0,1,0
trio ,,0,0,1,0
se puede salir,,0,0,1,0
intro / time for some action,,0,0,1,0
heavy like sunday,,0,0,1,0
exiliado en el lavabo,,0,0,1,0
finding my way,,0,0,1,0
there will come a day ,,0,0,1,0
comme toi ,,0,0,1,0
sleepwalker,,0,0,1,0
like dylan in the movies,,0,0,1,0
the earth will shake,,0,0,1,0
my consolation ,,0,0,1,0
hunter,,0,0,1,0
all my senses,,0,0,1,0
ojos as\xc3\xad,,0,0,1,0
spin ,,0,0,1,0
lullaby,,0,0,1,0
every other way,,0,0,1,0
career suicide ,,0,0,1,0
no one hears you,,0,0,1,0
"bsomebodys someone""""",,0,0,1,0
wow,,0,0,1,0
you make me feel good ,,0,0,1,0
black diamond,,0,0,1,0
poem to a horse,,0,0,1,0
underlying lies,,0,0,1,0
sweet contradiction,,0,0,1,0
666lb. bongsession,,0,0,1,0
"bsorrows call""""",,0,0,1,0
vogue [live],,0,0,1,0
dysfunction,,0,0,1,0
no sympathy for fools,,0,0,1,0
the kingdom - titles,,0,0,1,0
latinas,,0,0,1,0
i am your mother too,,0,0,1,0
"bdont panic""""",,0,0,1,0
ultra-funk,,0,0,1,0
nehi mamma blues,,0,0,1,0
presenting the eight wonder of the world,,0,0,1,0
hidden sun,,0,0,1,0
you turn me,,0,0,1,0
sacred,,0,0,1,0
rain love,,0,0,1,0
nomades monades,,0,0,1,0
mosquito coil,,0,0,1,0
the planet ,,0,0,1,0
the last stand,,0,0,1,0
hold on tight,,0,0,1,0
how beautiful ,,0,0,1,0
something about mary,,0,0,1,0
wicked little town ,,0,0,1,0
night is the notion,,0,0,1,0
sympathy,,0,0,1,0
1987,,0,0,1,0
nervous breakdown,,0,0,1,0
he who breeds pestilence,,0,0,1,0
no,,0,0,1,0
foli\xc3\xa3o ausente,,0,0,1,0
realizer,,0,0,1,0
parto em terras distantes ,,0,0,1,0
my dear,,0,0,1,0
building,,0,0,1,0
milk cow blues,,0,0,1,0
devon,,0,0,1,0
white feather,,0,0,1,0
big time charlie,,0,0,1,0
night life,,0,0,1,0
tonight will last forever ,,0,0,1,0
coming undone,,0,0,1,0
summer love triangle,,0,0,1,0
the carpal tunnel of love,,0,0,1,0
just keep it up,,0,0,1,0
i wanna hear it from you,,0,0,1,0
heather,,0,0,1,0
oblivious darkness,,0,0,1,0
qu\xc3\xa9 desilusi\xc3\xb3n,,0,0,1,0
ostravaczech,,0,0,1,0
banho de amor,,0,0,1,0
party in the sky,,0,0,1,0
storm in my heart,,0,0,1,0
ou\xc3\xa7a,,0,0,1,0
kettle black,,0,0,1,0
california_ gracefully,,0,0,1,0
one i love,,0,0,1,0
narcotic,,0,0,1,0
still i will,,0,0,1,0
isolate,,0,0,1,0
"bdont call me andy""""",,0,0,1,0
sag ihnen bescheid,,0,0,1,0
telephone song,,0,0,1,0
bad dreams,,0,0,1,0
praying for time,,0,0,1,0
crash and burn [home demo],,0,0,1,0
bare as you dare,,0,0,1,0
the day after ,,0,0,1,0
blove aint no stranger ,,0,0,1,0
we are not impartial,,0,0,1,0
little louie bonus,,0,0,1,0
bget it poppin [,,0,0,1,0
paralyzed,,0,0,1,0
bti monde ,,0,0,1,0
make me bad,,0,0,1,0
an mouvman,,0,0,1,0
"bla f\xc3\xaate komine""""",,0,0,1,0
degrees of freedom,,0,0,1,0
gwendolina,,0,0,1,0
de onda,,0,0,1,0
fez-being born,,0,0,1,0
over the edge,,0,0,1,0
raining on our love,,0,0,1,0
all for nothing,,0,0,1,0
"bive got a home""""",,0,0,1,0
joking,,0,0,1,0
safe passage,,0,0,1,0
wake the sleeper,,0,0,1,0
warum rappst du?,,0,0,1,0
one eyed jack,,0,0,1,0
eu a4,,0,0,1,0
desde mi cielo,,0,0,1,0
gone,,0,0,1,0
"bdont lie""""",,0,0,1,0
into my eyes,,0,0,1,0
almost us,,0,0,1,0
violence in fluid triceratops,,0,0,1,0
how can you resist it,,0,0,1,0
for you,,0,0,1,0
up north trip,,0,0,1,0
say your prayers,,0,0,1,0
i dream of chi chi,,0,0,1,0
goodbye ,,0,0,1,0
rompan todo,,0,0,1,0
chime ,,0,0,1,0
cutdown,,0,0,1,0
are we here ?,,0,0,1,0
locomotive ,,0,0,1,0
ch\xc3\xa2teau de sable,,0,0,1,0
strange fruit,,0,0,1,0
the luck you got,,0,0,1,0
guided by history,,0,0,1,0
hey joe,,0,0,1,0
enough,,0,0,1,0
melodia simple,,0,0,1,0
tell it like it t-i-is ,,0,0,1,0
"bim wrong""""",,0,0,1,0
au bout de la marelle,,0,0,1,0
ley lines,,0,0,1,0
the journey north,,0,0,1,0
bive been thinking ,,0,0,1,0
heaven only knows,,0,0,1,0
when,,0,0,1,0
i remember ,,0,0,1,0
been there all the time,,0,0,1,0
sensory deprivation adventure,,0,0,1,0
a brief history of shitty comedy,,0,0,1,0
dying batteries,,0,0,1,0
"ba babys born""""",,0,0,1,0
"blook up at the stars and youre gone""""",,0,0,1,0
cerilene,,0,0,1,0
faces,,0,0,1,0
how does it feel,,0,0,1,0
the saga of rita joe,,0,0,1,0
part of me ,,0,0,1,0
bmuch against everyones advice ,,0,0,1,0
where do we go now but nowhere,,0,0,1,0
juliet,,0,0,1,0
let it flow ,,0,0,1,0
afraid,,0,0,1,0
blets make love ,,0,0,1,0
gun pull,,0,0,1,0
broken radio,,0,0,1,0
flight to jordan,,0,0,1,0
guardian angel,,0,0,1,0
bclass compromise ,,0,0,1,0
you gotta go,,0,0,1,0
best kept secret,,0,0,1,0
freestyle ministry ,,0,0,1,0
up all night ,,0,0,1,0
open your eyes,,0,0,1,0
red wind ,,0,0,1,0
corner story,,0,0,1,0
3 deuces,,0,0,1,0
milkcow blues,,0,0,1,0
sonnenfreunde,,0,0,1,0
i love you_ you imbecile,,0,0,1,0
love is so unkind ,,0,0,1,0
greasers,,0,0,1,0
andra sidan,,0,0,1,0
femme du guerrier,,0,0,1,0
"bworshippers medley""""",,0,0,1,0
stop complaining/remix/jam,,0,0,1,0
"bdont you wish it was true""""",,0,0,1,0
"bleos place""""",,0,0,1,0
victims of the occupation,,0,0,1,0
fix the cracks,,0,0,1,0
[hidden track],,0,0,1,0
the cleansing apparatus,,0,0,1,0
see the lights ,,0,0,1,0
little bluebird,,0,0,1,0
the painter,,0,0,1,0
do you want to,,0,0,1,0
severe severing,,0,0,1,0
hope for the fallen,,0,0,1,0
no rainbow,,0,0,1,0
little bar butterfly,,0,0,1,0
my butcher man,,0,0,1,0
this love,,0,0,1,0
louise,,0,0,1,0
approach to danger ,,0,0,1,0
unforgettable season,,0,0,1,0
"bonly when im drunk""""",,0,0,1,0
far beyond the endless,,0,0,1,0
lonely,,0,0,1,0
"bkookosp}hkin} - ive got a lovely bunch of coconuts-""""",,0,0,1,0
talking about it blues,,0,0,1,0
sanchez family,,0,0,1,0
if you wanna be my friend,,0,0,1,0
franks plea,,0,0,1,0
poisonous ,,0,0,1,0
to bob ross with love ,,0,0,1,0
the distance,,0,0,1,0
jambalaya ,,0,0,1,0
mine all mine,,0,0,1,0
termites in the bathtu,,0,0,1,0
"bthis is my fathers world/for the beauty of the earth""""",,0,0,1,0
bpaper aeroplane ,,0,0,1,0
agenda zwei null eins null,,0,0,1,0
crazy,,0,0,1,0
viimeinen lento,,0,0,1,0
say something [,,0,0,1,0
scrimmage,,0,0,1,0
farenheit 303,,0,0,1,0
summer jam,,0,0,1,0
india,,0,0,1,0
vegetable ,,0,0,1,0
amazing grace ,,0,0,1,0
star signs,,0,0,1,0
rock around the christmas tree,,0,0,1,0
after hours,,0,0,1,0
night time,,0,0,1,0
outta control,,0,0,1,0
la vida,,0,0,1,0
criteria,,0,0,1,0
ho shit ,,0,0,1,0
you found me,,0,0,1,0
midnight train,,0,0,1,0
c\xc3\xa9u do brasil,,0,0,1,0
school spirit skit 2,,0,0,1,0
vos sabes,,0,0,1,0
strangers in the night,,0,0,1,0
lament for frankie,,0,0,1,0
squanderer,,0,0,1,0
turning of a key,,0,0,1,0
too shy to scream,,0,0,1,0
sugar buzz,,0,0,1,0
she is,,0,0,1,0
dry bone shuffle,,0,0,1,0
these days,,0,0,1,0
everybody loves me but you,,0,0,1,0
visions ,,0,0,1,0
sarapatel humano,,0,0,1,0
abagui alobi,,0,0,1,0
last night,,0,0,1,0
problem solver,,0,0,1,0
have fun prelude,,0,0,1,0
just let me be in love,,0,0,1,0
pretend,,0,0,1,0
poker face,,0,0,1,0
rain down on me,,0,0,1,0
party,,0,0,1,0
baila girl_ todo hombre llorando por ti,,0,0,1,0
el greco: movement iii,,0,0,1,0
"bcleos mood""""",,0,0,1,0
why should i cry for you,,0,0,1,0
oye,,0,0,1,0
kickstart my heart ,,0,0,1,0
bang! bang!,,0,0,1,0
she will love you ,,0,0,1,0
revitalise,,0,0,1,0
olivia,,0,0,1,0
time travel,,0,0,1,0
un nuevo amor ,,0,0,1,0
menutha,,0,0,1,0
silent partner ,,0,0,1,0
the poet and the pendulum,,0,0,1,0
my god  ,,0,0,1,0
the possibilities of loving you,,0,0,1,0
green and blue,,0,0,1,0
antes ,,0,0,1,0
hey joe,,0,0,1,0
pathfinders,,0,0,1,0
city of screaming statues,,0,0,1,0
monkey junction,,0,0,1,0
train buffer,,0,0,1,0
skit,,0,0,1,0
red socks pugie,,0,0,1,0
i want you ,,0,0,1,0
going back to memphis,,0,0,1,0
anywhere anytime,,0,0,1,0
a crow left of the murder,,0,0,1,0
ice cream cone,,0,0,1,0
moisture,,0,0,1,0
cry of the earth,,0,0,1,0
"bi still havent found what im looking for""""",,0,0,1,0
wonderland,,0,0,1,0
i versus i,,0,0,1,0
"bdont keep me wondering""""",,0,0,1,0
"bround the wheel""""",,0,0,1,0
popovic,,0,0,1,0
boom-shack-a-lack ,,0,0,1,0
puritania,,0,0,1,0
"bmy hearts desire""""",,0,0,1,0
ragoo,,0,0,1,0
i like young girls,,0,0,1,0
drop the hammer,,0,0,1,0
hard times,,0,0,1,0
softcore,,0,0,1,0
tumba randy,,0,0,1,0
firepower ,,0,0,1,0
purple pygmies,,0,0,1,0
this is a gang,,0,0,1,0
sue\xc3\xb1o salvaje,,0,0,1,0
"bim real""""",,0,0,1,0
perfect moment,,0,0,1,0
hum drum,,0,0,1,0
reborn ,,0,0,1,0
salva mea,,0,0,1,0
wind beneath my wings,,0,0,1,0
black market hell,,0,0,1,0
el gran se\xc3\xb1or,,0,0,1,0
the way i am,,0,0,1,0
22 ,,0,0,1,0
en alg\xc3\xban rinc\xc3\xb3n,,0,0,1,0
lies,,0,0,1,0
boomerang ,,0,0,1,0
in my bed,,0,0,1,0
down on my knees,,0,0,1,0
slavinka,,0,0,1,0
supreme girl,,0,0,1,0
yellow brick road,,0,0,1,0
albo,,0,0,1,0
abscondence,,0,0,1,0
sirius calling,,0,0,1,0
check it ,,0,0,1,0
million miles,,0,0,1,0
llamado de emergencia,,0,0,1,0
assis par terre,,0,0,1,0
"bi dont want to let you go""""",,0,0,1,0
into the mouth of hell we march [explicit],,0,0,1,0
harder to breathe,,0,0,1,0
disco jonki,,0,0,1,0
in progress ,,0,0,1,0
unholy outburst #3,,0,0,1,0
where does rosie go?,,0,0,1,0
castle of k\x19of\x19w,,0,0,1,0
when love dies,,0,0,1,0
the phantom of the opera/wishing you were somehow here again,,0,0,1,0
fuckaz,,0,0,1,0
rock tha party,,0,0,1,0
politrix,,0,0,1,0
you got me ,,0,0,1,0
ode to billie joe  ,,0,0,1,0
circle round the moon,,0,0,1,0
hey joe,,0,0,1,0
swinging on a star,,0,0,1,0
parasitic twins,,0,0,1,0
tunnel vision,,0,0,1,0
wish,,0,0,1,0
me falta el aliento,,0,0,1,0
idaho red,,0,0,1,0
fake tales of san francisco,,0,0,1,0
baby i need your loving,,0,0,1,0
know your friends,,0,0,1,0
container,,0,0,1,0
perfect motion,,0,0,1,0
speed of sound ,,0,0,1,0
in my life,,0,0,1,0
gotta mind to travel,,0,0,1,0
la photo,,0,0,1,0
gone to the movies,,0,0,1,0
long way home,,0,0,1,0
tania,,0,0,1,0
reginella,,0,0,1,0
all or nothing,,0,0,1,0
ojos negros,,0,0,1,0
street cra,,0,0,1,0
coraz\xc3\xb3n contento,,0,0,1,0
rock the night,,0,0,1,0
prequel to the sequel ,,0,0,1,0
likambo,,0,0,1,0
duck and run,,0,0,1,0
drifting away,,0,0,1,0
dad apologizes,,0,0,1,0
la paix des \xc3\xa9toiles,,0,0,1,0
"blivin above your head""""",,0,0,1,0
hammer & a stone,,0,0,1,0
sweet disposition,,0,0,1,0
pon de floor,,0,0,1,0
rubies_ pearls_ and emeralds,,0,0,1,0
rollercoasting,,0,0,1,0
celos,,0,0,1,0
in my arms,,0,0,1,0
zero m2,,0,0,1,0
vanhapoika-severi,,0,0,1,0
dream baby dream,,0,0,1,0
hillbillies from outerspace,,0,0,1,0
betrayal is a symptom,,0,0,1,0
when we dance,,0,0,1,0
bwe put it down for yall ,,0,0,1,0
manies manigances,,0,0,1,0
13 jours en france,,0,0,1,0
romantic rights ,,0,0,1,0
care,,0,0,1,0
rowena,,0,0,1,0
locust reign ,,0,0,1,0
caja de cerillas,,0,0,1,0
"bspanns boogie""""",,0,0,1,0
pottajenkka,,0,0,1,0
ronde lune,,0,0,1,0
intensity in ten cities,,0,0,1,0
verano traidor,,0,0,1,0
one woman man,,0,0,1,0
chokechain ,,0,0,1,0
fish,,0,0,1,0
meet me in the bathroom,,0,0,1,0
wait til you see my smile,,0,0,1,0
2 minutos,,0,0,1,0
adnans,,0,0,1,0
incide,,0,0,1,0
drop sacrifice,,0,0,1,0
got to let you go,,0,0,1,0
welcome 2 detroit,,0,0,1,0
le mouton dans la baignoire,,0,0,1,0
ninja tattoo,,0,0,1,0
"brunnin through the jungle - shootin the blues""""",,0,0,1,0
hold me while i cry,,0,0,1,0
"bwhats wrong""""",,0,0,1,0
ballade des oiseaux de croix,,0,0,1,0
krause seine kreuzpolka,,0,0,1,0
loving you too long,,0,0,1,0
tragedy in blue,,0,0,1,0
on independence day,,0,0,1,0
al doilea om,,0,0,1,0
willow weep for me ,,0,0,1,0
bhey daddy ,,0,0,1,0
one more chance,,0,0,1,0
the one,,0,0,1,0
the sukkubus lustrate,,0,0,1,0
"baint it funny""""",,0,0,1,0
fire and ice,,0,0,1,0
jake,,0,0,1,0
smile,,0,0,1,0
they came to boston,,0,0,1,0
nie wieder ,,0,0,1,0
sanctuary,,0,0,1,0
two heads one pillow,,0,0,1,0
world of vibrations ,,0,0,1,0
crimson wave,,0,0,1,0
all night long ,,0,0,1,0
"bim happy she said""""",,0,0,1,0
"bif i aint got you""""",,0,0,1,0
here_ swing_ sing,,0,0,1,0
alovi,,0,0,1,0
whatever lies will help you rest,,0,0,1,0
healing of all nations,,0,0,1,0
guarare,,0,0,1,0
head butt da deck,,0,0,1,0
"bmile high and risin""""",,0,0,1,0
"ba stepmothers curse""""",,0,0,1,0
bridge to canada,,0,0,1,0
love shelter,,0,0,1,0
la excepcion,,0,0,1,0
bmr. brightside ,,0,0,1,0
breathe me in,,0,0,1,0
state of emergency,,0,0,1,0
"bsaid youd be""""",,0,0,1,0
schwarzarbeit,,0,0,1,0
forgiveness ,,0,0,1,0
"bque arribi lestiu""""",,0,0,1,0
seven ,,0,0,1,0
grand-m\xc3\xa8re,,0,0,1,0
