Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Label
the jane shermans,ammunition,2008,1,0.531,0.86,9,-6.473,0,0.0407,8.82E-05,0.00891,0.0888,0.688,140.245,0
hot club of cowtown,cabiria,2009,5,0.728,0.551,0,-10.499,1,0.0299,0.771,0.00504,0.354,0.916,131.887,0
joe rogan,fear factor (shiny happy jihad),2007,4,0.55,0.851,5,-7.492,1,0.932,0.779,0,0.908,0.317,105.368,0
toni braxton,tell me,2002,11,0.827,0.533,10,-6.699,0,0.135,0.0423,3.97E-05,0.0714,0.822,84.76,0
alan silvestri,full house,2006,1,0.202,0.183,0,-16.931,1,0.0402,0.985,0.8,0.126,0.0762,138.258,0
natasha bedingfield,love like this,2008,1,0.781,0.791,7,-3.903,0,0.0468,0.145,0,0.127,0.902,76.998,0
norah jones,thinking about you,2007,1,0.65,0.299,8,-10.76,1,0.03,0.605,0.0118,0.219,0.294,123.597,1
chris brown,this christmas,2007,11,0.407,0.647,7,-6.031,0,0.125,0.384,0,0.0862,0.398,88.061,1
wet wet wet,hear me now,2004,1,0.447,0.6,2,-7.67,1,0.0269,0.0791,0,0.391,0.2,95.388,0
terri clark,i wanna do it all,2003,1,0.632,0.892,4,-4.722,1,0.0353,0.0778,0,0.129,0.781,132.837,1
rodney o & joe cooley,supercuts,2008,8,0.894,0.723,6,-7.889,0,0.224,0.000163,0.000269,0.092,0.578,118.876,0
kardinal offishall / keri hilson,numba 1 (tide is high),2008,1,0.521,0.921,7,-5.458,1,0.293,0.0288,0.0888,0.359,0.569,106.367,0
r. kelly,in the kitchen,2005,6,0.713,0.469,5,-7.778,0,0.0436,0.415,0,0.0999,0.369,127.837,1
the antlers,stairs to the attic,2007,11,0.55,0.573,7,-9.994,1,0.0432,0.391,0.00399,0.0891,0.126,79.985,0
call to preserve,hope for the fallen,2008,9,0.287,0.997,5,-1.56,0,0.295,0.00014,0.00496,0.363,0.301,157.255,0
smokey robinson,double good everything,2010,1,0.771,0.597,8,-8.696,1,0.0347,0.284,7.09E-05,0.0548,0.875,119.972,1
jazmine sullivan,bust your windows,2008,9,0.683,0.664,5,-4.233,0,0.0332,0.538,0,0.0671,0.866,106.991,1
g unit,stunt 101,2003,1,0.694,0.778,4,-1.492,1,0.395,0.167,0,0.065,0.518,95.475,1
james newton howard,u north,2007,1,0.158,0.135,11,-32.174,0,0.0746,0.752,0.929,0.101,0.0216,180.067,0
saosin,bury your head (acoustic),2005,1,0.46,0.638,6,-3.71,0,0.0304,0.143,0,0.112,0.0995,125.034,0
aaron hall,all the places (i will kiss you),1998,1,0.719,0.413,0,-6.082,0,0.0546,0.0244,4.74E-06,0.0556,0.356,136.027,1
ricardo lemvo,yiri yiri bon,2007,7,0.574,0.688,5,-8.41,0,0.0378,0.13,0,0.0699,0.793,87.823,0
aretha franklin,a rose is still a rose,1998,3,0.631,0.793,8,-7.551,0,0.251,0.212,0,0.0441,0.826,175.814,1
phil collins,everyday,1993,10,0.701,0.469,3,-9.63,1,0.0305,0.534,0.00105,0.121,0.384,94.699,0
mariah carey,mine again,2005,1,0.688,0.367,7,-8.89,0,0.0611,0.723,7.78E-06,0.114,0.371,131.883,0
andy griggs,tonight i wanna be your man,2002,6,0.404,0.364,3,-11.249,1,0.0331,0.392,0,0.123,0.21,139.493,1
seventh day slumber,famous one,2009,1,0.344,0.712,5,-5.834,1,0.0398,0.00748,5.04E-05,0.242,0.534,178.031,0
stephan micus,contessa entellina,2001,1,0.119,0.00888,8,-26.802,1,0.044,0.962,0.0134,0.223,0.0397,61.924,0
enrique iglesias,can you hear me,2008,1,0.842,0.625,7,-3.625,1,0.0487,0.0107,0,0.0772,0.513,116.982,0
alexandre desplat,high-speed french train,2009,1,0.763,0.259,10,-18.913,1,0.0425,0.623,0.256,0.196,0.181,119.978,0
jim chappell,in the hills,1994,6,0.716,0.372,0,-13.4,1,0.0356,0.626,0.733,0.113,0.348,126.135,0
tyrese,sweet lady,1998,8,0.588,0.522,9,-6.254,0,0.0383,0.233,0,0.24,0.584,66.024,1
travis tritt,love of a woman,2000,10,0.324,0.574,7,-5.647,1,0.0292,0.239,0,0.143,0.335,74.101,1
taal,noises,2010,2,0.479,0.0493,5,-39.716,1,0.742,0.764,5.08E-06,0.17,0.602,112.969,0
martina mcbride,concrete angel,2001,9,0.622,0.392,1,-9.737,1,0.0253,0.498,0,0.146,0.274,77.991,1
lasgo,something,2012,9,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93E-05,0.11,0.38,140.01,1
martina mcbride,blessed,2001,9,0.587,0.629,7,-7.439,1,0.0424,0.183,0,0.0686,0.425,114.993,1
kathy mattea,standing knee deep in a river (dying of thirst),2006,1,0.479,0.272,0,-12.446,1,0.032,0.627,3.51E-06,0.136,0.341,132.545,0
lady antebellum,lookin for a good time,2008,1,0.665,0.936,7,-2.97,1,0.0544,0.0146,0,0.125,0.848,122.003,1
fyah blaze,lion paw,2005,1,0.826,0.889,1,-5.076,0,0.12,0.0489,0,0.237,0.734,104.008,0
daddy yankee,descontrol,2010,4,0.729,0.876,6,-3.818,0,0.0679,0.11,0.000715,0.301,0.674,92.993,0
the fabulous thunderbirds,when i get home,1991,9,0.506,0.346,10,-11.902,1,0.0386,0.389,0.000107,0.0515,0.628,133.453,0
natural selection,do anything,1991,11,0.654,0.749,11,-9.221,0,0.0537,0.0746,0,0.114,0.663,93.847,1
this is hell,reckless,2008,2,0.225,0.926,5,-5.382,0,0.136,3.30E-05,0.00162,0.109,0.411,149.833,0
boogie pimps,then came you,2007,8,0.835,0.769,10,-7.499,1,0.0587,0.0176,0.0358,0.357,0.821,128.004,0
guns n roses,locomotive (complicity),1991,9,0.474,0.983,4,-7.251,1,0.0889,0.00763,0.000758,0.0475,0.435,118.182,0
willie isz,violet heart box,2009,6,0.284,0.748,11,-6.673,1,0.0726,0.00838,0.00116,0.378,0.215,113.95,0
erick sermon,intro,1996,4,0.584,0.918,4,-5.554,0,0.395,0.255,0,0.105,0.966,164.037,0
delroy wilson,baby i need your loving,2009,4,0.72,0.535,0,-9.771,1,0.23,0.576,0.0291,0.247,0.749,134.338,0
joy enriquez,between you and me,2001,3,0.736,0.692,8,-3.815,1,0.0423,0.0778,0.000784,0.0489,0.718,96.104,0
steve vai,fire,1996,9,0.308,0.739,9,-6.17,1,0.0459,0.0487,0.834,0.106,0.365,150.034,0
juanes,me enamora,2007,1,0.684,0.85,4,-3.867,0,0.034,0.0173,0,0.0913,0.922,94.003,1
daughtry,over you,2006,11,0.423,0.922,3,-2.602,1,0.0411,0.017,0,0.102,0.567,156.063,1
bruno mars,marry you,2010,10,0.62,0.832,10,-4.848,1,0.036,0.332,0,0.104,0.481,144.926,1
glee cast,good vibrations,2010,6,0.753,0.975,7,-4.621,1,0.104,0.00223,0.001,0.0229,0.585,122.001,1
jaheim,put that woman first,2002,11,0.649,0.536,5,-8.804,0,0.132,0.492,0,0.184,0.513,78.935,1
the summer obsession,where you belong,2006,1,0.589,0.481,0,-6.833,1,0.0302,0.16,0.443,0.176,0.15,159.801,0
joe bonamassa,stop!,2009,2,0.349,0.523,11,-7.749,0,0.0382,0.362,0.000598,0.386,0.311,169.283,0
philip glass,left alone...,2016,4,0.143,0.0332,9,-27.907,0,0.044,0.96,0.429,0.111,0.203,82.282,0
lollipop lust kill,bury you,2002,6,0.322,0.959,5,-4.951,1,0.117,0.000309,0.00304,0.0912,0.435,154.289,0
vivian green,emotional rollercoaster,2002,11,0.692,0.562,6,-6.034,0,0.0924,0.0973,0,0.304,0.504,122.937,1
andy & lucas,dime si me quieres,2015,10,0.613,0.926,2,-4.364,1,0.157,0.139,0,0.0909,0.625,97.306,0
brooks & dunn,aint nothing bout you,2009,9,0.326,0.887,9,-4.199,0,0.0565,0.144,1.35E-06,0.49,0.706,202.354,1
buddy jewell,help pour out the rain (laceys song),2003,7,0.565,0.562,0,-7.43,1,0.0339,0.263,0,0.0994,0.652,75.035,1
michael gettel,the journey north,1999,1,0.492,0.824,9,-11.195,1,0.037,0.503,0.804,0.0788,0.476,94.707,0
ashtrax,future traffic song,2007,11,0.757,0.403,11,-13.393,0,0.11,0.00333,0.355,0.186,0.762,123.016,0
69 boyz,tootsee roll,1994,5,0.869,0.725,9,-12.507,0,0.256,0.0453,0,0.203,0.699,132.989,1
vivian,bad creation,2011,3,0.463,0.725,11,-6.326,1,0.0275,0.0165,0,0.119,0.327,91.023,0
lady gaga,poker face,2008,1,0.846,0.815,4,-4.512,1,0.0761,0.139,2.19E-06,0.131,0.831,118.999,0
pearl jam,inside job,2006,5,0.283,0.487,4,-7.979,0,0.0397,0.329,0.0101,0.205,0.0739,109.685,0
hot club of cowtown,the magic violin,2009,5,0.637,0.762,11,-8.895,0,0.0681,0.494,0.793,0.159,0.961,148.036,0
bob marley,small axe,2000,1,0.832,0.531,10,-7.386,1,0.225,0.743,0,0.229,0.832,98.587,0
clay walker,fall,2014,2,0.55,0.543,0,-6.986,1,0.0287,0.193,0,0.0994,0.208,138.003,1
scar symmetry,deviate from the form,2006,4,0.519,0.986,3,-4.238,0,0.0531,6.21E-05,0.000328,0.365,0.452,119.984,0
kassav,an mouvman,2006,8,0.721,0.932,2,-4.988,1,0.0581,0.00574,8.69E-06,0.315,0.881,119.654,0
darwin hobbs,you are god (broken album version),2003,1,0.381,0.382,8,-8.432,1,0.0579,0.702,0,0.108,0.244,145.989,0
dora the explorer,travel song (reprise),2008,9,0.826,0.881,2,-6.637,1,0.0593,0.654,0.435,0.0841,0.926,124.026,0
madonna,american life,2003,4,0.787,0.583,11,-7.16,0,0.176,0.0438,0,0.282,0.706,101.96,1
orthrelm,scelxenak,2010,6,0.272,0.85,0,-7.785,0,0.106,0.0168,0.944,0.073,0.177,105.855,0
beyonce,get me bodied,2006,9,0.865,0.829,0,-6.981,0,0.315,0.0673,0,0.253,0.651,96.511,1
p!nk,raise your glass,2010,10,0.7,0.695,7,-4.973,1,0.0897,0.00629,0,0.0319,0.633,122.028,1
fu-schnickens,visions (20/20),1994,10,0.721,0.764,1,-7.868,1,0.248,0.14,4.34E-05,0.0409,0.532,90.8,0
charlotte gainsbourg,irm,2009,11,0.751,0.604,11,-8.278,1,0.0351,0.00603,0.725,0.12,0.327,120.129,0
jerry goldsmith,the keys,1997,1,0.219,0.166,5,-28.018,0,0.0501,0.607,0.935,0.1,0.12,129.287,0
danielle bollinger,kiss the sky,2006,2,0.632,0.827,4,-9.765,0,0.0341,0.00299,0,0.202,0.713,133.993,0
busta rhymes,taste it,2002,1,0.788,0.786,1,-8.241,1,0.301,0.0822,0,0.274,0.711,98.13,0
jo dee messina,my give a damns busted,2005,4,0.665,0.874,2,-4.082,1,0.0308,0.143,1.05E-05,0.251,0.766,103.98,1
cocoa tea,getting closer,2008,1,0.765,0.848,11,-5.935,0,0.0691,0.0238,0,0.332,0.864,83.002,0
mavado,real mckoy feat. busy signal,2007,7,0.745,0.623,7,-5.416,1,0.332,0.0113,0,0.0756,0.568,100.113,0
ub40,higher ground,1993,1,0.799,0.504,2,-12.874,1,0.045,0.074,0.000609,0.118,0.92,101.067,1
the cover girls,funk boutique,1998,7,0.627,0.859,6,-10.152,0,0.0394,0.00831,0.344,0.0744,0.679,115.774,1
staind,price to play,2003,5,0.41,0.922,1,-1.906,0,0.0499,3.10E-05,0.000343,0.189,0.327,109.511,1
babyface,for the cool in you,1996,10,0.887,0.416,1,-7.346,1,0.0518,0.0295,1.06E-05,0.066,0.761,94.013,1
extreme,stop the world,1992,1,0.453,0.689,8,-8.261,1,0.0404,0.00428,0.00124,0.81,0.303,174.758,1
rihanna,breakin dishes,2008,6,0.801,0.674,8,-4.185,0,0.0311,0.000282,0.000139,0.0914,0.875,125.009,0
the commitments,try a little tenderness,1991,1,0.372,0.393,1,-13.239,0,0.0445,0.0131,1.93E-05,0.224,0.0963,111.159,1
franz ferdinand,eleanor put your boots on,2005,10,0.428,0.501,7,-6.364,1,0.0372,0.597,0.000231,0.0993,0.146,76.953,0
dj clue / p. diddy,intro,1998,1,0.679,0.0874,6,-21.821,1,0.924,0.625,0,0.405,0.704,129.775,0
nelly,n dey say,2004,9,0.867,0.784,0,-4.145,1,0.0379,0.25,0,0.152,0.704,97.66,1
george strait,meanwhile,2017,12,0.504,0.481,7,-6.305,1,0.0282,0.0349,0.0042,0.134,0.165,123.827,1
death ss,the healer,2010,6,0.508,0.728,3,-7.088,0,0.0315,0.000653,0.000916,0.221,0.249,101.988,0
gene clark,set you free this time,1991,9,0.592,0.423,2,-12.923,1,0.0264,0.646,0,0.0745,0.801,98.545,0
andy & lucas,hasta los huesos,2004,2,0.713,0.76,9,-6.704,1,0.0579,0.696,0,0.364,0.819,140.121,0
reba mcentire,he gets that from me,2008,1,0.646,0.416,10,-8.813,1,0.0285,0.643,7.47E-06,0.102,0.511,143.822,1
marcie blane,wer einmal a gesagt (what does a girl do?),2004,1,0.684,0.676,11,-8.576,0,0.0428,0.378,0,0.358,0.901,86.544,0
snowgoons,platoon goons,2009,5,0.604,0.902,5,-4.382,0,0.343,0.00488,0,0.38,0.436,96.002,0
the high strung,the lifestyle that got away,2016,4,0.5,0.946,9,-2.588,1,0.0497,0.23,0,0.262,0.662,94.744,0
sara melson,anywhere anytime,2008,2,0.454,0.808,5,-4.164,1,0.0453,0.153,0,0.288,0.811,168.077,0
abraham laboriel,guidum,1995,1,0.447,0.395,0,-10.671,0,0.0359,0.0343,0.546,0.12,0.316,111.014,0
george strait,it just comes natural,2006,1,0.669,0.651,5,-5.79,1,0.0275,0.472,0.000109,0.272,0.605,148.091,1
frank stokes,sweet to mama,2005,6,0.565,0.369,10,-11.679,1,0.0413,0.971,0.000755,0.185,0.913,149.84,0
george michael,jesus to a child,1996,5,0.534,0.415,1,-11.781,0,0.0278,0.314,0.000365,0.0847,0.188,173.561,1
bt,knowledge of self (evol intent remix),2008,5,0.416,0.991,10,-6.592,0,0.341,8.86E-05,0.929,0.955,0.113,178.258,0
arturo sandoval,waheera,2016,5,0.642,0.372,0,-10.397,1,0.0331,0.756,0.937,0.0707,0.157,100.041,0
mongo santamaria,hush,1995,1,0.473,0.508,5,-10.826,0,0.0497,0.569,0.574,0.175,0.858,92.179,0
celine dion and peabo bryson,beauty and the beast,1992,4,0.463,0.4,6,-9.999,0,0.0308,0.643,2.46E-05,0.131,0.121,77.314,1
snow patrol,wow,2004,1,0.48,0.923,9,-5.627,1,0.0493,5.70E-05,0.0144,0.0893,0.305,143.002,0
the disposable heroes of hiphoprisy,music and politics,1992,1,0.722,0.307,2,-16.995,1,0.165,0.837,0.294,0.123,0.461,89.947,0
john sebastian,freezin from the inside out,2005,6,0.479,0.323,9,-12.451,1,0.0355,0.195,0.002,0.139,0.193,110.452,0
savage garden,you can still be free,1999,11,0.457,0.357,0,-12.636,1,0.0326,0.241,6.79E-05,0.0625,0.0396,118.029,0
monster magnet,black celebration,1998,1,0.616,0.944,0,-6.096,1,0.0642,0.00212,2.37E-05,0.446,0.75,154.006,0
jessica simpson,come on over,2008,8,0.675,0.859,11,-2.57,1,0.0318,0.214,0,0.117,0.556,110.037,1
stereo mcs,elevate my mind,1990,1,0.844,0.593,9,-14.885,1,0.0602,0.145,0.571,0.129,0.75,115.148,1
diamond d,intro,2016,11,0.462,0.658,5,-9.271,0,0.424,0.26,0,0.119,0.525,184.838,0
black eyed peas,tell your momma come,2000,1,0.863,0.887,2,-5.241,1,0.123,0.164,0,0.166,0.865,102.134,0
wreckx-n-effect,knock-n-boots,1992,1,0.885,0.851,8,-5.752,0,0.278,0.148,0,0.0919,0.634,103.671,1
wilshire,special,2003,10,0.539,0.847,4,-3.409,0,0.0493,0.0023,2.25E-05,0.0759,0.459,130.105,0
pretty ricky,grind with me,2005,5,0.7,0.538,1,-5.952,1,0.045,0.000204,0,0.105,0.189,136.518,1
justin bieber,that should be me,2010,1,0.533,0.627,8,-5.584,1,0.0333,0.198,0,0.182,0.263,139.919,1
avant,read your mind,2003,1,0.75,0.391,8,-7.087,0,0.0831,0.277,5.99E-06,0.0759,0.711,146.191,1
gonzalo rubalcaba,improv #1,2006,1,0.291,0.167,10,-23.477,1,0.0577,0.966,0.931,0.106,0.186,68.724,0
glee cast,(ive had) the time of my life,2010,11,0.459,0.77,9,-5.996,1,0.0472,0.0765,0,0.0879,0.168,110.705,1
2 minutos,1987,2007,12,0.378,0.984,4,-3.962,1,0.145,9.96E-05,0,0.62,0.618,97.69,0
ayo,down on my knees,2015,10,0.812,0.852,1,-7.87,1,0.0506,3.14E-05,0.754,0.47,0.776,121.99,0
tanto metro & devonte,know your friends,1999,8,0.552,0.628,9,-11.408,1,0.151,0.702,0.00012,0.415,0.745,179.969,0
pedro aznar,stand,1991,1,0.66,0.816,5,-7.54,1,0.0295,0.00368,1.92E-06,0.303,0.877,110.096,0
behemoth,no sympathy for fools,2002,1,0.431,0.903,1,-6.405,1,0.0891,2.61E-05,0.0362,0.273,0.386,92.379,0
broadcast,michael a grammar,2005,9,0.372,0.632,7,-9.535,1,0.0505,0.274,0.134,0.155,0.777,131.409,0
steel pulse,we can do it,1991,1,0.759,0.535,10,-11.998,1,0.0573,0.0826,0,0.102,0.753,145.8,0
owsley,class clown/good old days (reprise),1999,3,0.223,0.684,9,-8.151,1,0.0409,0.00756,0.000272,0.262,0.183,191.973,0
gloria estefan,youll be mine (party time),1996,6,0.772,0.857,10,-7.144,0,0.185,0.163,0.000633,0.113,0.665,106.873,1
brad paisley,who needs pictures,1999,6,0.544,0.435,4,-9.927,1,0.0265,0.462,0,0.106,0.152,72.981,1
tommy castro,sho enough,2001,8,0.826,0.783,7,-6.366,0,0.0306,0.515,0.000361,0.297,0.973,122.135,0
radiohead,fake plastic trees (acoustic version),1995,1,0.466,0.177,2,-12.224,1,0.0302,0.593,3.92E-05,0.689,0.153,74.877,0
jocelyn enriquez,a little bit of ecstasy,1997,5,0.496,0.762,6,-7.64,0,0.0628,0.036,0.00199,0.315,0.674,130.004,1
lisa lynne,lake of dreams,1990,1,0.579,0.259,0,-12.191,1,0.0291,0.969,0.919,0.134,0.0667,94.044,0
zo2,comin home,2007,8,0.237,0.923,7,-5.412,1,0.107,0.0455,1.27E-06,0.0215,0.361,86.825,0
cathy dennis,touch me (all night long),1990,1,0.661,0.727,10,-11.343,0,0.0343,0.00107,0.114,0.297,0.35,118.005,1
blackstreet,before i let you go,1994,1,0.67,0.468,1,-6.725,0,0.0328,0.325,0,0.0516,0.486,140.069,1
wolfmother,white feather,2009,1,0.572,0.886,9,-4.478,1,0.0534,0.000185,3.95E-05,0.245,0.702,111.606,0
tito puente,mambo suavecito,2018,1,0.782,0.56,11,-10.162,0,0.0908,0.452,0.00151,0.0653,0.962,88.799,0
matchbox twenty,bright lights,2013,11,0.319,0.732,4,-4.475,1,0.0436,0.0134,0,0.658,0.2,80.195,1
gg allin,garbage dump,2009,1,0.441,0.609,10,-12.051,0,0.0541,0.473,0,0.276,0.645,85.549,0
c.c. adcock,love n gold,2004,10,0.712,0.635,2,-5.677,1,0.0351,0.00699,0.0238,0.0575,0.772,81.011,0
djelimady tounkara,sigui,2002,3,0.587,0.386,0,-10.627,1,0.0365,0.66,0.0227,0.0937,0.499,124.545,0
matchbox 20,real world,1996,10,0.504,0.761,10,-5.446,1,0.0437,0.00628,0,0.0892,0.884,117.999,1
lil kim,no matter what they say,2000,6,0.743,0.774,1,-7.697,1,0.325,0.0262,0,0.137,0.646,106.082,1
ten madison,leaving melbourne,2006,7,0.625,0.715,4,-8.195,0,0.0485,0.187,0.928,0.108,0.381,133.342,0
maxwell,pretty wings,2009,7,0.563,0.402,9,-10.496,1,0.0668,0.252,2.07E-06,0.0886,0.2,115.561,1
simple minds,see the lights,2016,11,0.606,0.802,2,-8.294,1,0.0402,0.0358,9.88E-05,0.302,0.519,126.081,1
samy deluxe,die meisten,2001,1,0.694,0.853,1,-7.731,1,0.274,0.0136,0,0.0312,0.932,171.706,0
sugarland,it happens,2008,1,0.635,0.742,8,-3.77,1,0.0505,0.0071,2.70E-05,0.0774,0.725,89.974,1
thirty seconds to mars,from yesterday,2005,1,0.467,0.876,10,-4.841,1,0.0693,0.00578,0.00592,0.035,0.131,135.055,1
gyptian,hold you (hold yuh),2010,7,0.69,0.621,8,-3.583,1,0.06,0.321,2.81E-05,0.0884,0.497,66.858,1
gary go,open arms,2009,1,0.51,0.855,0,-5.73,1,0.0547,0.0917,3.10E-06,0.0791,0.2,131.943,0
set your goals,the fallen...,2009,7,0.268,0.998,8,-1.522,1,0.388,0.0062,1.71E-05,0.108,0.227,194.655,0
midwest product,motivator,2003,10,0.718,0.691,10,-9.118,1,0.0408,0.00999,0.877,0.1,0.349,140.998,0
darryl worley,a good day to run,2003,1,0.59,0.773,6,-5.183,1,0.0286,0.221,5.49E-05,0.102,0.679,147.377,1
das efx,freakit,1993,11,0.801,0.518,1,-12.054,1,0.314,0.0286,3.65E-06,0.309,0.598,97.302,1
amil,anyday,2000,9,0.769,0.399,0,-8.378,1,0.337,0.0953,0,0.0987,0.47,166.229,0
placebo,the never-ending why,2009,6,0.524,0.911,3,-5.738,1,0.0396,1.49E-05,0.00443,0.365,0.6,137.36,0
steve vai,angel food,2013,6,0.493,0.637,4,-9.626,1,0.052,0.0903,0.823,0.847,0.43,147.742,0
adam lambert,time for miracles,2009,11,0.26,0.7,2,-3.58,1,0.0312,0.00532,0,0.357,0.202,147.872,1
the killers,mr. brightside,2004,1,0.33,0.936,1,-3.66,1,0.0917,0.00108,0,0.0926,0.234,148.112,1
22-20s,hold on,2004,9,0.372,0.709,9,-6.526,0,0.0379,0.00637,0.834,0.106,0.0746,133.333,0
metallica,the end of the line,2008,9,0.335,0.985,4,-2.383,0,0.0921,0.000115,0.000807,0.135,0.202,106.552,0
finest dearest,naming ceremony,2008,3,0.657,0.747,6,-7.109,0,0.0345,0.126,0.0544,0.0992,0.366,121.043,0
a static lullaby,rattlesnake!,2008,9,0.267,0.987,2,-6.083,1,0.187,5.67E-05,1.40E-05,0.185,0.123,201.687,0
bt,henrys death,2005,8,0.471,0.865,11,-8.2,0,0.0401,0.0207,0.71,0.0947,0.448,150.049,0
2gether,the hardest part of breaking up (is getting back your stuff),2006,1,0.83,0.948,9,-3.973,0,0.0455,0.106,2.29E-06,0.105,0.931,111.993,1
madonna,american pie,2000,1,0.631,0.734,5,-7.48,0,0.036,0.348,0,0.135,0.591,124.036,1
regina belle,if i ruled the world,2004,1,0.556,0.32,0,-9.125,1,0.0851,0.695,5.02E-06,0.451,0.161,137.709,0
the vaughan brothers,hillbillies from outerspace,1990,9,0.753,0.306,8,-13.827,1,0.0634,0.275,0.788,0.605,0.782,141.939,0
del tha funkee homosapien,mistadobalina,2004,2,0.85,0.797,10,-7.429,0,0.136,0.0964,8.38E-06,0.34,0.63,99.615,0
finger eleven,one thing,2003,1,0.593,0.554,1,-9.286,1,0.0336,0.476,0,0.0804,0.489,151.953,1
capone-n-noreaga,beef,2009,3,0.391,0.781,0,-4.931,0,0.309,0.0497,8.02E-06,0.396,0.341,158.535,0
screamin jay hawkins,talk about me,2013,4,0.556,0.553,6,-11.098,1,0.0572,0.784,0.00015,0.221,0.964,155.052,0
billie jo spears,it makes no difference now,2010,1,0.562,0.409,4,-16.625,1,0.0324,0.264,0,0.16,0.929,80.409,0
ayo,these days,2013,10,0.677,0.796,1,-3.567,1,0.273,0.565,0,0.162,0.479,160.066,0
oasis,wonderwall,1995,10,0.372,0.865,2,-4.918,1,0.0381,0.000453,0,0.234,0.478,174.53,1
gertrudis,intro,2009,3,0.562,0.45,9,-12.258,0,0.0279,0.529,0.000911,0.643,0.547,97.797,0
kimberley locke,8th world wonder,2004,5,0.537,0.758,7,-4.065,1,0.0249,0.0103,0,0.131,0.295,100.041,1
helen love,first boyfriend,2007,11,0.69,0.765,8,-6.732,1,0.0558,0.0242,0,0.36,0.967,97.55,0
marshall crenshaw,from now until then,2003,7,0.396,0.712,2,-5.468,1,0.0483,0.128,0,0.125,0.488,121.561,0
la portuaria,hasta el final,2005,1,0.865,0.487,7,-7.409,1,0.0459,0.173,0.0055,0.106,0.513,122.01,0
james newton howard,the burp heard round the world,2010,1,0.301,0.508,0,-9.654,1,0.0409,0.668,0.44,0.27,0.0546,84.245,0
poncho sanchez,co co my my,1991,1,0.51,0.655,5,-10.754,1,0.0375,0.617,0.0882,0.877,0.897,103.963,0
mother superior,get that girl (remix),2008,3,0.477,0.741,11,-6.971,1,0.0706,0.0432,1.04E-05,0.129,0.809,145.088,0
carlos ponce,quiero,2002,1,0.441,0.902,7,-6.025,1,0.0458,0.0111,0,0.286,0.606,89.508,0
jimi hendrix,voodoo chile blues,1994,4,0.352,0.587,0,-12.272,1,0.101,0.0734,0.711,0.266,0.412,164.662,0
blind lemon jefferson,long distance moan,1992,1,0.691,0.0331,10,-14.197,1,0.0906,0.995,0.0587,0.112,0.608,106.387,0
