Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Target
van halen,from afar ,1998,03,0.299,0.467,4.0,-8.628,0.0,0.0353,0.00703,2.57e-05,0.0883,0.303,175.687,3638589,0
tim wilson,uncle b.s. - 1963,1999,01,0.558,0.815,2.0,-10.491,1.0,0.911,0.823,0.0,0.882,0.609,80.167,4588803,0
the chap,volumatic spacer device,2003,03,0.904,0.368,9.0,-10.659,1.0,0.138,0.723,0.314,0.087,0.49,123.01,36701,0
britney spears,3,2009,11,0.697,0.709,5.0,-1.917,0.0,0.0455,0.0452,0.0,0.138,0.787,134.91,2715293,0
snow patrol,spitting games,2004,01,0.498,0.89,7.0,-3.935,1.0,0.0292,0.000683,0.0476,0.562,0.518,145.168,5740,0
rise against,drones,2006,01,0.524,0.995,8.0,-3.717,1.0,0.054,0.000111,4.91e-06,0.0561,0.427,104.683,3029,0
bob dylan,trying to get to heaven,1997,09,0.481,0.479,3.0,-13.366,1.0,0.0325,0.476,0.00105,0.271,0.552,95.274,6567839,0
maximilian hecker,birch,2016,04,0.241,0.179,5.0,-10.38,0.0,0.0336,0.954,0.0314,0.113,0.0393,77.203,34525,0
albert collins,same old thing,1993,01,0.712,0.591,0.0,-11.609,1.0,0.0394,0.12,0.00135,0.0454,0.737,94.485,92433,0
salt the wound,from my hands,2009,09,0.262,0.937,2.0,-5.33,1.0,0.244,2.22e-05,0.199,0.0741,0.228,89.718,1809577,0
eminem,the way i am,2000,05,0.81,0.871,4.0,-2.672,0.0,0.241,0.13,0.0,0.313,0.299,87.328,1971287,0
shakira,que vuelvas,1998,09,0.688,0.917,2.0,-7.449,1.0,0.0314,0.0185,0.00241,0.0712,0.788,123.873,3647395,0
ten madison,cup horn,2006,07,0.721,0.855,10.0,-9.002,0.0,0.0538,0.105,0.854,0.111,0.664,95.006,7522,0
sonora carruseles,vitamina,2015,07,0.675,0.785,5.0,-8.232,1.0,0.055,0.391,0.111,0.106,0.745,108.31,100322,0
audio adrenaline,some kind of zombie ,1997,01,0.587,0.939,2.0,-4.759,1.0,0.0459,0.0025,0.00614,0.155,0.31,108.112,261572,0
ann lee,so deep,1999,09,0.607,0.928,7.0,-5.702,1.0,0.0287,0.000804,0.000105,0.358,0.637,131.96,1683,0
life long tragedy,collecting dust,2008,02,0.218,0.759,7.0,-6.175,1.0,0.0558,0.000146,0.00736,0.252,0.214,121.309,30153459,0
tim exile,oh scat mix up,2006,05,0.649,0.878,1.0,-3.936,1.0,0.271,0.00415,0.0068,0.849,0.837,141.13,17379033,0
bill engvall,t-ball and indian guides ,1998,10,0.542,0.834,1.0,-10.31,1.0,0.952,0.733,0.0,0.959,0.292,79.438,1368,0
david arkenstone,big bounce,2009,01,0.754,0.422,6.0,-13.382,0.0,0.032,0.044,0.689,0.0431,0.721,108.008,69338,0
the almost,summer summer,2009,01,0.435,0.83,4.0,-5.305,0.0,0.0407,0.00022,0.0,0.153,0.211,136.175,105709,0
kenny rogers,reuben james,1993,01,0.502,0.735,4.0,-12.342,1.0,0.155,0.0939,0.0,0.266,0.891,203.162,548,0
winifred phillips,sporable,2009,10,0.429,0.3,0.0,-13.723,1.0,0.042,0.847,0.336,0.182,0.144,130.139,352093,0
zombina & the skeletones,the waiting,2006,12,0.245,0.836,10.0,-5.264,1.0,0.0625,6.6e-06,0.576,0.526,0.219,93.03,4976,0
mxpx,grey skies turn blue,2005,06,0.39,0.767,11.0,-3.27,1.0,0.0434,4.36e-05,0.00515,0.0506,0.712,175.434,2388,0
zumpano,wraparound shades ,1995,01,0.483,0.713,4.0,-7.934,1.0,0.0513,0.0507,8.34e-05,0.0873,0.336,78.494,36784,0
thrice,red sky,2005,01,0.518,0.771,2.0,-4.644,1.0,0.0464,0.00444,0.0232,0.106,0.155,141.466,30064,0
flora purim,above the rainbow,1977,01,0.123,0.366,0.0,-15.104,1.0,0.0337,0.632,0.00499,0.385,0.133,174.702,51525,0
redman,suicide,2007,01,0.515,0.755,1.0,-12.051,0.0,0.567,0.0752,1.8e-06,0.793,0.463,94.413,920081,0
pearl jam,wishlist,1998,02,0.623,0.342,0.0,-8.694,1.0,0.038,0.0134,0.00412,0.106,0.101,115.032,1528,0
steel pulse,role model,1997,08,0.816,0.601,1.0,-6.396,0.0,0.272,0.0184,0.0,0.0117,0.756,77.993,5963,0
arrested development,since the last time,2007,10,0.7,0.669,1.0,-6.312,1.0,0.242,0.0395,4.02e-06,0.127,0.597,177.916,136195,0
plies,goons lurkin ,2007,08,0.689,0.546,9.0,-4.966,1.0,0.0374,0.0115,0.0,0.182,0.168,110.972,640,0
milieu,blackwood moth,2007,04,0.708,0.286,10.0,-13.724,1.0,0.143,0.0112,0.87,0.138,0.736,174.06,296626,0
out of the grey,dreaming of april,1995,01,0.32,0.482,7.0,-8.982,1.0,0.0354,0.509,1.37e-06,0.0763,0.289,175.139,7875,0
snow patrol,new sensation,2009,09,0.68,0.373,4.0,-14.407,1.0,0.0314,0.528,0.000193,0.0911,0.311,115.029,532832,0
dart,for the good times,2003,12,0.62,0.503,0.0,-9.75,1.0,0.0631,0.00557,0.00383,0.511,0.689,147.959,1398533,0
open hand,never alone,2003,01,0.243,0.8,9.0,-7.798,0.0,0.148,0.0596,0.117,0.377,0.177,86.235,5078672,0
sex pistols,chatterbox,2010,12,0.25,0.775,4.0,-5.715,0.0,0.0381,1.77e-06,0.899,0.366,0.38,146.752,341666,0
the wreckers,damn that radio [live],2007,11,0.501,0.877,4.0,-5.15,1.0,0.105,0.17,0.0,0.801,0.721,151.915,103815,0
inspiral carpets,keep the circle around,2003,10,0.26,0.976,10.0,-3.998,0.0,0.0808,0.0489,0.653,0.208,0.494,149.791,957730,0
various production,wot u say,2008,09,0.502,0.786,7.0,-8.934,0.0,0.0365,0.0199,0.00123,0.0683,0.86,145.131,1600,0
stephen warbeck,birth of the falls,2003,01,0.0962,0.262,9.0,-14.738,0.0,0.0369,0.825,0.963,0.359,0.0754,67.16,5238,0
redman,i got a seecret,1998,01,0.633,0.82,1.0,-8.281,1.0,0.378,0.00686,0.0,0.124,0.21,113.282,1809577,0
tshala muana,banda yango,1996,01,0.656,0.934,7.0,-5.224,1.0,0.0431,0.406,0.319,0.0614,0.968,127.951,2425,0
hatiras,the anthem,2006,05,0.581,0.827,11.0,-6.274,0.0,0.313,0.000499,0.385,0.329,0.413,132.011,1334,0
jope ruonansuu,rant kanaria,2009,06,0.73,0.379,9.0,-9.169,0.0,0.0381,0.596,6.78e-05,0.0594,0.415,110.922,2466,0
grizzly bear,little brother,2006,09,0.269,0.314,4.0,-13.629,0.0,0.0291,0.9,0.502,0.582,0.183,84.72,966412,0
julie roberts,the chance,2004,01,0.539,0.306,1.0,-11.625,1.0,0.0455,0.624,0.0,0.104,0.113,140.208,1933,0
snap!,do you see the light ,2009,11,0.65,0.629,6.0,-9.995,0.0,0.0287,0.0598,0.000119,0.112,0.536,131.994,54645,0
kristine w.,save my soul ,2004,03,0.705,0.727,9.0,-7.55,0.0,0.067,0.00837,0.000802,0.136,0.558,130.052,73968,0
paul avgerinos,song without end,2001,05,0.198,0.189,9.0,-17.325,1.0,0.0354,0.965,0.764,0.0917,0.032,67.933,863,0
pennywise,6th avenue nightmare,2005,08,0.344,0.954,9.0,-4.856,1.0,0.146,9.91e-05,1.79e-06,0.303,0.6,101.365,2661,0
sandra mihanovich,cuatro estrofas,2017,11,0.274,0.379,9.0,-15.143,1.0,0.0651,0.94,0.00144,0.932,0.38,86.441,532832,0
dixie chicks,give it up or let me go,1998,01,0.617,0.905,2.0,-4.329,1.0,0.0321,0.119,0.00117,0.77,0.769,103.862,4740,0
jake hess,so many reasons,1969,09,0.411,0.231,7.0,-16.865,1.0,0.0308,0.841,8.19e-05,0.326,0.359,79.589,2176,0
the irish tenors,the croppy boy,2011,02,0.26,0.035,10.0,-21.021,1.0,0.0367,0.951,2.48e-06,0.109,0.0978,94.532,11897,0
keep of kalessin,many are we,2006,04,0.374,0.997,3.0,-5.078,1.0,0.202,0.00087,0.805,0.255,0.036,109.883,603470,0
eyes set to kill,play the part,2010,06,0.41,0.997,8.0,-3.862,1.0,0.152,0.00157,0.0,0.16,0.256,194.998,82649,0
john van tongeren,salvation,2007,05,0.485,0.675,0.0,-8.837,1.0,0.0309,0.0533,0.95,0.157,0.912,150.181,92811,0
ten madison,elementro,2004,06,0.663,0.954,8.0,-7.929,0.0,0.0493,0.00125,0.878,0.123,0.424,138.998,5685,0
james horner,the stranger,2003,11,0.275,0.0441,2.0,-30.517,0.0,0.0333,0.838,0.624,0.113,0.0771,94.917,2495,0
jason michael carroll,no good in goodbye,2007,02,0.391,0.796,2.0,-3.074,1.0,0.0338,0.352,0.0,0.278,0.334,175.37,444574,0
twista,girl tonite ,2005,10,0.668,0.724,7.0,-5.953,1.0,0.0536,0.00551,0.0,0.218,0.318,148.522,28109,0
stefon harris,from the gardner meditations: african tarantella,2006,01,0.343,0.461,1.0,-10.851,0.0,0.0368,0.917,0.853,0.288,0.293,70.155,821953,0
fruko y sus tesos,la fruta bomba,2015,07,0.826,0.845,8.0,-6.804,1.0,0.0457,0.149,0.000366,0.0331,0.892,105.88,3809,0
bon jovi,wildflower,2005,01,0.436,0.635,7.0,-5.848,1.0,0.0278,0.0234,0.0,0.18,0.356,92.692,4061,0
the shamen,heal ,2010,03,0.572,0.911,5.0,-7.272,1.0,0.0325,0.00087,0.491,0.0823,0.543,121.299,48888,0
midwest product,motivator,2003,10,0.718,0.691,10.0,-9.118,1.0,0.0408,0.00999,0.877,0.1,0.349,140.998,11359,0
britney spears,someday ,2005,09,0.523,0.561,0.0,-9.444,0.0,0.0275,0.732,2.55e-05,0.126,0.176,135.972,7035,0
city high,sista,2001,01,0.648,0.653,8.0,-8.364,0.0,0.0814,0.0616,0.0,0.0821,0.637,80.008,17697,0
amy winehouse,valerie,2007,01,0.739,0.365,5.0,-5.731,0.0,0.0415,0.751,1.65e-06,0.161,0.699,96.095,153239,0
gorillaz,november has come,2005,05,0.702,0.567,7.0,-8.561,1.0,0.239,0.0815,2.75e-05,0.0864,0.667,84.153,61,0
linkin park,given up ,2007,05,0.655,0.885,7.0,-4.116,1.0,0.0438,0.00117,0.000473,0.0448,0.938,100.088,1389,0
bryan ferry,ja nun hons pris,2002,01,0.488,0.216,7.0,-15.521,0.0,0.0704,0.771,0.0,0.465,0.562,103.748,72309,0
martin sexton,things you do to me,2002,04,0.748,0.771,1.0,-9.164,1.0,0.118,0.0433,0.000127,0.975,0.642,103.219,1368,0
dave matthews band,tripping billies,1996,04,0.569,0.932,11.0,-5.659,0.0,0.0388,0.000496,0.0342,0.259,0.944,120.858,199649,0
the pineapple thief,run a mile,2006,01,0.563,0.825,0.0,-8.047,1.0,0.0423,0.00207,0.0748,0.0614,0.0762,140.034,181939,0
the jeff healey band,it could all get blown away,1992,11,0.503,0.738,7.0,-6.643,0.0,0.034,0.00428,0.000109,0.197,0.635,94.447,13332,0
anthony cruz,make it up,2016,04,0.441,0.706,2.0,-5.926,0.0,0.182,0.538,0.0,0.168,0.721,78.251,1041096,0
weezer,dope nose,2002,05,0.416,0.724,10.0,-4.87,1.0,0.0512,0.000336,0.0788,0.247,0.819,127.357,523220,0
fabolous,trade it all pt2  ,2003,02,0.819,0.778,1.0,-5.839,0.0,0.21,0.029,0.0,0.215,0.779,96.72,4974,0
showbread,the pig,2008,01,0.391,0.586,4.0,-6.7,1.0,0.035,0.00191,0.124,0.175,0.153,120.417,194016,0
showbread,nothing matters anymore,2009,01,0.31,0.961,9.0,-3.794,1.0,0.0456,0.000396,0.0,0.656,0.234,164.939,102477,0
jack johnson,fortunate fool,2011,04,0.808,0.267,4.0,-10.415,1.0,0.0426,0.609,0.00343,0.119,0.32,129.266,6638588,0
daniel johnston,high horse,2009,10,0.521,0.724,0.0,-6.667,1.0,0.0275,0.000365,0.314,0.122,0.452,128.038,29846,0
tracy byrd,walking to jerusalem,2001,01,0.689,0.827,2.0,-7.135,1.0,0.0326,0.0559,0.0,0.244,0.786,116.611,4803300,0
fake problems,tabernacle song,2009,02,0.401,0.625,0.0,-6.252,1.0,0.0294,0.0124,0.0,0.171,0.508,103.548,913,0
atb,collides with beauty,2004,05,0.595,0.896,9.0,-6.789,0.0,0.0407,0.0418,0.603,0.681,0.797,136.988,75908,0
paul avgerinos,in my heart,2001,05,0.0706,0.0668,4.0,-26.717,1.0,0.0487,0.976,0.978,0.108,0.0279,76.312,368,0
pyranja,anfang vom ende,2003,01,0.721,0.7,6.0,-8.817,0.0,0.32,0.408,1.68e-05,0.596,0.639,95.914,6567839,0
alice in chains,angry chair,1992,01,0.325,0.937,8.0,-6.295,1.0,0.085,0.0443,0.0,0.0442,0.158,106.989,19270,0
beherit,suck my blood,2009,06,0.21,0.857,2.0,-5.798,1.0,0.0796,2.14e-05,0.0998,0.464,0.0978,149.739,5926385,0
casiotone for the painfully alone,white jetta,2009,04,0.658,0.868,4.0,-9.848,0.0,0.0892,0.0468,0.075,0.0749,0.0389,90.057,4803300,0
aphasia,non-existent track ,2001,04,0.298,0.887,6.0,-7.493,1.0,0.572,0.0531,0.913,0.683,0.0715,219.59,13753810,0
epmd,jane 5,1997,09,0.721,0.538,10.0,-8.281,0.0,0.388,0.0184,0.000317,0.119,0.393,86.927,235633,0
architecture in helsinki,need to shout,2005,04,0.602,0.606,9.0,-10.224,1.0,0.101,0.319,0.00102,0.361,0.53,139.877,19934,0
atreyu,gallows ,2009,01,0.373,0.931,1.0,-3.576,1.0,0.151,1.61e-05,0.0,0.326,0.143,138.957,1154909,0
sonny landreth,she left me a mule ,2009,04,0.752,0.613,9.0,-10.618,1.0,0.0292,0.396,0.0199,0.246,0.843,131.468,63079,0
chris standring,through the looking glass ,2002,01,0.775,0.561,8.0,-9.538,1.0,0.0324,0.701,0.653,0.124,0.909,109.983,249,0
dope stars inc.,chase the light,2006,08,0.483,0.959,11.0,-4.66,0.0,0.0333,5.29e-06,0.216,0.297,0.891,155.029,101320,0
the vaughan brothers,good texan,1990,09,0.79,0.588,9.0,-10.241,1.0,0.0519,0.0511,0.0013,0.29,0.82,142.573,5394,0
cabas,como nuestro amor no hay dos,2008,04,0.714,0.864,0.0,-5.96,1.0,0.0662,0.585,0.0,0.279,0.81,108.061,1804698,0
elvenking,trows kind,2006,01,0.509,0.902,10.0,-5.273,0.0,0.0466,2.91e-05,4.01e-05,0.221,0.527,100.065,1317774,0
arturo sandoval,my funny valentine,2013,02,0.323,0.116,11.0,-14.248,0.0,0.0352,0.855,1.07e-05,0.138,0.0724,143.309,9921,0
nick colionne,if you ask me,2006,01,0.697,0.787,11.0,-6.946,1.0,0.027,0.369,0.803,0.302,0.937,101.99,21771,0
sleepy john estes,need more blues,2005,04,0.555,0.277,11.0,-10.031,1.0,0.0334,0.928,0.00163,0.0995,0.471,83.436,9921,0
snap!,beauty queen ,2005,01,0.819,0.818,10.0,-9.54,0.0,0.0339,0.000718,0.208,0.109,0.822,130.288,2578361,0
jesse malin and the st. marks social,revelations,2010,04,0.476,0.921,9.0,-4.771,1.0,0.052,0.0149,0.000206,0.0679,0.364,126.016,133116,0
dark party,active,2009,01,0.564,0.805,5.0,-4.156,0.0,0.0455,0.047,0.71,0.101,0.391,175.947,356072,0
william orbit,harry flowers,1993,01,0.583,0.251,7.0,-21.53,1.0,0.0352,0.0438,0.909,0.0749,0.21,146.365,2029,0
radio moscow,broke down,2009,04,0.386,0.875,0.0,-6.823,1.0,0.101,0.00445,0.00175,0.24,0.792,75.896,12843,0
stille volk,orgasme tellurique,2003,06,0.549,0.73,5.0,-12.629,1.0,0.0319,0.348,2.75e-05,0.15,0.817,149.971,8739,0
tina ann,too late ,2004,10,0.593,0.959,2.0,-2.88,0.0,0.0347,0.00185,0.0016,0.115,0.548,134.984,200285,0
backstreet boys,the call,2000,11,0.696,0.874,10.0,-3.318,0.0,0.0772,0.117,0.0,0.331,0.747,104.196,2495,0
lyrics born,over you ,2005,04,0.659,0.53,11.0,-4.653,0.0,0.114,0.0392,0.0336,0.177,0.546,174.736,1,0
les ogres de barback,printemps,1999,01,0.646,0.505,10.0,-8.339,1.0,0.0505,0.696,0.0246,0.0406,0.886,148.873,1685,0
matisyahu,refuge,2005,04,0.484,0.59,4.0,-8.617,0.0,0.135,0.117,1.79e-06,0.886,0.499,84.009,2310560,0
debbie davies,backseat driver,2005,06,0.673,0.858,9.0,-5.75,1.0,0.0393,0.0378,0.000363,0.135,0.934,125.198,255557,0
ashton shepherd,old memory,2008,01,0.468,0.408,3.0,-5.35,1.0,0.0284,0.626,2.89e-06,0.114,0.174,128.941,15595,0
rubyhorse,the  first of the year,2002,01,0.397,0.376,0.0,-11.447,1.0,0.0355,0.744,0.0365,0.337,0.154,125.135,13812,0
vangelis,procession,1990,01,0.528,0.354,2.0,-18.476,1.0,0.0307,0.0577,0.225,0.0929,0.226,59.883,382,0
babylon disco,multiplayer,2007,02,0.627,0.544,11.0,-17.444,0.0,0.0525,0.0605,0.189,0.113,0.756,89.976,202014,0
mariah carey,mine again,2005,01,0.688,0.367,7.0,-8.89,0.0,0.0611,0.723,7.78e-06,0.114,0.371,131.883,90655,0
rhian sheehan,existing alone,2001,07,0.24,0.488,1.0,-16.478,1.0,0.136,0.752,0.634,0.119,0.0879,128.19,518457,0
bob marley,small axe,2000,01,0.832,0.531,10.0,-7.386,1.0,0.225,0.743,0.0,0.229,0.832,98.587,20685,0
dolores keane,telling me lies,2006,05,0.603,0.337,9.0,-12.708,1.0,0.0284,0.546,2.32e-05,0.175,0.139,114.18,27900,0
everyday sunday,wake up! wake up! ,2007,01,0.511,0.847,1.0,-3.743,1.0,0.0339,0.000108,0.0,0.107,0.811,151.939,240738,0
stephen marley / damian marley,the mission,2008,01,0.844,0.725,9.0,-7.182,0.0,0.0462,0.16,0.0,0.246,0.961,116.033,203887,0
helen love,first boyfriend,2007,11,0.69,0.765,8.0,-6.732,1.0,0.0558,0.0242,0.0,0.36,0.967,97.55,14584,0
incubus,just a phase,2001,10,0.611,0.563,9.0,-7.722,1.0,0.0291,0.15,0.547,0.539,0.0938,108.002,117187,0
the almost,little drummer boy,2008,01,0.661,0.575,0.0,-8.151,1.0,0.0465,0.207,6.58e-06,0.108,0.417,164.004,13343,0
the black crowes,sting me,1992,01,0.552,0.972,0.0,-3.744,1.0,0.0584,0.0068,0.0,0.123,0.639,129.309,73610,0
doug macleod,the sun shine down my way,2015,06,0.518,0.193,2.0,-9.062,1.0,0.0515,0.777,0.0141,0.105,0.211,169.181,282469,0
bill perry,man  on the side,2004,08,0.282,0.652,9.0,-6.353,0.0,0.0299,0.119,0.373,0.35,0.432,109.106,57608,0
cobra killer,kick jump - part jump,1998,09,0.406,0.66,6.0,-9.018,1.0,0.301,0.514,0.59,0.163,0.295,128.562,17697,0
sugar minott,informer,2011,10,0.808,0.671,8.0,-6.252,0.0,0.295,0.21,1.48e-06,0.138,0.836,77.531,56715,0
backstreet boys,shape of my heart,2000,11,0.575,0.786,9.0,-4.353,1.0,0.0296,0.252,0.0,0.159,0.518,96.102,15049,0
bob marley,lively up yourself,2015,02,0.599,0.776,7.0,-8.431,1.0,0.0677,0.0996,3.65e-05,0.267,0.869,76.114,7866,0
sofia karlsson,i denna ljuva sommartid,2002,02,0.372,0.0999,0.0,-13.856,1.0,0.0398,0.94,1.53e-05,0.133,0.297,111.564,92811,0
seal,still love remains ,1998,11,0.389,0.397,5.0,-11.155,0.0,0.0336,0.719,0.005,0.113,0.209,154.001,331,0
planetakis,letters to norway,2007,08,0.497,0.99,0.0,-2.021,1.0,0.105,0.00682,0.0,0.0971,0.55,138.058,53,0
robben ford,spoonful,2009,01,0.528,0.879,11.0,-6.392,0.0,0.0967,0.0185,0.114,0.877,0.639,126.099,185948,0
byzantine,absolute horizon,2008,01,0.261,0.97,0.0,-5.378,1.0,0.124,2.33e-05,0.0087,0.17,0.146,98.884,23493,0
halfway to gone,turnpike,2004,04,0.348,0.795,11.0,-5.114,0.0,0.0466,1.47e-05,0.733,0.0466,0.213,122.529,106839,0
kings of leon,genius,2003,08,0.442,0.83,7.0,-5.978,1.0,0.0478,0.0275,0.0,0.218,0.506,125.554,2704,0
kings of leon,my party ,2007,04,0.398,0.858,11.0,-5.84,1.0,0.0405,0.00363,0.0945,0.0594,0.688,128.775,244,0
a tribe called quest,scenario,1991,09,0.795,0.6,2.0,-14.004,1.0,0.341,0.112,0.000171,0.111,0.633,101.78,2649703,0
placebo,evalia,2016,02,0.589,0.555,6.0,-10.829,1.0,0.0357,0.0109,0.00194,0.683,0.6,97.739,32415,0
uphill battle,thresh hold,2004,02,0.37,0.983,7.0,-1.297,1.0,0.132,1.19e-05,0.708,0.175,0.1,108.718,4856,0
moments in grace,broken promises ,2004,08,0.402,0.962,10.0,-6.517,1.0,0.177,9.01e-05,0.00186,0.0474,0.12,144.971,60591,0
mau mau,neir,2004,01,0.534,0.802,1.0,-7.335,1.0,0.0657,0.218,4.48e-06,0.136,0.645,81.094,2539,0
nine inch nails,survivalism,2007,01,0.622,0.664,11.0,-5.592,0.0,0.0805,0.000825,0.186,0.135,0.388,129.991,514877,0
pascal obispo,chlore,1994,09,0.535,0.339,5.0,-13.64,0.0,0.0315,0.208,0.000884,0.234,0.378,139.816,5366,0
k-os,aquacityboy,2006,01,0.43,0.914,10.0,-3.81,1.0,0.239,0.0181,0.0,0.244,0.741,93.037,38262,0
tin hat trio,width of the world,2000,01,0.243,0.259,7.0,-12.661,1.0,0.0298,0.615,0.0673,0.1,0.105,146.268,699,0
rihanna,music of the sun,2005,08,0.535,0.643,0.0,-8.182,1.0,0.155,0.112,0.0,0.281,0.632,171.884,26550,0
kanye west,street lights,2008,01,0.641,0.488,1.0,-9.604,1.0,0.0349,0.0321,0.0293,0.233,0.441,125.497,288239,0
grace gale,la matanza,2008,05,0.477,0.905,0.0,-5.901,0.0,0.0428,0.00923,5.3e-05,0.111,0.676,155.075,97,0
christina aguilera,beautiful,2002,07,0.457,0.573,5.0,-3.866,0.0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,4840981,0
twista,had to call ,2005,10,0.91,0.751,8.0,-6.442,1.0,0.202,0.407,0.0,0.0922,0.855,136.549,12258,0
geddy lee,runaway train ,2000,11,0.587,0.845,7.0,-6.149,1.0,0.03,0.000322,0.0127,0.158,0.535,119.905,7324733,0
jerry goldsmith,the keys,1997,01,0.219,0.166,5.0,-28.018,0.0,0.0501,0.607,0.935,0.1,0.12,129.287,9238,0
alexis hk,juste une fois,2004,11,0.563,0.228,9.0,-14.17,1.0,0.0852,0.853,0.0,0.382,0.508,92.928,13286,0
neon blonde,new detroit,2005,09,0.249,0.773,7.0,-5.053,1.0,0.0402,0.0866,9.89e-06,0.106,0.489,139.515,509,0
korn,proud,2006,04,0.349,0.971,2.0,-3.62,1.0,0.196,0.000299,0.0231,0.381,0.371,118.076,2029,0
soul ballet,da da diamonds,2007,09,0.796,0.681,9.0,-7.236,0.0,0.0364,0.0543,0.0205,0.0928,0.418,106.005,1996869,0
sigmatropic,the blue side of the sun,2007,09,0.733,0.501,0.0,-8.836,1.0,0.0417,0.254,0.00234,0.207,0.37,117.943,275991,0
snowgoons,platoon goons,2009,05,0.604,0.902,5.0,-4.382,0.0,0.343,0.00488,0.0,0.38,0.436,96.002,61982,0
eminem,paul,2018,08,0.707,0.314,6.0,-10.115,0.0,0.747,0.977,0.0,0.109,0.602,104.014,51525,0
eyes set to kill,liar in the glass,2008,02,0.255,0.919,2.0,-3.769,1.0,0.143,3.65e-05,0.0118,0.197,0.411,91.978,354526,0
cali,dolorosa ,2003,08,0.494,0.908,0.0,-4.38,0.0,0.0414,0.375,0.026,0.142,0.663,155.981,3034,0
kurupt,girls all pause,2012,10,0.953,0.622,11.0,-7.76,1.0,0.25,0.0931,0.0,0.29,0.742,103.427,4095,0
janet jackson,again,1997,10,0.873,0.591,7.0,-8.942,1.0,0.102,0.0788,0.0071,0.104,0.496,123.091,2758,0
basement jaxx,twerk ,2009,09,0.767,0.908,4.0,-4.726,0.0,0.0723,0.00337,0.0928,0.313,0.715,127.97,17408,0
swallow the sun,...and heavens cried blood,2009,01,0.27,0.735,0.0,-6.575,0.0,0.0344,0.000671,0.0597,0.0963,0.196,143.422,190,0
jah cure,to your arms of love,2009,05,0.33,0.366,8.0,-7.744,1.0,0.0393,0.828,0.0,0.159,0.359,167.334,38906,0
justin timberlake,what goes around...comes around,2006,09,0.687,0.723,7.0,-4.751,1.0,0.0709,0.122,0.00102,0.573,0.432,76.0,2649703,0
willy deville,cadillac walk ,2012,08,0.478,0.77,7.0,-8.435,1.0,0.213,0.0684,0.632,0.697,0.513,75.927,7324733,0
madonna,bedtime story ,1994,10,0.712,0.612,0.0,-12.74,1.0,0.0441,0.831,0.441,0.118,0.526,112.028,25411,0
sister hazel,think about me,1997,01,0.544,0.766,7.0,-4.652,1.0,0.0459,0.00843,0.00159,0.0341,0.839,139.174,906343,0
rihanna,sos,2006,04,0.677,0.671,7.0,-4.905,1.0,0.0361,0.004,5.07e-05,0.413,0.527,137.046,56,0
alexandre desplat,high-speed french train,2009,01,0.763,0.259,10.0,-18.913,1.0,0.0425,0.623,0.256,0.196,0.181,119.978,57928,0
the almost,books & books,2009,01,0.413,0.956,11.0,-4.338,0.0,0.0746,0.000339,0.0,0.129,0.257,169.975,57338,0
