Title,ArtistName,Ranks,Weeks,isNew,Target
everything i shouldn't be thinking about,thompson square,73,10,0,1
helluva life,frankie ballard,74,16,0,1
beat of the music,brett eldredge,75,7,0,1
do i wanna know?,arctic monkeys,76,16,0,1
i luh ya papi,jennifer lopez ,77,2,0,1
sleeping with a friend,neon trees,78,4,0,1
automatic,miranda lambert,79,5,0,1
compass,lady antebellum,80,20,0,1
headlights,eminem ,81,2,0,1
part ii ,jay z ,82,6,0,1
fancy,iggy azalea ,83,3,0,1
love is an open door,kristen bell ,84,2,0,1
love me again,john newman,85,18,0,1
invisible,hunter hayes,86,5,0,1
ride,somo,87,11,0,1
the walker,fitz and the tantrums,88,4,0,1
lettin' the night roll,justin moore,89,5,0,1
on top of the world,imagine dragons,90,8,0,1
red lights,tiesto,91,2,0,1
oceans ,hillsong united,92,9,0,1
wild wild love,pitbull ,93,4,0,1
odio,romeo santos ,94,8,0,1
move that doh,future ,95,2,0,1
lookin' for that girl,tim mcgraw,96,1,1,1
can't raise a man,k. michelle,97,7,0,1
beating heart,ellie goulding,98,1,1,1
or nah,ty dolla $ign ,99,2,0,1
latch,disclosure ,100,2,0,1
black beatles,rae sremmurd ,1,16,0,1
bad and boujee,migos ,2,7,0,1
starboy,the weeknd ,3,15,0,1
closer,the chainsmokers ,4,22,0,1
24k magic,bruno mars,5,12,0,1
juju on that beat ,zay hilfigerrr ,6,14,0,1
side to side,ariana grande ,7,18,0,1
let me love you,dj snake ,8,21,0,1
fake love,drake,9,10,0,1
broccoli,d.r.a.m. ,10,29,0,1
don't wanna know,maroon 5 ,11,12,0,1
bad things,machine gun kelly x camila cabello,12,9,0,1
heathens,twenty one pilots,13,28,0,1
caroline,amine,14,17,0,1
scars to your beautiful,alessia cara,15,18,0,1
all time low,jon bellion,16,12,0,1
mercy,shawn mendes,17,15,0,1
starving,hailee steinfeld ,18,22,0,1
ooouuu,young m.a,19,18,0,1
this town,niall horan,20,14,0,1
bounce back,big sean,21,8,0,1
i don't wanna live forever ,zayn / taylor swift,22,3,0,1
love on the brain,rihanna,23,11,0,1
treat you better,shawn mendes,24,30,0,1
can't stop the feeling!,justin timberlake,25,34,0,1
in the name of love,martin garrix ,26,20,0,1
the greatest,sia ,27,17,0,1
blue ain't your color,keith urban,28,16,0,1
chill bill,rob $tone ,29,22,0,1
cheap thrills,sia ,30,46,0,1
i hate u i love u,gnash ,31,37,0,1
hallelujah,pentatonix,32,10,0,1
careless whisper,wham! ,33,22,0,1
i feel it coming,the weeknd ,34,6,0,1
all i want for christmas is you,mariah carey,35,19,0,1
x,21 savage ,36,16,0,1
don't let me down,the chainsmokers ,37,46,0,1
cold water,major lazer ,38,23,0,1
love me now,john legend,39,10,0,1
unsteady,x ambassadors,40,33,0,1
last christmas,wham!,41,2,0,1
you was right,lil uzi vert,42,25,0,1
no heart,21 savage ,43,10,0,1
water under the bridge,adele,44,8,0,1
may we all,florida georgia line ,45,18,0,1
deja vu,j. cole,46,3,0,1
faith,george michael,47,21,0,1
wanna be that song,brett eldredge,48,13,0,1
how far i'll go,auli'i cravalho,49,5,0,1
say you won't let go,james arthur,50,10,0,1
selfish,pnb rock,51,8,0,1
used to this,future ,52,8,0,1
party monster,the weeknd,53,6,0,1
dirty laundry,carrie underwood,54,11,0,1
better man,little big town,55,9,0,1
too much sauce,dj esco ,56,19,0,1
both,gucci mane ,57,2,0,1
party,chris brown ,58,2,0,1
star of the show,thomas rhett,59,9,0,1
a guy with a girl,blake shelton,60,7,0,1
neighbors,j. cole,61,3,0,1
sleep without you,brett young,62,16,0,1
chantaje,shakira ,63,7,0,1
dirt on my boots,jon pardi,64,4,0,1
pick up the phone,young thug and travis scott ,65,20,0,1
sneakin',drake ,66,10,0,1
handclap,fitz and the tantrums,67,14,0,1
immortal,j. cole,68,3,0,1
how far i'll go,alessia cara,69,4,0,1
how i'll always be,tim mcgraw,70,11,0,1
moves,big sean,71,1,1,1
song for another time,old dominion,72,14,0,1
you're welcome,dwayne johnson,73,5,0,1
otw,dj luke nasty,74,2,0,1
red opps,21 savage,75,2,0,1
swang,rae sremmurd,76,2,0,1
make me ,noah cyrus ,77,3,0,1
rockabye,clean bandit ,78,4,0,1
seein' red,dustin lynch,79,1,1,1
ispy,kyle ,80,1,1,1
play that song,train,81,5,0,1
kill a word,eric church ,82,3,0,1
million reasons,lady gaga,83,8,0,1
alone,marshmello,84,5,0,1
goosebumps,travis scott,85,8,0,1
my sh*t,a boogie wit da hoodie,86,10,0,1
redbone,childish gambino,87,5,0,1
all we know,the chainsmokers ,88,13,0,1
parachute,chris stapleton,89,2,0,1
think a little less,michael ray,90,1,1,1
80s mercedes,maren morris,91,7,0,1
fresh eyes,andy grammer,92,13,0,1
just hold on,steve aoki ,93,3,0,1
sex with me,rihanna,94,9,0,1
no flockin,kodak black,95,1,1,1
timeless,a boogie wit da hoodie ,96,1,1,1
black barbies,nicki minaj x mike will made-it,97,2,0,1
way down we go,kaleo,98,1,1,1
hate u love u,olivia o'brien,99,1,1,1
shaky shaky,daddy yankee,100,1,1,1
like a g6,far*east movement ,1,11,0,1
just the way you are,bruno mars,2,14,0,1
only girl ,rihanna,3,7,0,1
just a dream,nelly,4,10,0,1
dj got us fallin' in love,usher ,5,15,0,1
bottoms up,trey songz ,6,11,0,1
teenage dream,katy perry,7,14,0,1
dynamite,taio cruz,8,21,0,1
club can't handle me,flo rida ,9,17,0,1
raise your glass,p!nk,10,3,0,1
mean,taylor swift,11,1,1,1
love the way you lie,eminem ,12,18,0,1
mine,taylor swift,13,12,0,1
i like it,enrique iglesias ,14,24,0,1
animal,neon trees,15,21,0,1
deuces,chris brown ,16,17,0,1
f**k you! ,cee lo green,17,9,0,1
no hands,waka flocka flame ,18,7,0,1
please don't go,mike posner,19,5,0,1
right above it,lil wayne ,20,10,0,1
if i die young,the band perry,21,16,0,1
take it off,ke$ha,22,15,0,1
stuck like glue,sugarland,23,13,0,1
secrets,onerepublic,24,18,0,1
check it out,will.i.am ,25,7,0,1
hot tottie,usher ,26,11,0,1
love like woe,the ready set,27,11,0,1
cooler than me,mike posner,28,26,0,1
we no speak americano,yolanda be cool ,29,6,0,1
back to december,taylor swift,30,2,0,1
california gurls,katy perry ,31,24,0,1
loca,shakira ,32,3,0,1
airplanes,b.o.b ,33,28,0,1
misery,maroon 5,34,18,0,1
fancy,drake ,35,13,0,1
september,daughtry,36,12,0,1
king of anything,sara bareilles,37,18,0,1
letting go ,sean kingston ,38,12,0,1
as she's walking away,zac brown band ,39,11,0,1
not afraid,eminem,40,25,0,1
come back song,darius rucker,41,15,0,1
2012 ,jay sean ,42,12,0,1
omg,usher ,43,30,0,1
can't be friends,trey songz,44,6,0,1
magic,b.o.b ,45,20,0,1
if it's love,train,46,20,0,1
farmer's daughter,rodney atkins,47,19,0,1
my kinda party,jason aldean,48,9,0,1
no love,eminem ,49,8,0,1
aston martin music,rick ross ,50,4,0,1
black and yellow,wiz khalifa,51,3,0,1
hey baby ,pitbull ,52,4,0,1
the boys of fall,kenny chesney,53,13,0,1
runaway,kanye west ,54,3,0,1
anything like me,brad paisley,55,8,0,1
roll with it,easton corbin,56,15,0,1
firework,katy perry,57,1,1,1
all i want is you,miguel ,58,6,0,1
right thru me,nicki minaj,59,4,0,1
holding you down ,jazmine sullivan,60,9,0,1
little lion man,mumford ,61,11,0,1
if i had you,adam lambert,62,18,0,1
why wait,rascal flatts,63,10,0,1
memories,david guetta ,64,3,0,1
radioactive,kings of leon,65,3,0,1
gonna get this,hannah montana ,66,1,1,1
stereo love,edward maya ,67,3,0,1
mama's song,carrie underwood,68,5,0,1
toot it and boot it,yg,69,9,0,1
rhythm of love,plain white t's,70,6,0,1
love all over me,monica,71,15,0,1
the breath you take,george strait,72,8,0,1
all over me,josh turner,73,17,0,1
shake,jesse mccartney,74,3,0,1
grenade,bruno mars,75,4,0,1
turn on the radio,reba,76,6,0,1
only prettier,miranda lambert,77,8,0,1
whip my hair,willow,78,1,1,1
monster,kanye west ,79,1,1,1
waka waka ,shakira ,80,18,0,1
put you in a song,keith urban,81,4,0,1
the end,kings of leon,82,1,1,1
what's my name?,rihanna ,83,1,1,1
dog days are over,florence + the machine,84,6,0,1
way out here,josh thompson,85,9,0,1
speak now,taylor swift,86,3,0,1
double vision,3oh!3,87,2,0,1
this ain't no love song,trace adkins,88,2,0,1
rap song,t-pain ,89,1,1,1
porn star dancing,my darkest days ,90,1,1,1
lay it down,lloyd,91,1,1,1
b.m.f. ,rick ross ,92,16,0,1
tighten up,the black keys,93,1,1,1
our kind of love,lady antebellum,94,20,0,1
strip me,natasha bedingfield,95,1,1,1
angel,akon,96,3,0,1
smoke a little smoke,eric church,97,6,0,1
all about tonight,blake shelton,98,19,0,1
got your back,t.i. ,99,20,0,1
waiting for the end,linkin park,100,3,0,1
old town road,lil nas x ,1,9,0,1
me!,taylor swift ,2,2,0,1
wow.,post malone,3,19,0,1
sucker,jonas brothers,4,9,0,1
sunflower ,post malone ,5,28,0,1
7 rings,ariana grande,6,15,0,1
without me,halsey,7,30,0,1
dancing with a stranger,sam smith ,8,16,0,1
bad guy,billie eilish,9,5,0,1
talk,khalid,10,12,0,1
sweet but psycho,ava max,11,20,0,1
middle child,j. cole,12,15,0,1
break up with your girlfriend  i'm bored,ariana grande,13,12,0,1
happier,marshmello ,14,37,0,1
shallow,lady gaga ,15,31,0,1
going bad,meek mill ,16,22,0,1
eastside,benny blanco  halsey ,17,42,0,1
high hopes,panic! at the disco,18,39,0,1
please me,cardi b ,19,11,0,1
better,khalid,20,33,0,1
girls like you,maroon 5 ,21,49,0,1
a lot,21 savage,22,19,0,1
pure water,mustard ,23,14,0,1
sicko mode,travis scott,24,39,0,1
thotiana,blueface,25,16,0,1
be alright,dean lewis,26,27,0,1
suge,dababy,27,5,0,1
beautiful crazy,luke combs,28,25,0,1
look back at it,a boogie wit da hoodie,29,21,0,1
act up,city girls,30,9,0,1
here with me,marshmello ,31,8,0,1
envy me,calboy,32,20,0,1
whiskey glasses,morgan wallen,33,9,0,1
god's country,blake shelton,34,5,0,1
con calma,daddy yankee ,35,13,0,1
close to me,ellie goulding x diplo ,36,24,0,1
drip too hard,lil baby ,37,33,0,1
eyes on you,chase rice,38,11,0,1
when the party's over,billie eilish,39,25,0,1
boy with luv,bts ,40,3,0,1
earth,lil dicky,41,2,0,1
sanguine paradise,lil uzi vert,42,3,0,1
you say,lauren daigle,43,42,0,1
murder on my mind,ynw melly,44,15,0,1
bury a friend,billie eilish,45,14,0,1
good as you,kane brown,46,10,0,1
clout,offset ,47,4,0,1
thank u  next,ariana grande,48,26,0,1
walk me home,p!nk,49,9,0,1
youngblood,5 seconds of summer,50,48,0,1
pop out,polo g ,51,6,0,1
who do you love,the chainsmokers ,52,12,0,1
look what god gave her,thomas rhett,53,9,0,1
here tonight,brett young,54,17,0,1
baby shark,pinkfong,55,18,0,1
close friends,lil baby,56,27,0,1
worth it,yk osiris,57,11,0,1
swervin,a boogie wit da hoodie ,58,19,0,1
night shift,jon pardi,59,11,0,1
love ain't,eli young band,60,3,0,1
rumor,lee brice,61,8,0,1
miss me more,kelsea ballerini,62,13,0,1
racks in the middle,nipsey hussle ,63,5,0,1
make it sweet,old dominion,64,18,0,1
before i let go,beyonce,65,2,0,1
hey look ma  i made it,panic! at the disco,66,3,0,1
floating,schoolboy q ,67,1,1,1
robbery,juice wrld,68,11,0,1
baila baila baila,ozuna x daddy yankee x j balvin x farruko x anuel aa,69,1,1,1
big ole freak,megan thee stallion,70,4,0,1
don't call me up,mabel,71,6,0,1
cool,jonas brothers,72,4,0,1
calma,pedro capo x farruko,73,7,0,1
girls need love,summer walker x drake,74,10,0,1
girl,maren morris,75,9,0,1
mixed personalities,ynw melly ,76,15,0,1
that's a rack,lil uzi vert,77,3,0,1
i've been waiting,lil peep ,78,8,0,1
wish you were gay,billie eilish,79,9,0,1
you should see me in a crown,billie eilish,80,6,0,1
put a date on it,yo gotti ,81,14,0,1
talk you out of it,florida georgia line,82,11,0,1
i'm so tired...,lauv ,83,4,0,1
on my way to you,cody johnson,84,10,0,1
chopstix,schoolboy q + travis scott,85,1,1,1
shotta flow,nle choppa,86,2,0,1
shot clock,ella mai,87,14,0,1
ocean eyes,billie eilish,88,11,0,1
secreto,anuel aa ,89,10,0,1
light it up,marshmello  tyga ,90,1,1,1
love someone,brett eldredge,91,2,0,1
power is power,sza  the weeknd ,92,1,1,1
faucet failure,ski mask the slump god,93,10,0,1
knockin' boots,luke bryan,94,1,1,1
numb numb juice,schoolboy q,95,2,0,1
love me anyway,p!nk ,96,1,1,1
24/7,meek mill ,97,4,0,1
stop snitching,yg,98,1,1,1
sos,avicii ,99,3,0,1
kill this love,blackpink,100,4,0,1
firework,katy perry,1,7,0,1
raise your glass,pink,2,9,0,1
what's my name?,rihanna ,3,7,0,1
the time ,the black eyed peas,4,4,0,1
grenade,bruno mars,5,10,0,1
only girl ,rihanna,6,13,0,1
just the way you are,bruno mars,7,20,0,1
we r who we r,ke$ha,8,6,0,1
just a dream,nelly,9,16,0,1
bottoms up,trey songz ,10,17,0,1
like a g6,far*east movement ,11,17,0,1
dj got us fallin' in love,usher ,12,21,0,1
dynamite,taio cruz,13,27,0,1
black and yellow,wiz khalifa,14,9,0,1
teenage dream,katy perry,15,20,0,1
animal,neon trees,16,27,0,1
f**k you! ,cee lo green,17,15,0,1
no hands,waka flocka flame ,18,13,0,1
please don't go,mike posner,19,11,0,1
tonight ,enrique iglesias ,20,2,0,1
dog days are over,florence + the machine,21,12,0,1
dog days are over,glee cast,22,1,1,1
club can't handle me,flo rida ,23,23,0,1
stereo love,edward maya ,24,9,0,1
christmas lights,coldplay,25,1,1,1
i like it,enrique iglesias ,26,30,0,1
whip my hair,willow,27,7,0,1
secrets,onerepublic,28,24,0,1
hey  soul sister,glee cast,29,1,1,1
if i die young,the band perry,30,22,0,1
right thru me,nicki minaj,31,10,0,1
right above it,lil wayne ,32,16,0,1
yeah 3x,chris brown,33,6,0,1
deuces,chris brown ,34,23,0,1
aston martin music,rick ross ,35,10,0,1
love like woe,the ready set,36,17,0,1
love the way you lie,eminem ,37,24,0,1
,glee cast,38,1,1,1
no love,eminem ,39,14,0,1
somewhere with you,kenny chesney,40,5,0,1
hey baby ,pitbull ,41,10,0,1
stuck like glue,sugarland,42,19,0,1
back to december,taylor swift,43,6,0,1
as she's walking away,zac brown band ,44,17,0,1
can't be friends,trey songz,45,12,0,1
my kinda party,jason aldean,46,15,0,1
mine,taylor swift,47,18,0,1
felt good on my lips,tim mcgraw,48,5,0,1
we no speak americano,yolanda be cool ,49,12,0,1
memories,david guetta ,50,9,0,1
coming home,diddy - dirty money ,51,2,0,1
runaway,kanye west ,52,9,0,1
why wait,rascal flatts,53,16,0,1
valerie,glee cast,54,1,1,1
who dat girl,flo rida ,55,1,1,1
angel,akon,56,7,0,1
marry you,glee cast,57,2,0,1
kush,dr. dre ,58,3,0,1
mama's song,carrie underwood,59,11,0,1
forget you,glee cast ,60,3,0,1
put you in a song,keith urban,61,10,0,1
pretty girl rock,keri hilson,62,2,0,1
turn on the radio,reba,63,12,0,1
who are you when i'm not looking,blake shelton,64,5,0,1
jar of hearts,christina perri,65,10,0,1
hold my hand,michael jackson duet with akon,66,3,0,1
only prettier,miranda lambert,67,14,0,1
anything like me,brad paisley,68,14,0,1
lay it down,lloyd,69,7,0,1
the breath you take,george strait,70,14,0,1
rhythm of love,plain white t's,71,12,0,1
down on me,jeremih ,72,4,0,1
all i want is you,miguel ,73,12,0,1
letting go ,sean kingston ,74,18,0,1
someone else calling you baby,luke bryan,75,6,0,1
shake,jesse mccartney,76,9,0,1
voices,chris young,77,5,0,1
freak the freak out,victorious cast ,78,1,1,1
boots,the killers,79,1,1,1
little lion man,mumford ,80,17,0,1
fancy,drake ,81,19,0,1
smoke a little smoke,eric church,82,12,0,1
waiting for the end,linkin park,83,9,0,1
fire flame,birdman ,84,1,1,1
september,daughtry,85,18,0,1
maybe,sick puppies,86,2,0,1
don't you wanna stay,jason aldean with kelly clarkson,87,5,0,1
let me down easy,billy currington,88,2,0,1
hello world,lady antebellum,89,4,0,1
marry you,bruno mars,90,2,0,1
make a movie,twista ,91,4,0,1
one in a million,ne-yo,92,6,0,1
rocketeer,far*east movement ,93,1,1,1
marry me,train,94,3,0,1
bullets in the gun,toby keith,95,5,0,1
check it out,will.i.am ,96,13,0,1
don't cry for me argentina ,glee cast,97,1,1,1
monster,kanye west ,98,6,0,1
singing in the rain / umbrella,glee cast ,99,3,0,1
loca,shakira ,100,9,0,1
when i was your man,bruno mars,1,16,0,1
thrift shop,macklemore ,2,27,0,1
just give me a reason,p!nk ,3,8,0,1
stay,rihanna ,4,9,0,1
suit & tie,justin timberlake ,5,13,0,1
harlem shake,baauer,6,8,0,1
can't hold us,macklemore ,7,9,0,1
cruise,florida georgia line ,8,27,0,1
started from the bottom,drake,9,9,0,1
feel this moment,pitbull ,10,11,0,1
radioactive,imagine dragons,11,32,0,1
mirrors,justin timberlake,12,8,0,1
love me,lil wayne ,13,12,0,1
daylight,maroon 5,14,18,0,1
heart attack,demi lovato,15,6,0,1
i knew you were trouble.,taylor swift,16,25,0,1
i love it,icona pop ,17,10,0,1
scream & shout,will.i.am ,18,19,0,1
locked out of heaven,bruno mars,19,27,0,1
ho hey,the lumineers,20,44,0,1
sweet nothing,calvin harris ,21,22,0,1
the way,ariana grande ,22,2,0,1
carry on,fun.,23,14,0,1
wagon wheel,darius rucker,24,9,0,1
i will wait,mumford ,25,35,0,1
don't you worry child,swedish house mafia ,26,29,0,1
my songs know what you did in the dark ,fall out boy,27,9,0,1
f**kin problems,a$ap rocky ,28,23,0,1
sure be cool if you did,blake shelton,29,13,0,1
pour it up,rihanna,30,14,0,1
bad,wale ,31,8,0,1
troublemaker,olly murs ,32,12,0,1
it's time,imagine dragons,33,44,0,1
22,taylor swift,34,6,0,1
mama's broken heart,miranda lambert,35,11,0,1
downtown,lady antebellum,36,9,0,1
little talks,of monsters and men,37,46,0,1
bugatti,ace hood ,38,8,0,1
get your shine on,florida georgia line,39,11,0,1
alive,krewella,40,8,0,1
catch my breath,kelly clarkson,41,24,0,1
highway don't care,tim mcgraw with taylor swift,42,6,0,1
power trip,j. cole ,43,8,0,1
sail,awolnation,44,31,0,1
madness,muse,45,29,0,1
poetic justice,kendrick lamar ,46,24,0,1
try,p!nk,47,24,0,1
gangnam style,psy,48,31,0,1
one more night,maroon 5,49,42,0,1
i drive your truck,lee brice,50,14,0,1
if i didn't have you,thompson square,51,14,0,1
fine china,chris brown,52,1,1,1
done.,the band perry,53,4,0,1
pirate flag,kenny chesney,54,9,0,1
boys 'round here,blake shelton ,55,2,0,1
next to me,emeli sande,56,7,0,1
rich as f**k,lil wayne ,57,3,0,1
1994,jason aldean,58,4,0,1
give it all we got tonight,george strait,59,14,0,1
pom poms,jonas brothers,60,1,1,1
r.i.p.,young jeezy ,61,9,0,1
somebody's heartbreak,hunter hayes,62,20,0,1
loveeeeeee song,rihanna ,63,10,0,1
gone  gone  gone,phillip phillips,64,5,0,1
#thatpower,will.i.am ,65,3,0,1
like jesus does,eric church,66,7,0,1
all gold everything,trinidad james,67,17,0,1
love and war,tamar braxton,68,11,0,1
beat this summer,brad paisley,69,4,0,1
two black cadillacs,carrie underwood,70,17,0,1
i can take it from there,chris young,71,9,0,1
battle scars,lupe fiasco ,72,15,0,1
we still in this b****,b.o.b ,73,8,0,1
levitate,hadouken!,74,6,0,1
bitch  don't kill my vibe,kendrick lamar,75,7,0,1
if i lose myself,onerepublic,76,3,0,1
clarity,zedd ,77,3,0,1
kiss you,one direction,78,15,0,1
kisses down low,kelly rowland,79,5,0,1
all around the world,justin bieber ,80,6,0,1
cups ,anna kendrick,81,15,0,1
karate chop ,future ,82,5,0,1
high school,nicki minaj ,83,1,1,1
more than miles,brantley gilbert,84,6,0,1
one of those nights,tim mcgraw,85,19,0,1
neva end,future,86,18,0,1
anywhere with you,jake owen,87,3,0,1
hey pretty girl,kip moore,88,3,0,1
wild for the night,a$ap rocky ,89,4,0,1
show out,juicy j ,90,5,0,1
molly,tyga ,91,3,0,1
changed,rascal flatts,92,7,0,1
c'mon,ke$ha,93,16,0,1
whiskey,jana kramer,94,2,0,1
lego house,ed sheeran,95,2,0,1
wop,j. dash,96,3,0,1
freaks,french montana ,97,4,0,1
wings,little mix,98,1,1,1
one way or another ,one direction,99,8,0,1
same love,macklemore ,100,4,0,1
sucker,jonas brothers,1,1,1,1
7 rings,ariana grande,2,7,0,1
please me,cardi b ,3,3,0,1
sunflower ,post malone ,4,20,0,1
without me,halsey,5,22,0,1
shallow,lady gaga ,6,23,0,1
wow.,post malone,7,11,0,1
happier,marshmello ,8,29,0,1
middle child,j. cole,9,7,0,1
sicko mode,travis scott,10,31,0,1
thank u  next,ariana grande,11,18,0,1
high hopes,panic! at the disco,12,31,0,1
thotiana,blueface,13,8,0,1
eastside,benny blanco  halsey ,14,34,0,1
break up with your girlfriend  i'm bored,ariana grande,15,4,0,1
going bad,meek mill ,16,14,0,1
murder on my mind,ynw melly,17,7,0,1
a lot,21 savage,18,11,0,1
girls like you,maroon 5 ,19,41,0,1
dancing with a stranger,sam smith ,20,8,0,1
better,khalid,21,25,0,1
drip too hard,lil baby ,22,25,0,1
money,cardi b,23,20,0,1
sweet but psycho,ava max,24,12,0,1
beautiful crazy,luke combs,25,17,0,1
be alright,dean lewis,26,19,0,1
mia,bad bunny ,27,21,0,1
zeze,kodak black ,28,21,0,1
better now,post malone,29,45,0,1
youngblood,5 seconds of summer,30,40,0,1
close to me,ellie goulding x diplo ,31,16,0,1
you say,lauren daigle,32,34,0,1
tequila,dan + shay,33,44,0,1
robbery,juice wrld,34,3,0,1
look back at it,a boogie wit da hoodie,35,13,0,1
lucid dreams,juice wrld,36,43,0,1
girls need love,summer walker x drake,37,2,0,1
baby shark,pinkfong,38,10,0,1
i,lil skies,39,1,1,1
envy me,calboy,40,12,0,1
i like it,cardi b  bad bunny ,41,48,0,1
bury a friend,billie eilish,42,6,0,1
taki taki,dj snake ,43,23,0,1
wake up in the sky,gucci mane x bruno mars x kodak black,44,25,0,1
leave me alone,flipp dinero,45,25,0,1
twerk,city girls ,46,9,0,1
mo bamba,sheck wes,47,28,0,1
swervin,a boogie wit da hoodie ,48,11,0,1
talk,khalid,49,4,0,1
mixed personalities,ynw melly ,50,7,0,1
pure water,mustard ,51,6,0,1
look what god gave her,thomas rhett,52,1,1,1
this is it,scotty mccreery,53,13,0,1
take it from me,jordan davis,54,10,0,1
millionaire,chris stapleton,55,13,0,1
hear me calling,juice wrld,56,1,1,1
con calma,daddy yankee ,57,5,0,1
undecided,chris brown,58,9,0,1
close friends,lil baby,59,19,0,1
who do you love,the chainsmokers ,60,4,0,1
girl like you,jason aldean,61,15,0,1
here tonight,brett young,62,9,0,1
burn out,midland,63,9,0,1
always remember us this way,lady gaga,64,8,0,1
worth it,yk osiris,65,3,0,1
what makes you country,luke bryan,66,10,0,1
ella quiere beber,anuel aa ,67,18,0,1
shot clock,ella mai,68,6,0,1
down to the honkytonk,jake owen,69,10,0,1
eyes on you,chase rice,70,3,0,1
there was this girl,riley green,71,2,0,1
bad liar,imagine dragons,72,2,0,1
red room,offset,73,3,0,1
wish you were gay,billie eilish,74,1,1,1
whip,2 chainz ,75,1,1,1
make it sweet,old dominion,76,10,0,1
act up,city girls,77,1,1,1
good as you,kane brown,78,2,0,1
nights like this,kehlani ,79,8,0,1
calling my spirit,kodak black,80,14,0,1
miss me more,kelsea ballerini,81,5,0,1
armed and dangerous,juice wrld,82,17,0,1
old town road,lil nas x ,83,1,1,1
secreto,anuel aa ,84,5,0,1
whiskey glasses,morgan wallen,85,1,1,1
night shift,jon pardi,86,3,0,1
faucet failure,ski mask the slump god,87,2,0,1
walk me home,p!nk,88,2,0,1
one that got away,michael ray,89,2,0,1
put a date on it,yo gotti ,90,6,0,1
lovely,billie eilish ,91,18,0,1
needy,ariana grande,92,4,0,1
i can't get enough,benny blanco  tainy  selena gomez ,93,1,1,1
rule the world,2 chainz ,94,1,1,1
when the party's over,billie eilish,95,19,0,1
love someone,lukas graham,96,10,0,1
talk you out of it,florida georgia line,97,3,0,1
love wins,carrie underwood,98,8,0,1
on my way to you,cody johnson,99,5,0,1
momma i hit a lick,2 chainz ,100,1,1,1
see you again,wiz khalifa ,1,15,0,1
bad blood,taylor swift ,2,8,0,1
trap queen,fetty wap,3,22,0,1
cheerleader,omi,4,9,0,1
shut up and dance,walk the moon,5,32,0,1
uptown funk!,mark ronson ,6,32,0,1
want to want me,jason derulo,7,15,0,1
hey mama,david guetta ,8,13,0,1
honey  i'm good.,andy grammer,9,17,0,1
earned it ,the weeknd,10,26,0,1
watch me,silento,11,17,0,1
can't feel my face,the weeknd,12,2,0,1
fight song,rachel platten,13,10,0,1
worth it,fifth harmony ,14,18,0,1
where are u now,skrillex ,15,16,0,1
talking body,tove lo,16,21,0,1
lean on,major lazer ,17,11,0,1
you know you like it,dj snake ,18,13,0,1
sugar,maroon 5,19,23,0,1
thinking out loud,ed sheeran,20,37,0,1
post to be,omarion ,21,24,0,1
the hills,the weeknd,22,4,0,1
nasty freestyle,t-wayne,23,10,0,1
love me like you do,ellie goulding,24,24,0,1
this summer's gonna hurt...,maroon 5,25,6,0,1
flex ,rich homie quan,26,9,0,1
girl crush,little big town,27,18,0,1
b**** better have my money,rihanna,28,13,0,1
slow motion,trey songz,29,19,0,1
elastic heart,sia,30,24,0,1
the night is still young,nicki minaj,31,7,0,1
take your time,sam hunt,32,25,0,1
budapest,george ezra,33,21,0,1
photograph,ed sheeran,34,6,0,1
dear future husband,meghan trainor,35,23,0,1
kick the dust up,luke bryan,36,5,0,1
somebody,natalie la rose ,37,22,0,1
style,taylor swift,38,28,0,1
sangria,blake shelton,39,10,0,1
shake it off,taylor swift,40,44,0,1
g.d.f.r.,flo rida ,41,32,0,1
blank space,taylor swift,42,34,0,1
be real,kid ink ,43,10,0,1
fun,pitbull ,44,6,0,1
bright,echosmith,45,14,0,1
love me like you mean it,kelsea ballerini,46,12,0,1
little toy guns,carrie underwood,47,14,0,1
blessings,big sean ,48,20,0,1
uma thurman,fall out boy,49,11,0,1
classic man,jidenna ,50,7,0,1
tonight looks good on you,jason aldean,51,9,0,1
house party,sam hunt,52,3,0,1
like a wrecking ball,eric church,53,13,0,1
love you like that,canaan smith,54,13,0,1
commas,future,55,12,0,1
diamond rings and old barstools,tim mcgraw with catherine dunn,56,14,0,1
crash and burn,thomas rhett,57,6,0,1
baby be my love song,easton corbin,58,11,0,1
one last time,ariana grande,59,19,0,1
sippin' on fire,florida georgia line,60,15,0,1
wet dreamz,j. cole,61,11,0,1
buy me a boat,chris janson,62,4,0,1
loving you easy,zac brown band,63,4,0,1
one hell of an amen,brantley gilbert,64,8,0,1
i really like you,carly rae jepsen,65,16,0,1
don't it,billy currington,66,16,0,1
wild child,kenny chesney with grace potter,67,14,0,1
how many times,dj khaled ,68,6,0,1
stitches,shawn mendes,69,4,0,1
the matrimony,wale ,70,12,0,1
planez,jeremih ,71,4,0,1
crushin' it,brad paisley,72,8,0,1
ghost town,adam lambert,73,1,1,1
renegades,x ambassadors,74,10,0,1
smoke,a thousand horses,75,17,0,1
kiss you in the morning,michael ray,76,4,0,1
lay me down,sam smith,77,20,0,1
i need your love,shaggy ,78,7,0,1
energy,drake,79,19,0,1
young & crazy,frankie ballard,80,4,0,1
pretty girls,britney spears ,81,7,0,1
hell of a night,dustin lynch,82,3,0,1
el perdon ,nicky jam ,83,13,0,1
b**** i'm madonna,madonna ,84,1,1,1
john cougar  john deere  john 3:16,keith urban,85,2,0,1
know yourself,drake,86,18,0,1
