Title,ArtistName,Rank,Weeks,isNew,Target
in my heart,paul avgerinos,0,0,1,0
el mar no cesa ,h\xc3\xa9roes del silencio,0,0,1,0
anfang vom ende,pyranja,0,0,1,0
ich bleib so wie ich bin,eko fresh feat. ado,0,0,1,0
nadal de luintra,berrog\xc3\xbcetto,0,0,1,0
bring out your dead,cadacross,0,0,1,0
angry chair,alice in chains,0,0,1,0
the modern rome burning,anti-flag,0,0,1,0
suck my blood,beherit,0,0,1,0
white jetta,casiotone for the painfully alone,0,0,1,0
non-existent track ,aphasia,0,0,1,0
jane 5,epmd,0,0,1,0
need to shout,architecture in helsinki,0,0,1,0
gallows ,atreyu,0,0,1,0
breath of fresh air,warrior king,0,0,1,0
she left me a mule ,sonny landreth,0,0,1,0
destiny,buju banton,0,0,1,0
love is all around,wet wet wet,0,0,1,0
maracaia,timbalada,0,0,1,0
sommarens sista m\xc3\xa5s,arne weise,0,0,1,0
beauty and the beast,nightwish,0,0,1,0
"bshe dont move me no more""""",bb king,0,0,1,0
through the looking glass ,chris standring,0,0,1,0
alma mater,moonspell,0,0,1,0
ormh\xc3\xa4xan,finntroll,0,0,1,0
wish ,beautiful creatures,0,0,1,0
soul of ethiopia,oh no,0,0,1,0
"bthis aint a love song""""",bon jovi,0,0,1,0
chase the light,dope stars inc.,0,0,1,0
good texan,the vaughan brothers,0,0,1,0
big legged woman,robert lockwood_ jr.,0,0,1,0
como nuestro amor no hay dos,cabas,0,0,1,0
one year_ six months,yellowcard,0,0,1,0
trows kind,elvenking,0,0,1,0
change clothes,jay-z,0,0,1,0
ascendant,keep of kalessin,0,0,1,0
my funny valentine,jeanie lambe ,0,0,1,0
pickled heads,elliot goldenthal,0,0,1,0
if you ask me,nick colionne,0,0,1,0
werewolf_ semen and blood,beherit,0,0,1,0
need more blues,sleepy john estes,0,0,1,0
beauty queen ,snap!,0,0,1,0
revelations,marco beltrami,0,0,1,0
,eluveitie,0,0,1,0
active,dark party,0,0,1,0
nightly cares,m\xc3\xbam,0,0,1,0
into battle,ensiferum,0,0,1,0
the lull before the storm,ron goodwin,0,0,1,0
harry flowers,william orbit,0,0,1,0
broke down,radio moscow,0,0,1,0
orgasme tellurique,stille volk,0,0,1,0
too late ,tina ann,0,0,1,0
the call,backstreet boys,0,0,1,0
over you ,lyrics born,0,0,1,0
ambulance man,memphis jug band,0,0,1,0
printemps,les ogres de barback,0,0,1,0
slips of paper,dave brockie experience,0,0,1,0
refuge,matisyahu,0,0,1,0
backseat driver,debbie davies,0,0,1,0
old memory,ashton shepherd,0,0,1,0
the  first of the year,rubyhorse,0,0,1,0
"bairtos jazz dance""""",flora purim,0,0,1,0
vennette,maria bamford,0,0,1,0
procession,vangelis,0,0,1,0
multiplayer,babylon disco,0,0,1,0
gone,frankie j,0,0,1,0
"bwere together again""""",ray pillow,0,0,1,0
"bjust like lightnin""""",joe satriani,0,0,1,0
mine again,mariah carey,0,0,1,0
existing alone,rhian sheehan,0,0,1,0
small axe,bob marley,0,0,1,0
"bill show you love""""",usher,0,0,1,0
le bar du grand d\xc3\xa9sir,mich\xc3\xa8le bernard,0,0,1,0
telling me lies,dolores keane,0,0,1,0
"bheard em say""""",kanye west / adam levine,0,0,1,0
wake up! wake up! ,everyday sunday,0,0,1,0
everything i desire,the brooklyn tabernacle choir,0,0,1,0
the mission,30 seconds to mars,0,0,1,0
first boyfriend,helen love,0,0,1,0
"blhorizon chim\xc3\xa9rique""""",julien clerc,0,0,1,0
just a phase,incubus,0,0,1,0
love & devotion,sizzla,0,0,1,0
"bim gonna cry til my tears run dry""""",irma thomas,0,0,1,0
"byoure looking good""""",dee clark,0,0,1,0
cooling out,cocoa tea,0,0,1,0
little drummer boy,the almost,0,0,1,0
sting me,the black crowes,0,0,1,0
the sun shine down my way,doug macleod,0,0,1,0
man  on the side,bill perry,0,0,1,0
"bthis aint pleasure""""",l7,0,0,1,0
the sun shines from you,teenage fanclu,0,0,1,0
kick jump - part jump,cobra killer,0,0,1,0
"bim poured out like water""""",tel basta,0,0,1,0
ghastly indoctrination,dark fortress,0,0,1,0
rise,eddie turner,0,0,1,0
informer,sugar minott,0,0,1,0
anybody seen my girl,"bkemo""""",0,0,1,0
shape of my heart,backstreet boys,0,0,1,0
lively up yourself,bob marley,0,0,1,0
i denna ljuva sommartid,sofia karlsson,0,0,1,0
still love remains ,seal,0,0,1,0
letters to norway,planetakis,0,0,1,0
spoonful,robben ford,0,0,1,0
j uh!,juana molina,0,0,1,0
absolute horizon,byzantine,0,0,1,0
turnpike,halfway to gone,0,0,1,0
life is real,ayo,0,0,1,0
bl\xc3\xa5sut,sofia karlsson,0,0,1,0
genius,kings of leon,0,0,1,0
"bthats the kind of baby for me""""",eddie cantor,0,0,1,0
my party ,kings of leon,0,0,1,0
scenario,a tribe called quest,0,0,1,0
evalia,placebo,0,0,1,0
stagger lee,nick cave ,0,0,1,0
"bill come running""""",connie smith,0,0,1,0
thresh hold,uphill battle,0,0,1,0
broken promises ,moments in grace,0,0,1,0
neir,mau mau,0,0,1,0
survivalism,nine inch nails,0,0,1,0
chlore,pascal obispo,0,0,1,0
aquacityboy,k-os,0,0,1,0
dinner party pool music,angelo badalamenti,0,0,1,0
width of the world,tin hat trio,0,0,1,0
music of the sun,rihanna,0,0,1,0
street lights,kanye west,0,0,1,0
la matanza,grace gale,0,0,1,0
beautiful,eminem,0,0,1,0
l.a. arteest caf\xc3\xa9,stew,0,0,1,0
had to call ,twista,0,0,1,0
runaway train ,geddy lee,0,0,1,0
the keys,jerry goldsmith,0,0,1,0
juste une fois,alexis hk,0,0,1,0
new detroit,neon blonde,0,0,1,0
proud,korn,0,0,1,0
da da diamonds,soul ballet,0,0,1,0
the blue side of the sun,sigmatropic,0,0,1,0
blivin a lie ,milk inc.,0,0,1,0
"blets have some fun""""",rodney o_ joe cooley,0,0,1,0
platoon goons,snowgoons,0,0,1,0
paul,eminem,0,0,1,0
"bwalkin away""""",hanoi rocks,0,0,1,0
liar in the glass,eyes set to kill,0,0,1,0
dolorosa ,cali,0,0,1,0
pantera fans in love,nerf herder,0,0,1,0
girls all pause,kurupt,0,0,1,0
heng\xc3\xa4h\xc3\xa4 tok,esa pakarinen,0,0,1,0
going down,bryan ferry,0,0,1,0
tlfm ,lara fabian,0,0,1,0
cerca & extra\xc3\xb1o,entre r\xc3\xados,0,0,1,0
death of neira,nightfall,0,0,1,0
"bjanices party""""",fountains of wayne,0,0,1,0
endless ocean,event horizon,0,0,1,0
again,janet jackson,0,0,1,0
eu e meu coracao,jo\xc3\xa3o gilberto,0,0,1,0
twerk ,basement jaxx,0,0,1,0
tobacco spit,bare jr.,0,0,1,0
...and heavens cried blood,swallow the sun,0,0,1,0
to your arms of love,jah cure,0,0,1,0
das gel\xc3\xbcbde,tresenlesen,0,0,1,0
what goes around...comes around,justin timberlake,0,0,1,0
"bjacks lament""""",the all american rejects,0,0,1,0
appapas del calabar,los van van,0,0,1,0
cadillac walk ,willy deville,0,0,1,0
bedtime story ,madonna,0,0,1,0
bnevadas grace ,atreyu,0,0,1,0
get away,rooney,0,0,1,0
"bles corps glorieux: iii. lange aux parfums""""",timothy byram-wigfield,0,0,1,0
bpimpin dont fail me now [featuring jazze pha and juvenile] ,8ball ,0,0,1,0
think about me,sister hazel,0,0,1,0
summer of love,novaspace,0,0,1,0
escuta_ noel,maysa,0,0,1,0
bthats what you said  ,phil collins,0,0,1,0
bcant stop ,cabin crew,0,0,1,0
somebody loan me a dime,fenton robinson,0,0,1,0
sos,rihanna,0,0,1,0
high-speed french train,alexandre desplat,0,0,1,0
books & books,the almost,0,0,1,0
fairground ,simply red,0,0,1,0
alone in love,craig wedren,0,0,1,0
fertile crescent ,bad religion,0,0,1,0
i hope the weather stays fine ,the dylans,0,0,1,0
when a man is wrong ,seal,0,0,1,0
mexican joe,jim reeves,0,0,1,0
ooh wee baby,doyle bramhall,0,0,1,0
all das mag ich,\xc3\x84i-tiem,0,0,1,0
boo hoo,kt tunstall,0,0,1,0
losing love ,milk inc.,0,0,1,0
the wind ,cece winans,0,0,1,0
good girls_ bad guys,dmx / dyme,0,0,1,0
,mobb deep,0,0,1,0
c30 c60 c90 go,bow wow wow,0,0,1,0
harlem nocturne,les brown,0,0,1,0
dogs,george lopez,0,0,1,0
la machine,pascal obispo,0,0,1,0
cabide,"bmartn\xc3\xa1lia""""",0,0,1,0
21st century time bom,opiate for the masses,0,0,1,0
perkiomen,hall ,0,0,1,0
tu recuerdo,"ricky martin feat. la mari de chambao""",0,0,1,0
the reach,white willow,0,0,1,0
weighed down,plump djs,0,0,1,0
spanish fly,fudge tunnel,0,0,1,0
the way i loved you,taylor swift,0,0,1,0
silent night_ holy night! ,faith hill,0,0,1,0
africa,dusminguet,0,0,1,0
metamorphosis,amoral,0,0,1,0
the hood comes first ,naughty by nature,0,0,1,0
dance into the light ,phil collins,0,0,1,0
lip smacker,poncho sanchez,0,0,1,0
standing knee deep in a river ,kathy mattea,0,0,1,0
un res pyr,roger subirana,0,0,1,0
trio ,strata,0,0,1,0
se puede salir,vilma e vampiros palma,0,0,1,0
intro / time for some action,n.e.r.d.,0,0,1,0
heavy like sunday,leona naess,0,0,1,0
exiliado en el lavabo,estopa,0,0,1,0
finding my way,stanley clarke ,0,0,1,0
there will come a day ,faith hill,0,0,1,0
comme toi ,jean-jacques goldman,0,0,1,0
sleepwalker,nightwish,0,0,1,0
like dylan in the movies,belle and sebastian,0,0,1,0
the earth will shake,thrice,0,0,1,0
my consolation ,silverstein,0,0,1,0
hunter,30 seconds to mars,0,0,1,0
all my senses,mando diao,0,0,1,0
ojos as\xc3\xad,shakira,0,0,1,0
spin ,taking back sunday,0,0,1,0
lullaby,dixie chicks,0,0,1,0
every other way,bt feat. jes,0,0,1,0
career suicide ,the cliks,0,0,1,0
no one hears you,agnostic front,0,0,1,0
"bsomebodys someone""""",lonestar,0,0,1,0
wow,snow patrol,0,0,1,0
you make me feel good ,jk,0,0,1,0
black diamond,taking dawn,0,0,1,0
poem to a horse,shakira,0,0,1,0
underlying lies,scott matthews,0,0,1,0
sweet contradiction,aaron watson,0,0,1,0
666lb. bongsession,bongzilla,0,0,1,0
"bsorrows call""""",dave eggar,0,0,1,0
vogue [live],madonna,0,0,1,0
dysfunction,liquid soul,0,0,1,0
no sympathy for fools,behemoth,0,0,1,0
the kingdom - titles,danny elfman,0,0,1,0
latinas,flora purim,0,0,1,0
i am your mother too,"bke mo""""",0,0,1,0
"bdont panic""""",coldplay,0,0,1,0
ultra-funk,los amigos invisibles,0,0,1,0
nehi mamma blues,frank stokes,0,0,1,0
presenting the eight wonder of the world,max steiner,0,0,1,0
hidden sun,room 5,0,0,1,0
you turn me,vickie winans,0,0,1,0
sacred,moonspell,0,0,1,0
rain love,al denson,0,0,1,0
nomades monades,frederic galliano,0,0,1,0
mosquito coil,zeromancer,0,0,1,0
the planet ,gang starr,0,0,1,0
the last stand,statues,0,0,1,0
hold on tight,lambda,0,0,1,0
how beautiful ,twila paris,0,0,1,0
something about mary,wyclef jean,0,0,1,0
wicked little town ,ben jelen,0,0,1,0
night is the notion,dax riggs,0,0,1,0
sympathy,sylver,0,0,1,0
1987,2 minutos,0,0,1,0
nervous breakdown,nerf herder,0,0,1,0
he who breeds pestilence,behemoth,0,0,1,0
no,hot chip,0,0,1,0
foli\xc3\xa3o ausente,spok frevo orquestra,0,0,1,0
realizer,the crystal method,0,0,1,0
parto em terras distantes ,brigada victor jara,0,0,1,0
my dear,tha liks featuring defari,0,0,1,0
building,funeral for a friend,0,0,1,0
milk cow blues,cliff bruner,0,0,1,0
devon,gabriel yared,0,0,1,0
white feather,wolfmother,0,0,1,0
big time charlie,cockney rejects,0,0,1,0
night life,charlie mccoy,0,0,1,0
tonight will last forever ,mest,0,0,1,0
coming undone,tantric,0,0,1,0
summer love triangle,david tao,0,0,1,0
the carpal tunnel of love,fall out boy,0,0,1,0
just keep it up,dee clark,0,0,1,0
i wanna hear it from you,eddy raven,0,0,1,0
heather,floor,0,0,1,0
oblivious darkness,astarte,0,0,1,0
qu\xc3\xa9 desilusi\xc3\xb3n,m\xc3\xa4go de oz,0,0,1,0
ostravaczech,krystof,0,0,1,0
banho de amor,moraes moreira,0,0,1,0
party in the sky,inspiral carpets,0,0,1,0
storm in my heart,dolores keane,0,0,1,0
ou\xc3\xa7a,maysa,0,0,1,0
kettle black,bleed the sky,0,0,1,0
california_ gracefully,every time i die,0,0,1,0
one i love,coldplay,0,0,1,0
narcotic,methods of mayhem / scott kirkland,0,0,1,0
still i will,lisa lynne,0,0,1,0
isolate,zo2,0,0,1,0
"bdont call me andy""""",andrew w.k.,0,0,1,0
sag ihnen bescheid,headliners,0,0,1,0
telephone song,the vaughan brothers;stevie ray vaughan;jimmy vaughan,0,0,1,0
bad dreams,lyrics born,0,0,1,0
praying for time,george michael,0,0,1,0
crash and burn [home demo],funeral for a friend,0,0,1,0
bare as you dare,lady saw,0,0,1,0
the day after ,twista,0,0,1,0
blove aint no stranger ,whitesnake,0,0,1,0
we are not impartial,the chap,0,0,1,0
little louie bonus,the bucketheads,0,0,1,0
bget it poppin [featuring nelly]  ,fat joe,0,0,1,0
paralyzed,the cardigans,0,0,1,0
bti monde ,beausoleil,0,0,1,0
make me bad,korn,0,0,1,0
an mouvman,"bkassav""""",0,0,1,0
"bla f\xc3\xaate komine""""",edith lefel,0,0,1,0
degrees of freedom,rhian sheehan,0,0,1,0
gwendolina,line renaud,0,0,1,0
de onda,bersuit vergarabat,0,0,1,0
fez-being born,u2,0,0,1,0
over the edge,akon,0,0,1,0
raining on our love,shania twain,0,0,1,0
all for nothing,since the flood,0,0,1,0
"bive got a home""""",five blind boys of alabama,0,0,1,0
joking,speaker,0,0,1,0
safe passage,michael gettel,0,0,1,0
wake the sleeper,uriah heep,0,0,1,0
warum rappst du?,kool savas,0,0,1,0
one eyed jack,joe mcbride,0,0,1,0
eu a4,stress assassin,0,0,1,0
desde mi cielo,mago de oz,0,0,1,0
gone,sugarbom,0,0,1,0
"bdont lie""""",dead to me,0,0,1,0
into my eyes,cherrelle,0,0,1,0
almost us,jim chappell,0,0,1,0
violence in fluid triceratops,arsonists get all the girls,0,0,1,0
how can you resist it,teena marie,0,0,1,0
for you,mr. lif,0,0,1,0
up north trip,mobb deep,0,0,1,0
say your prayers,gang starr,0,0,1,0
i dream of chi chi,brian tyler,0,0,1,0
goodbye ,billy bragg,0,0,1,0
rompan todo,2 minutos,0,0,1,0
chime ,orbital,0,0,1,0
cutdown,bongzilla,0,0,1,0
are we here ?,orbital,0,0,1,0
locomotive ,"bguns n roses""""",0,0,1,0
ch\xc3\xa2teau de sable,rokia traor\xc3\xa9,0,0,1,0
strange fruit,james carter,0,0,1,0
the luck you got,the high strung,0,0,1,0
guided by history,mithotyn,0,0,1,0
hey joe,carl smith,0,0,1,0
enough,storyville,0,0,1,0
melodia simple,la mancha de rolando,0,0,1,0
tell it like it t-i-is ,"bthe b-52s""""",0,0,1,0
"bim wrong""""",dave hollister,0,0,1,0
au bout de la marelle,patrick bruel,0,0,1,0
ley lines,embrace the end,0,0,1,0
the journey north,michael gettel,0,0,1,0
bive been thinking featuring cat power ,handsome boy modeling school,0,0,1,0
heaven only knows,k-os,0,0,1,0
when,wilshire,0,0,1,0
i remember ,lil boosie,0,0,1,0
been there all the time,dinosaur jr.,0,0,1,0
sensory deprivation adventure,from autumn to ashes,0,0,1,0
a brief history of shitty comedy,patton oswalt,0,0,1,0
dying batteries,casiotone for the painfully alone,0,0,1,0
"ba babys born""""",james ingram,0,0,1,0
"blook up at the stars and youre gone""""",evergreen terrace,0,0,1,0
cerilene,sister hazel,0,0,1,0
faces,run-dmc,0,0,1,0
how does it feel,avril lavigne,0,0,1,0
the saga of rita joe,danilo perez / claus ogerman,0,0,1,0
part of me ,vonray,0,0,1,0
bmuch against everyones advice ,soulwax,0,0,1,0
where do we go now but nowhere,nick cave ,0,0,1,0
juliet,the four pennies,0,0,1,0
let it flow ,five fingers of funk,0,0,1,0
afraid,m\xc3\xb6tley cr\xc3\xbce,0,0,1,0
blets make love ,faith hill ,0,0,1,0
gun pull,theodore shapiro,0,0,1,0
broken radio,jesse malin,0,0,1,0
flight to jordan,tito puente,0,0,1,0
guardian angel,since the flood,0,0,1,0
bclass compromise ,the business,0,0,1,0
you gotta go,fountains of wayne,0,0,1,0
best kept secret,dons,0,0,1,0
freestyle ministry ,krs-one,0,0,1,0
up all night ,unwritten law,0,0,1,0
open your eyes,call to preserve,0,0,1,0
red wind ,r. carlos nakai,0,0,1,0
corner story,del the funky homosapien,0,0,1,0
3 deuces,marcus miller,0,0,1,0
milkcow blues,aerosmith,0,0,1,0
sonnenfreunde,carl crack,0,0,1,0
i love you_ you imbecile,pelle carlberg,0,0,1,0
love is so unkind ,gabriela anders,0,0,1,0
greasers,pre,0,0,1,0
andra sidan,sofia karlsson,0,0,1,0
femme du guerrier,les ogres de barback,0,0,1,0
"bworshippers medley""""",darwin hobbs,0,0,1,0
stop complaining/remix/jam,lyrics born,0,0,1,0
"bdont you wish it was true""""",john fogerty,0,0,1,0
"bleos place""""",eric burdon,0,0,1,0
victims of the occupation,anne dudley,0,0,1,0
fix the cracks,humanzi,0,0,1,0
[hidden track],galactic,0,0,1,0
the cleansing apparatus,a different breed of killer,0,0,1,0
see the lights ,simple minds,0,0,1,0
little bluebird,little milton,0,0,1,0
the painter,rance allen group,0,0,1,0
do you want to,franz ferdinand,0,0,1,0
severe severing,klaus badelt,0,0,1,0
hope for the fallen,call to preserve,0,0,1,0
no rainbow,deadboy ,0,0,1,0
little bar butterfly,mae west,0,0,1,0
my butcher man,memphis minnie,0,0,1,0
this love,maroon 5,0,0,1,0
louise,willy deville,0,0,1,0
approach to danger ,n.w.a.,0,0,1,0
unforgettable season,cut copy,0,0,1,0
"bonly when im drunk""""",tha alkaholiks,0,0,1,0
far beyond the endless,moist,0,0,1,0
lonely,akon,0,0,1,0
"bkookosp}hkin} - ive got a lovely bunch of coconuts-""""",m.a. numminen,0,0,1,0
talking about it blues,otis taylor,0,0,1,0
sanchez family,harry gregson-williams,0,0,1,0
if you wanna be my friend,oscar lima,0,0,1,0
franks plea,marco beltrami,0,0,1,0
poisonous ,dilated peoples featuring devin the dude,0,0,1,0
to bob ross with love ,gym class heroes,0,0,1,0
the distance,bon jovi,0,0,1,0
jambalaya ,johnny copeland,0,0,1,0
mine all mine,jimmy wakely,0,0,1,0
termites in the bathtu,dntel,0,0,1,0
"bthis is my fathers world/for the beauty of the earth""""",glad,0,0,1,0
bpaper aeroplane ,kt tunstall,0,0,1,0
agenda zwei null eins null,django as\xc3\xbcl,0,0,1,0
crazy,aerosmith,0,0,1,0
viimeinen lento,kaija koo,0,0,1,0
say something [featuring jean grae] ,talib kweli,0,0,1,0
scrimmage,gerald clayton,0,0,1,0
farenheit 303,orbital,0,0,1,0
summer jam,set your goals,0,0,1,0
india,jeff wahl,0,0,1,0
vegetable ,radiohead,0,0,1,0
amazing grace ,dropkick murphys,0,0,1,0
star signs,leona naess,0,0,1,0
rock around the christmas tree,daniel johnston,0,0,1,0
after hours,phantom planet,0,0,1,0
night time,suicide,0,0,1,0
outta control,50 cent / mobb deep,0,0,1,0
la vida,los fabulosos cadillacs,0,0,1,0
criteria,shaggy,0,0,1,0
ho shit ,5th ward boyz,0,0,1,0
you found me,mxpx,0,0,1,0
midnight train,darden smith,0,0,1,0
c\xc3\xa9u do brasil,nouvelle,0,0,1,0
school spirit skit 2,kanye west,0,0,1,0
vos sabes,los fabulosos cadillacs,0,0,1,0
strangers in the night,glen washington,0,0,1,0
lament for frankie,solas,0,0,1,0
squanderer,shriekback,0,0,1,0
turning of a key,michael gettel,0,0,1,0
too shy to scream,afi,0,0,1,0
sugar buzz,russell malone,0,0,1,0
she is,the fray,0,0,1,0
dry bone shuffle,blind blake,0,0,1,0
these days,ayo,0,0,1,0
everybody loves me but you,brenda lee,0,0,1,0
