Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Ranks,Weeks,isNew,Target
fez-being born,u2,2009,01,0.256,0.819,2,-7.103,0,0.0422,0.0841,0.107,0.333,0.307,94.008,5775213,81,0,0,1,0
over the edge,akon,2008,01,0.526,0.648,5,-5.747,0,0.0366,0.0386,0,0.234,0.299,128.007,2082910,81,0,0,0,0
raining on our love,shania twain,1995,01,0.427,0.277,6,-11.581,1,0.0348,0.513,0,0.151,0.155,122.969,1684640,73,0,0,1,0
all for nothing,since the flood,2008,09,0.208,0.994,6,-1.817,0,0.154,0.00424,0,0.0537,0.336,97.093,1926,8,0,0,1,0
joking,speaker,1999,01,0.511,0.822,9,-4.503,0,0.0398,0.0153,3.11e-06,0.6,0.365,132.035,388695,61,0,0,1,0
safe passage,michael gettel,2003,07,0.267,0.379,2,-14.77,1,0.0293,0.846,0.863,0.102,0.0712,101.364,2419,28,0,0,1,0
wake the sleeper,uriah heep,2010,09,0.412,0.871,9,-10.173,1,0.0924,0.0389,0.349,0.745,0.202,129.106,353682,55,0,0,1,0
warum rappst du?,kool savas,2000,04,0.685,0.922,11,-2.036,0,0.689,0.671,0,0.254,0.88,92.57,346916,70,0,0,1,0
one eyed jack,joe mcbride,2005,01,0.606,0.654,7,-9.897,0,0.0309,0.461,0.0614,0.122,0.527,91.95,5660,30,0,0,1,0
eu a4,stress assassin,2010,07,0.201,0.51,7,-11.163,1,0.0381,0.546,0.798,0.144,0.0387,121.852,571,7,0,0,1,0
desde mi cielo,mago de oz,2018,11,0.586,0.551,2,-7.297,1,0.0381,0.549,2.28e-05,0.0965,0.292,110.213,2072659,70,0,0,1,0
how can you resist it,teena marie,1990,09,0.468,0.278,9,-10.281,1,0.03,0.388,0,0.123,0.14,82.019,289362,54,0,0,1,0
up north trip,mobb deep,1995,04,0.845,0.641,6,-5.102,0,0.275,0.0391,2.4e-06,0.326,0.774,87.86,902146,69,0,0,0,0
say your prayers,gang starr,1991,01,0.858,0.246,0,-19.525,1,0.127,0.0237,0.00853,0.12,0.718,82.966,495646,69,0,0,0,0
i dream of chi chi,brian tyler,2009,01,0.57,0.0922,0,-18.693,1,0.038,0.91,0.932,0.122,0.397,105.11,83273,62,0,0,1,0
goodbye,billy bragg,2019,09,0.466,0.0691,11,-16.57,1,0.0322,0.794,1.56e-05,0.126,0.381,79.13,95623,57,0,0,1,0
rompan todo,2 minutos,2007,12,0.411,0.964,0,-3.722,1,0.132,0.000626,0,0.434,0.825,105.563,118727,55,0,0,0,0
chime,orbital,1990,01,0.726,0.919,8,-13.836,1,0.045,0.000143,0.709,0.0795,0.332,120.952,180023,54,0,0,1,0
cutdown,bongzilla,2005,09,0.24,0.811,11,-6.347,1,0.0725,0.0374,0.933,0.242,0.473,91.178,37094,34,0,0,0,0
are we here ?,orbital,1994,01,0.673,0.609,0,-10.474,1,0.0388,0.00501,0.351,0.358,0.315,142.99,180023,54,0,0,0,0
strange fruit,james carter,2003,11,0.228,0.477,0,-5.564,0,0.0363,0.176,0.00389,0.11,0.17,82.327,15736,53,0,0,1,0
the luck you got,the high strung,2012,04,0.31,0.972,7,-3.663,1,0.197,0.000831,6.38e-06,0.154,0.311,139.039,6433,32,0,0,1,0
guided by history,mithotyn,2008,04,0.156,0.91,7,-7.013,1,0.0741,3.49e-06,0.888,0.37,0.196,106.304,5279,18,0,0,1,0
au bout de la marelle,patrick bruel,1999,04,0.658,0.667,7,-8.083,1,0.0355,0.0698,3.04e-06,0.0725,0.591,105.999,228634,59,0,0,1,0
the journey north,michael gettel,1999,01,0.492,0.824,9,-11.195,1,0.037,0.503,0.804,0.0788,0.476,94.707,2419,28,0,0,0,0
heaven only knows,k-os,2002,01,0.677,0.404,5,-8.562,0,0.258,0.548,0,0.108,0.853,90.075,37081,44,0,0,0,0
when,wilshire,2003,10,0.498,0.72,10,-3.841,1,0.0321,0.0293,0,0.107,0.31,126.496,53,45,0,0,1,0
been there all the time,dinosaur jr.,2007,05,0.176,0.969,9,-3.198,1,0.192,0.0021,1.7e-06,0.0623,0.266,162.332,278458,56,0,0,1,0
sensory deprivation adventure,from autumn to ashes,2007,04,0.47,0.918,10,-5.773,1,0.0507,8.26e-06,0.277,0.395,0.457,92.964,76729,42,0,0,0,0
a brief history of shitty comedy,patton oswalt,2004,06,0.738,0.578,2,-11.461,1,0.948,0.767,0,0.673,0.617,52.374,78716,51,0,0,1,0
dying batteries,casiotone for the painfully alone,2001,11,0.745,0.276,0,-17.224,1,0.119,0.996,0.697,0.143,0.341,77.468,13925,32,0,0,0,0
cerilene,sister hazel,1997,01,0.694,0.522,10,-7.818,1,0.0291,0.0818,0,0.102,0.133,119.397,180980,56,0,0,0,0
part of me,vonray,2003,04,0.541,0.776,8,-5.597,1,0.0387,7.56e-05,0.000282,0.168,0.286,107.966,1253,25,0,0,1,0
juliet,the four pennies,2018,11,0.282,0.255,8,-12.74,1,0.031,0.834,0,0.102,0.229,88.457,3377,17,0,0,1,0
gun pull,theodore shapiro,2005,01,0.201,0.0224,4,-32.218,0,0.0438,0.959,0.936,0.0759,0.0363,71.199,6031,49,0,0,1,0
flight to jordan,tito puente,1999,01,0.478,0.744,8,-9.659,1,0.0363,0.484,0.593,0.057,0.803,123.366,113853,52,0,0,1,0
guardian angel,since the flood,2008,09,0.177,0.981,1,-2.099,1,0.0981,9.91e-05,6.25e-05,0.098,0.442,177.136,1926,8,0,0,0,0
best kept secret,dons,2006,08,0.633,0.867,0,-4.943,1,0.0321,0.0221,0,0.12,0.758,124.051,14381,38,0,0,1,0
freestyle ministry,krs-one,2004,07,0.783,0.832,1,-3.164,1,0.371,0.12,0,0.244,0.848,94.854,331476,58,0,0,1,0
up all night,unwritten law,2002,01,0.627,0.952,9,-2.889,1,0.0724,0.00547,0,0.18,0.598,108.301,79167,50,0,0,1,0
open your eyes,call to preserve,2008,09,0.247,0.995,4,-1.936,1,0.36,3.35e-05,0.00033,0.116,0.173,86.404,1737,8,0,0,1,0
red wind,r. carlos nakai,2002,01,0.439,0.144,1,-21.387,1,0.0338,0.893,0.883,0.297,0.518,139.236,24180,51,0,0,1,0
3 deuces,marcus miller,2001,01,0.84,0.368,0,-8.775,1,0.0507,0.0369,0.784,0.0749,0.725,92.018,144567,50,0,0,1,0
milkcow blues,aerosmith,1991,11,0.252,0.752,0,-10.901,1,0.0522,0.012,0.0114,0.0977,0.564,208.578,7423164,79,0,0,1,0
sonnenfreunde,carl crack,1998,05,0.276,0.978,8,-13.309,1,0.0923,0.897,0.76,0.936,0.0209,70.365,286,3,0,0,1,0
love is so unkind,gabriela anders,1998,01,0.439,0.467,3,-9.744,1,0.0577,0.645,0.000114,0.0858,0.302,63.63,4602,30,0,0,1,0
greasers,pre,2007,09,0.261,0.979,9,-3.565,1,0.183,0.00324,0.785,0.284,0.0782,143.133,31600,46,0,0,1,0
andra sidan,sofia karlsson,2009,03,0.499,0.145,3,-14.631,1,0.0415,0.956,0.00768,0.115,0.444,77.599,25485,43,0,0,0,0
femme du guerrier,les ogres de barback,1997,01,0.438,0.349,7,-9.367,0,0.0693,0.729,6.84e-05,0.204,0.753,101.212,61518,46,0,0,0,0
stop complaining/remix/jam,lyrics born,2006,10,0.471,0.834,11,-5.104,0,0.216,0.0726,0,0.381,0.471,110.531,32740,46,0,0,0,0
victims of the occupation,anne dudley,2007,01,0.221,0.142,1,-17.122,0,0.0356,0.963,0.883,0.093,0.037,60.237,6692,57,0,0,0,0
the cleansing apparatus,a different breed of killer,2008,04,0.514,0.967,3,-5.511,0,0.138,0.000869,0.329,0.247,0.299,107.507,6566,14,0,0,1,0
little bluebird,little milton,1973,01,0.448,0.273,10,-15.682,1,0.0404,0.134,1.52e-06,0.107,0.351,173.424,25391,35,0,0,1,0
the painter,rance allen group,2006,01,0.749,0.532,7,-11.273,1,0.0753,0.112,0.000213,0.12,0.755,100.243,25552,33,0,0,1,0
do you want to,franz ferdinand,2005,10,0.413,0.942,0,-2.871,1,0.0453,0.0783,0.000412,0.689,0.759,123.085,1620688,69,0,0,1,0
severe severing,klaus badelt,2007,01,0.0877,0.155,9,-21.729,0,0.0393,0.767,0.93,0.107,0.0377,83.956,75471,63,0,0,1,0
hope for the fallen,call to preserve,2008,09,0.287,0.997,5,-1.56,0,0.295,0.00014,0.00496,0.363,0.301,157.255,1737,8,0,0,0,0
little bar butterfly,mae west,2009,08,0.689,0.402,7,-7.594,1,0.524,0.981,0.00634,0.362,0.876,106.272,4493,17,0,0,1,0
my butcher man,memphis minnie,1991,04,0.704,0.094,8,-18.275,1,0.115,0.985,1.18e-05,0.128,0.541,121.362,20738,34,0,0,1,0
approach to danger,n.w.a.,1991,05,0.599,0.995,6,-4.467,1,0.336,0.0648,1.26e-05,0.294,0.389,94.795,2573483,68,0,0,1,0
unforgettable season,cut copy,2008,01,0.336,0.972,10,-2.418,1,0.202,0.0375,0.718,0.262,0.435,130.03,245946,56,0,0,1,0
far beyond the endless,moist,2011,02,0.841,0.869,7,-10.148,1,0.0799,0.0136,0.721,0.0332,0.334,131.983,18720,37,0,0,1,0
lonely,akon,2004,01,0.632,0.533,5,-7.873,0,0.0338,0.351,0,0.236,0.595,90.064,2082910,81,0,0,0,0
talking about it blues,otis taylor,2009,01,0.473,0.819,4,-11.178,1,0.0342,0.702,0.948,0.139,0.679,148.185,34449,42,0,0,1,0
sanchez family,harry gregson-williams,2004,01,0.335,0.269,8,-16.433,1,0.128,0.473,0.869,0.113,0.0356,159.997,73692,60,0,0,1,0
franks plea,marco beltrami,2004,01,0.29,0.162,9,-18.872,0,0.0441,0.869,0.734,0.18,0.137,60.141,20707,50,0,0,0,0
poisonous,dilated peoples,2004,04,0.879,0.685,4,-5.945,1,0.271,0.145,0,0.0572,0.776,88.935,136677,53,0,0,1,0
to bob ross with love,gym class heroes,2005,02,0.659,0.597,6,-7.521,0,0.16,0.168,0,0.353,0.964,92.63,1026197,68,0,0,1,0
the distance,bon jovi,2002,01,0.343,0.736,7,-5.395,1,0.0399,0.00243,2.42e-06,0.119,0.532,178.317,6741836,81,0,0,0,0
jambalaya,johnny copeland,2016,11,0.601,0.663,8,-11.395,1,0.036,0.0126,0,0.0523,0.917,130.783,7191,31,0,0,1,0
mine all mine,jimmy wakely,2019,07,0.84,0.263,4,-13.554,1,0.0585,0.779,4.35e-05,0.0935,0.714,92.511,1905,24,0,0,1,0
crazy,aerosmith,1993,01,0.37,0.866,6,-3.879,0,0.0384,0.0868,0,0.137,0.427,162.086,7423164,79,0,0,0,0
viimeinen lento,kaija koo,1993,04,0.645,0.544,6,-6.151,1,0.0324,0.673,0,0.175,0.474,83.992,89650,53,0,0,1,0
scrimmage,gerald clayton,2009,01,0.361,0.402,4,-14.165,0,0.0416,0.0702,0.699,0.0576,0.337,149.29,10944,31,0,0,1,0
farenheit 303,orbital,1991,01,0.796,0.649,11,-15.884,1,0.0515,0.0148,0.904,0.0803,0.49,124.01,180023,54,0,0,0,0
summer jam,set your goals,2009,07,0.398,0.986,8,-3.113,1,0.334,0.000112,1.75e-06,0.925,0.44,198.105,52139,41,0,0,1,0
india,jeff wahl,2003,12,0.48,0.136,2,-24.682,1,0.0481,0.954,0.908,0.119,0.119,118.6,387,28,0,0,1,0
vegetable,radiohead,1993,02,0.384,0.717,6,-8.868,1,0.0339,0.00281,0.569,0.187,0.42,105.852,4629910,80,0,0,0,0
amazing grace,dropkick murphys,1999,03,0.12,0.875,3,-4.968,1,0.0555,0.000113,0.563,0.146,0.0397,91.579,802606,67,0,0,1,0
star signs,leona naess,2003,01,0.474,0.232,4,-13.58,1,0.0408,0.737,5.85e-06,0.155,0.265,130.643,6211,25,0,0,0,0
rock around the christmas tree,daniel johnston,2006,05,0.339,0.683,4,-6.468,1,0.0595,0.704,0.165,0.135,0.411,132.365,135170,56,0,0,1,0
after hours,phantom planet,2004,03,0.591,0.798,4,-6.007,1,0.0426,0.00108,5.55e-05,0.174,0.553,113.863,58513,55,0,0,1,0
la vida,los fabulosos cadillacs,2005,07,0.519,0.985,7,-2.759,1,0.0607,0.0571,0,0.168,0.719,108.579,1602464,71,0,0,1,0
ho shit,5th ward boyz,2013,08,0.838,0.905,1,-3.133,1,0.342,0.0476,0,0.0735,0.789,163.812,35233,31,0,0,1,0
school spirit skit 2,kanye west,2004,02,0.716,0.308,5,-12.629,1,0.925,0.334,0,0.215,0.83,128.412,10601206,95,0,0,0,0
vos sabes,los fabulosos cadillacs,2008,12,0.707,0.848,9,-6.095,1,0.0665,0.148,0.00694,0.127,0.867,114.669,1602464,71,0,0,0,0
lament for frankie,solas,2006,05,0.209,0.0903,3,-18.816,1,0.0457,0.995,0.907,0.11,0.0879,98.05,12374,37,0,0,1,0
squanderer,shriekback,2007,06,0.495,0.882,8,-5.97,1,0.118,0.0088,0.0378,0.302,0.58,175.242,9689,36,0,0,1,0
too shy to scream,afi,2009,01,0.587,0.92,1,-4.486,1,0.0701,0.000985,0.000335,0.0741,0.839,95.033,544028,65,0,0,1,0
she is,the fray,2005,09,0.495,0.824,7,-3.474,0,0.0357,0.0058,0,0.219,0.469,138.988,2673511,74,0,0,0,0
dry bone shuffle,blind blake,2018,06,0.651,0.611,10,-11.96,1,0.0609,0.751,0.944,0.113,0.965,134.213,6657,24,0,0,1,0
these days,ayo,2013,10,0.677,0.796,1,-3.567,1,0.273,0.565,0,0.162,0.479,160.066,610025,63,0,0,0,0
everybody loves me but you,brenda lee,1991,08,0.639,0.111,7,-15.282,1,0.0413,0.849,4.95e-06,0.43,0.506,107.105,137118,60,0,0,0,0
visions,fu-schnickens,1994,10,0.721,0.764,1,-7.868,1,0.248,0.14,4.34e-05,0.0409,0.532,90.8,54048,39,0,0,1,0
abagui alobi,patience dabany,1990,05,0.578,0.965,5,-4.362,1,0.0985,0.0216,0.0736,0.752,0.805,124.709,1858,22,0,0,1,0
last night,northern state,2004,08,0.892,0.752,6,-7.008,1,0.298,0.209,0,0.07,0.612,97.009,1333,14,0,0,1,0
problem solver,valient thorr,2006,07,0.519,0.896,4,-6.343,1,0.092,0.0109,2.66e-06,0.081,0.769,92.004,12844,28,0,0,1,0
have fun prelude,speech,2003,12,0.757,0.127,1,-19.685,1,0.895,0.742,0,0.613,0.212,119.32,13258,44,0,0,1,0
just let me be in love,tracy byrd,2001,07,0.581,0.8,0,-7.397,0,0.0344,0.117,3.32e-05,0.045,0.415,96.1,360534,60,0,0,0,0
poker face,lady gaga,2008,01,0.846,0.815,4,-4.512,1,0.0761,0.139,2.19e-06,0.131,0.831,118.999,9500816,87,0,0,0,0
rain down on me,kane,2003,09,0.463,0.879,5,-3.456,0,0.0602,0.00116,1.14e-05,0.11,0.334,132.884,1931483,82,0,0,1,0
el greco: movement iii,vangelis,1998,10,0.205,0.082,7,-19.806,1,0.0325,0.983,0.891,0.147,0.0757,177.19,291473,63,0,0,0,0
why should i cry for you,mariano yanani,2005,01,0.269,0.169,8,-15.746,1,0.0368,0.965,0.876,0.112,0.28,158.971,267,28,0,0,1,0
oye,gertrudis,2005,04,0.826,0.93,9,-4.846,0,0.0505,0.209,0,0.145,0.84,115.936,15908,44,0,0,1,0
kickstart my heart,between the buried and me,2006,06,0.376,0.967,2,-5.116,1,0.116,0.00704,1.7e-05,0.369,0.314,178.964,162456,51,0,0,1,0
bang! bang!,the knux,2008,01,0.702,0.733,4,-4.522,0,0.127,0.00602,3.8e-06,0.126,0.514,140.037,7546,27,0,0,1,0
time travel,klaus badelt,2002,01,0.067,0.159,2,-17.936,1,0.0379,0.726,0.871,0.125,0.036,72.652,75471,63,0,0,0,0
un nuevo amor,tranzas,2006,10,0.572,0.412,1,-10.042,1,0.32,0.717,0,0.143,0.443,77.064,270605,58,0,0,1,0
menutha,tony joe white,1995,07,0.58,0.588,2,-9.635,1,0.0274,0.252,0.605,0.157,0.664,134.548,53504,52,0,0,1,0
silent partner,steinski,2008,05,0.658,0.425,2,-17.873,0,0.299,0.671,5.9e-06,0.387,0.445,102.499,2325,19,0,0,1,0
the poet and the pendulum,nightwish,2007,09,0.385,0.723,7,-6.205,0,0.0402,0.00935,0.0244,0.11,0.191,145.038,1152893,69,0,0,0,0
my god,audio adrenaline,1992,01,0.636,0.721,9,-7.61,0,0.235,0.231,1.37e-05,0.701,0.422,99.648,106527,47,0,0,0,0
green and blue,deep forest,1998,01,0.64,0.653,6,-10.349,0,0.0872,0.0484,5.11e-05,0.22,0.548,174.005,80700,48,0,0,1,0
antes,obie bermudez,2003,01,0.539,0.566,8,-8.21,1,0.033,0.188,0,0.101,0.628,74.997,172163,53,0,0,1,0
pathfinders,elvenking,2004,04,0.255,0.97,2,-3.8,1,0.182,0.000254,0.00107,0.128,0.41,149.794,58284,49,0,0,0,0
monkey junction,weedeater,2013,12,0.145,0.854,7,-6.101,1,0.109,0.0174,7.73e-05,0.112,0.139,66.198,43017,38,0,0,1,0
train buffer,aesop rock,2004,01,0.632,0.872,11,-4.95,1,0.237,0.226,5.68e-06,0.309,0.558,86.979,260718,59,0,0,1,0
skit,rakim,1996,11,0.657,0.113,1,-17.855,1,0.406,0.534,0,0.118,0.966,77.915,392426,60,0,0,1,0
red socks pugie,foals,2008,04,0.538,0.897,5,-6.721,1,0.0453,0.147,0.000516,0.104,0.385,156.977,945130,74,0,0,1,0
i want you,faith hill,2005,08,0.632,0.441,0,-9.895,1,0.0287,0.308,0.000108,0.0521,0.264,119.045,952895,67,0,0,0,0
going back to memphis,memphis jug band,2005,06,0.732,0.379,1,-11.918,1,0.0515,0.892,9.52e-05,0.265,0.844,143.145,4897,21,0,0,0,0
anywhere anytime,sara melson,2008,02,0.454,0.808,5,-4.164,1,0.0453,0.153,0,0.288,0.811,168.077,580,14,0,0,1,0
a crow left of the murder,incubus,2004,02,0.385,0.893,9,-4.123,1,0.0386,0.018,0.000589,0.125,0.556,180.39,2013806,72,0,0,0,0
moisture,dishwalla,1995,01,0.337,0.852,11,-6.008,0,0.0516,0.000916,0.0395,0.0847,0.472,132.418,151381,51,0,0,1,0
wonderland,robin fox,2001,02,0.524,0.923,7,-7.836,1,0.0496,0.00462,0.213,0.124,0.15,140.005,559,11,0,0,1,0
i versus i,seventh star,2007,06,0.332,0.906,7,-4.431,1,0.0364,7.77e-06,0.755,0.241,0.579,106.341,2677,13,0,0,1,0
popovic,mando diao,2007,03,0.377,0.867,4,-3.609,0,0.0324,0.113,0,0.208,0.676,131.501,214110,62,0,0,0,0
puritania,dimmu borgir,2001,03,0.303,0.969,8,-2.466,1,0.162,9.03e-05,0.844,0.417,0.163,109.384,275488,55,0,0,1,0
ragoo,kings of leon,2007,04,0.741,0.764,2,-5.94,1,0.0301,0.0377,2.59e-06,0.0927,0.771,102.008,4022581,78,0,0,0,0
hard times,eastmountainsouth,2003,01,0.604,0.434,6,-8.873,1,0.0283,0.719,1.56e-05,0.0896,0.354,126.052,3348,29,0,0,1,0
tumba randy,anthony blea y su charanga,2004,01,0.572,0.857,2,-5.194,0,0.0423,0.255,0.321,0.0369,0.764,100.003,37,1,0,0,1,0
firepower,dilated peoples,2006,02,0.68,0.942,7,-3.872,1,0.346,0.0172,0,0.087,0.582,158.577,136677,53,0,0,0,0
purple pygmies,walter ego,1998,06,0.602,0.712,10,-11.089,0,0.0448,0.0527,0.87,0.409,0.33,93.095,14,0,0,0,1,0
perfect moment,darden smith,2003,04,0.643,0.348,6,-12.417,1,0.0283,0.752,0.0099,0.112,0.597,82.501,1763,26,0,0,0,0
reborn,drowning pool,2008,05,0.51,0.872,11,-6.017,1,0.0408,0.000642,0.0039,0.0788,0.539,83.038,979414,64,0,0,1,0
wind beneath my wings,ryandan,2007,01,0.253,0.281,8,-8.051,1,0.0323,0.926,9.7e-05,0.112,0.108,142.513,5750,33,0,0,1,0
22,lily allen,2009,01,0.706,0.737,0,-5.928,0,0.0482,0.0217,0.000255,0.223,0.926,131.134,1381872,72,0,0,1,0
lies,pennywise,2018,04,0.385,0.988,11,-4.11,0,0.0845,0.00029,0.0116,0.364,0.615,180.18,448700,61,0,0,0,0
boomerang,cirrus,2002,01,0.491,0.923,7,-4.802,1,0.0373,0.00561,0.495,0.21,0.32,180.006,4670,31,0,0,1,0
yellow brick road,jack off jill,2012,02,0.358,0.909,11,-4.923,0,0.111,0.00143,0.0665,0.289,0.43,154.74,48082,38,0,0,1,0
check it,lords of the underground,1993,01,0.858,0.64,10,-7.538,0,0.226,0.0211,0.00111,0.169,0.717,99.104,107102,51,0,0,1,0
million miles,blue rodeo,2010,01,0.382,0.683,7,-8.276,1,0.0308,0.245,0.00263,0.143,0.167,96.861,68880,51,0,0,1,0
llamado de emergencia,daddy yankee,2008,08,0.699,0.91,4,-4.405,0,0.036,0.217,2.66e-06,0.146,0.792,97.971,14337202,94,0,0,0,0
assis par terre,pascal sangla,2010,02,0.524,0.531,4,-10.911,1,0.0366,0.576,0.000412,0.0625,0.605,90.098,54,5,0,0,1,0
in progress,trentemoller,2003,08,0.747,0.526,9,-15.46,0,0.0641,0.00843,0.794,0.199,0.668,123.875,253021,56,0,0,1,0
where does rosie go?,kenny rogers,1992,01,0.492,0.692,5,-12.921,1,0.0421,0.563,5e-05,0.252,0.857,153.354,937661,70,0,0,0,0
fuckaz,the bug,2008,06,0.444,0.853,11,-7.655,0,0.454,0.162,0,0.337,0.507,143.964,26405,37,0,0,1,0
rock tha party,bombay rockers,2005,05,0.831,0.728,8,-4.625,1,0.0459,0.0865,0,0.113,0.896,109.977,43242,40,0,0,1,0
politrix,beenie man,2017,03,0.76,0.633,8,-7.355,1,0.218,0.435,0,0.0423,0.88,98.025,256507,62,0,0,1,0
you got me,vhs or beta,2004,01,0.596,0.958,6,-2.446,0,0.0749,0.0064,0.0607,0.117,0.642,125.814,8593,28,0,0,1,0
swinging on a star,big dee irwin,2016,10,0.786,0.771,10,-7.031,1,0.0361,0.742,0,0.243,0.901,108.169,70,19,0,0,1,0
tunnel vision,finest dearest,2008,03,0.39,0.8,0,-6.685,0,0.033,0.0351,0.492,0.115,0.279,127.593,34,0,0,0,1,0
wish,brian littrell,2006,05,0.391,0.507,7,-5.954,1,0.0297,0.33,0,0.123,0.273,98.574,21517,30,0,0,1,0
me falta el aliento,estopa,2000,07,0.53,0.748,0,-9.731,1,0.112,0.204,0.000222,0.338,0.632,124.875,917979,73,0,0,0,0
fake tales of san francisco,arctic monkeys,2006,02,0.454,0.778,9,-4.225,1,0.0449,0.00998,0,0.0427,0.704,127.158,8547709,84,0,0,0,0
baby i need your loving,delroy wilson,2009,04,0.72,0.535,0,-9.771,1,0.23,0.576,0.0291,0.247,0.749,134.338,21739,44,0,0,1,0
know your friends,tanto metro,1999,08,0.552,0.628,9,-11.408,1,0.151,0.702,0.00012,0.415,0.745,179.969,26686,45,0,0,0,0
container,kaizers orchestra,2003,01,0.503,0.798,1,-4.351,0,0.0543,0.0131,0,0.171,0.79,138.027,119152,49,0,0,1,0
perfect motion,sunscreem,2012,03,0.823,0.662,7,-14.669,1,0.0546,0.0103,0.757,0.759,0.916,125.045,5399,30,0,0,1,0
speed of sound,coldplay,2005,06,0.523,0.898,11,-6.765,0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,22672909,89,0,0,0,0
in my life,boyz ii men,2009,11,0.585,0.439,2,-10.066,1,0.0285,0.823,1.92e-06,0.143,0.442,95.036,1570940,71,0,0,1,0
gotta mind to travel,coco montoya,1995,04,0.45,0.883,5,-5.288,1,0.0464,0.00159,0.646,0.202,0.808,155.037,26155,39,0,0,1,0
la photo,basement jaxx,1999,10,0.867,0.743,7,-8.345,1,0.286,0.00718,0.012,0.512,0.817,126.854,324790,60,0,0,0,0
gone to the movies,semisonic,1998,03,0.675,0.323,0,-9.983,1,0.0259,0.504,0.000927,0.0881,0.646,98.121,232844,61,0,0,1,0
long way home,ginny owens,2005,10,0.563,0.337,0,-11.69,1,0.0305,0.519,1.37e-06,0.118,0.216,119.899,17797,35,0,0,1,0
tania,fruko y sus tesos,2015,07,0.669,0.679,0,-7.894,1,0.0481,0.241,1.17e-05,0.681,0.862,103.434,104355,54,0,0,0,0
reginella,rita chiarelli,2011,03,0.453,0.0639,7,-13.815,1,0.0388,0.872,4.63e-06,0.0887,0.303,91.27,896,15,0,0,1,0
all or nothing,chris eaton,1995,01,0.316,0.191,7,-12.738,1,0.0304,0.877,2.71e-06,0.133,0.173,70.811,708,17,0,0,1,0
rock the night,hellsongs,2008,02,0.527,0.184,4,-12.483,0,0.0329,0.933,0.0114,0.124,0.217,124.508,16604,32,0,0,1,0
prequel to the sequel,between the buried and me,2007,09,0.284,0.953,1,-5.945,1,0.18,0.000187,0.0753,0.578,0.146,125.094,162456,51,0,0,0,0
dad apologizes,john debney,2005,01,0.303,0.0635,0,-25.041,1,0.0396,0.918,0.872,0.0708,0.187,114.523,16222,52,0,0,1,0
hammer & a stone,seven mary three,2010,02,0.322,0.287,0,-12.994,1,0.0302,0.927,0.574,0.69,0.216,138.012,135319,51,0,0,1,0
rollercoasting,helen love,1997,06,0.663,0.639,8,-8.221,1,0.0299,0.12,1.01e-06,0.0574,0.818,99.697,2045,16,0,0,0,0
celos,obie bermudez,2007,01,0.708,0.842,10,-7.05,0,0.048,0.0895,0,0.164,0.849,106.066,172163,53,0,0,0,0
zero m2,benga,2008,03,0.654,0.542,7,-11.766,1,0.0321,0.0367,0.187,0.1,0.0399,139.979,4,24,0,0,1,0
dream baby dream,black tambourine,2009,03,0.393,0.803,5,-10.078,0,0.044,0.0116,0.725,0.106,0.169,131.455,6595,22,0,0,1,0
hillbillies from outerspace,the vaughan brothers,1990,09,0.753,0.306,8,-13.827,1,0.0634,0.275,0.788,0.605,0.782,141.939,74852,39,0,0,0,0
betrayal is a symptom,thrice,2002,02,0.377,0.965,8,-5.54,1,0.0879,0.000252,8.26e-06,0.0797,0.404,110.163,298854,62,0,0,0,0
when we dance,mariano yanani,2005,01,0.467,0.222,11,-14.058,1,0.0328,0.884,0.923,0.0814,0.078,169.955,267,28,0,0,0,0
manies manigances,maurane,1995,01,0.773,0.839,2,-7.93,1,0.0512,0.296,0,0.233,0.898,130.996,52027,43,0,0,1,0
13 jours en france,francis lai,2007,07,0.16,0.312,7,-12.916,0,0.0319,0.953,0.764,0.161,0.184,96.489,12908,46,0,0,1,0
romantic rights,death from above 1979,2004,09,0.516,0.961,5,-5.37,0,0.157,0.00316,0,0.404,0.458,150.147,172395,57,0,0,1,0
care,sizzla,2017,09,0.827,0.584,1,-8.786,0,0.112,0.432,1.64e-06,0.155,0.56,94.629,278538,59,0,0,0,0
rowena,loudon wainwright iii,2018,09,0.504,0.0787,0,-19.687,1,0.0384,0.905,5.89e-05,0.134,0.15,69.255,39520,48,0,0,1,0
caja de cerillas,johannes linstead,2000,05,0.755,0.762,9,-8.486,0,0.0641,0.417,0.738,0.104,0.501,90.042,12176,43,0,0,1,0
verano traidor,vilma palma e vampiros,2003,07,0.749,0.693,11,-7.087,0,0.038,0.00325,0.000489,0.389,0.719,102.098,565907,64,0,0,1,0
one woman man,dave hollister,2006,01,0.627,0.647,11,-6.818,1,0.0294,0.0457,0,0.0655,0.521,91.015,244711,45,0,0,0,0
chokechain,3oh!3,2009,01,0.653,0.829,1,-5.114,1,0.602,0.0272,0,0.107,0.554,145.97,570496,65,0,0,0,0
meet me in the bathroom,the strokes,2003,10,0.426,0.94,7,-3.973,1,0.0337,6.7e-05,0.883,0.0772,0.595,139.952,2899330,76,0,0,1,0
wait til you see my smile,alicia keys,2009,12,0.622,0.506,7,-9.469,1,0.0269,0.364,0.0395,0.103,0.069,119.942,6725571,80,0,0,0,0
